canonical_item_code	standard_item_name	standard_sku_name	minimal_required_specs	standard_uom	source_uoms	unit_resolution	brand	aliases	removed_default_fields	default_fill_basis	merged_from_item_codes	merged_count	merge_reasons	governance_reasons	target
SAFE-000118	五点式安全带	五点式安全带	规格：通用	条	条	来源单位一致		五点式安全带	类型：五点式	无额外关键规格，使用物料名称作为标准SKU名称；后处理补齐：原输出最小规格为空，按初始物料清单口径设为规格：通用	SAFE-000118	1		无额外关键信息，删除默认类型字段，单位从副统一为条；后处理补齐：原输出最小规格为空，按初始物料清单口径设为规格：通用	劳保防护/安全带/安全绳/五点式安全带
SAFE-000120	五点式安全带	五点式安全带 大钩	挂钩：大钩；类型：五点式	条	条	来源单位一致		全身大钩安全带；安全带		依据原始规格中挂钩信息及governance_note修正类型为五点式	SAFE-000120	1		保留挂钩和类型（修正后）作为关键差异，单位从条保留	劳保防护/安全带/安全绳/五点式安全带
SAFE-000080	五点式安全带	五点式安全带 带缓冲	缓冲：是	条	条	来源单位一致		五点式缓冲安全带；五点式安全带		依据原始规格中缓冲信息，保留为关键差异	SAFE-000080	1		保留缓冲字段作为关键差异，类型和挂钩缺失按默认，单位从个统一为条	劳保防护/安全带/安全绳/五点式安全带
SAFE-000015	五点式安全带	五点式安全带 欧式	款式：欧式	条	条	来源单位一致		五点式欧式安全带；五点式安全带		依据原始规格中款式信息，保留为关键差异	SAFE-000015	1		保留款式作为关键区分字段，类型和缓冲缺失按默认处理	劳保防护/安全带/安全绳/五点式安全带
SAFE-000099	防尘面罩滤芯	防尘面罩滤芯	适配品牌：3M；适配类型：防尘面罩	只	只	来源单位一致	3M	3M防尘面罩过滤芯；防尘面罩过滤芯		原始缺失型号规格，根据常见防尘面罩滤芯，保留品牌与适配作为最小关键规格。	SAFE-000099	1		品牌3M影响与面罩的兼容性，必须保留；型号缺失，无法进一步区分，作为初始通用滤芯SKU。	劳保防护/呼吸防护/防尘面罩滤芯
SAFE-000013	口罩	口罩 一次性	材质：无纺布	只	只	来源单位一致		一次性口罩	类型：一次性（已纳入名称）；一次性/材质按规格字段维护；类型：一次性口罩（已纳入名称）	材质按一次性口罩常见材质推断为无纺布；单位从“个”统一为“只”	SAFE-000013；SAFE-000103	2	同为一次性口罩，材质未明确且规格缺失，推断相同	一次性口罩，材质推断为无纺布，单位统一为只；与SAFE-000103疑似重复；一次性口罩，材质推断为无纺布；与SAFE-000013疑似重复	劳保防护/呼吸防护/口罩
SAFE-000106	口罩	口罩 棉	材质：棉	只	只	来源单位一致		棉口罩	类型：口罩（已纳入名称）；一次性/材质按规格字段维护		SAFE-000106	1		棉口罩，材质明确，无重复	劳保防护/呼吸防护/口罩
SAFE-000102	口罩	口罩 棉纱	材质：棉纱	只	只	来源单位一致		棉纱口罩	类型：口罩（已纳入名称）；一次性/材质按规格字段维护		SAFE-000102	1		棉纱口罩，材质明确，无重复	劳保防护/呼吸防护/口罩
SAFE-000098	防尘面罩	3M防尘面罩	品牌：3M	只	只	来源单位一致	3M	3M防尘面罩；防尘面罩	类型：防尘面罩	原始缺失型号/防护等级，根据品牌唯一信息生成初始SKU	SAFE-000098	1		仅有一条SKU，品牌3M为关键区分字段，保留至minimal_required_specs；默认类型字段已删除。	劳保防护/呼吸防护/防尘面罩
SAFE-000021	草帽	草帽 58cm	头围：58cm	个	个	来源单位一致		草帽	类型：草帽	原始缺少尺寸规格，按常见成人头围58cm补齐	SAFE-000021	1		类型字段与物料名重复，已删除；补齐头围作为关键规格	劳保防护/安全帽/头部防护/草帽
SAFE-000033	安全帽配件	安全帽配件 一字带	类型：一字带	只	只	来源单位一致		安全帽一字带	适用：安全帽	原始规格缺失具体型号，根据名称和类型推断为通用一字带配件	SAFE-000033	1		删除了泛化的适用字段，保留类型作为关键规格	劳保防护/安全帽/头部防护/安全帽配件
SAFE-000139	安全绳	安全绳 Φ10	直径：Φ10	米	米	来源单位一致		安全绳Φ10；安全绳			SAFE-000139	1		仅保留直径，单位米，按米销售；材质、长度未体现，不强制补齐	劳保防护/安全带/安全绳/安全绳
SAFE-000140	安全绳	安全绳 Φ12	直径：Φ12	米	米	来源单位一致		安全绳Φ12；安全绳			SAFE-000140	1		仅保留直径，单位米，按米销售；材质、长度未体现，不强制补齐	劳保防护/安全带/安全绳/安全绳
SAFE-000101	安全绳	安全绳 Φ14	直径：Φ14	米	米	来源单位一致		安全绳Φ14；安全绳			SAFE-000101	1		仅保留直径，单位米，按米销售；材质、长度未体现，不强制补齐	劳保防护/安全带/安全绳/安全绳
SAFE-000129	安全绳	安全绳 Φ16	直径：Φ16	米	米	来源单位一致		安全绳Φ16；安全绳			SAFE-000129	1		仅保留直径，单位米，按米销售；材质、长度未体现，不强制补齐	劳保防护/安全带/安全绳/安全绳
SAFE-000138	安全绳	安全绳 Φ8	直径：Φ8	米	米	来源单位一致		安全绳Φ8；安全绳			SAFE-000138	1		仅保留直径，单位米，按米销售；材质、长度未体现，不强制补齐	劳保防护/安全带/安全绳/安全绳
SAFE-000026	安全绳	安全绳 五点式双钩	类型：五点式；挂钩：双钩	套	套	来源单位一致		五点式双钩安全绳；安全绳			SAFE-000026	1		原始为五点式双钩安全绳，单位为套，保留类型和挂钩作为关键规格；材质、长度等未体现，不强制补齐	劳保防护/安全带/安全绳/安全绳
SAFE-000074	防坠器	防坠器 300kg 30米 双锁	承重：300kg；长度：30米；锁具：双锁	个	个	来源单位一致		300KG30米防坠器双锁；防坠器			SAFE-000074	1		原始规格完整，保留承重、长度、锁具三个关键字段，未删除任何默认字段。	劳保防护/安全带/安全绳/防坠器
SAFE-000046	纱布	纱布 大包	包装：大包	包	包	来源单位一致		纱布大包；纱布		原始规格缺失具体尺寸、卷数或片数，仅保留包装信息，按常见采购口径生成初始SKU。	SAFE-000046	1		原始规格缺失具体尺寸、卷数或片数，仅保留包装信息，已按常见采购口径生成初始SKU。	劳保防护/急救用品/纱布
SAFE-000006	手套	手套 乳胶加厚	材质：乳胶；加厚：是	双	双	来源单位一致		加厚乳胶手套；乳胶手套			SAFE-000006	1		材质乳胶和加厚特征决定采购选择	劳保防护/手套/手套
