"item_code"	"current_item_name"	"current_required_specs"	"current_uom"	"target_top_category"	"target_second_layer_family"	"target_third_layer_name"	"decision"	"confidence"	"assumed_specs"	"manual_judgment"	"next_action"
"PIPE-000007"	"PPR三通"	"品牌：公元；规格：25；类型：三通"	"个"	"管材管件阀门"	"三通"	"三通"	"三级名称脱水"	"high"	"材质：PPR"	"三级名称脱水：材质下压到SKU规格，三级名称只保留核心商品类型“三通”。"	"按脱水三级名使用；采购前确认管系列/压力等级、连接方式和执行标准。"
"PIPE-000008"	"PPR内牙三通"	"品牌：公元；规格：25；连接：内牙；类型：三通"	"个"	"管材管件阀门"	"三通"	"三通"	"三级名称脱水"	"high"	"材质：PPR；连接方式：内丝"	"三级名称脱水：材质、连接方式下压到SKU规格，三级名称只保留核心商品类型“三通”。"	"按脱水三级名使用；采购前确认螺纹制式、嵌件/基材材质、压力等级和执行标准。"
"PIPE-000017"	"PPR三通"	"规格：25；类型：三通"	"个"	"管材管件阀门"	"三通"	"三通"	"三级名称脱水"	"high"	"材质：PPR"	"三级名称脱水：材质下压到SKU规格，三级名称只保留核心商品类型“三通”。"	"按脱水三级名使用；采购前确认管系列/压力等级、连接方式和执行标准。"
"PIPE-000019"	"排水三通"	"品牌：公元；规格：75；类型：三通"	"个"	"管材管件阀门"	"三通"	"三通"	"三级名称脱水"	"high"	"用途/系统：排水"	"三级名称脱水：使用系统下压到SKU规格，三级名称只保留核心商品类型“三通”。"	"按脱水三级名使用；采购前确认排水管材质/管系列、连接方式和执行标准。"
"PIPE-000022"	"排水三通"	"品牌：公元；规格：50；类型：三通"	"个"	"管材管件阀门"	"三通"	"三通"	"三级名称脱水"	"high"	"用途/系统：排水"	"三级名称脱水：使用系统下压到SKU规格，三级名称只保留核心商品类型“三通”。"	"按脱水三级名使用；采购前确认排水管材质/管系列、连接方式和执行标准。"
"PIPE-000024"	"排水异径三通"	"品牌：公元；规格：75*50；类型：三通"	"个"	"管材管件阀门"	"三通"	"异径三通"	"三级名称脱水"	"high"	"用途/系统：排水；形态：异径；变径规格：75*50"	"三级名称脱水：使用系统下压到SKU规格，三级名称保留稳定核心形态“异径三通”。"	"按异径三通核心形态使用；采购前确认排水管材质/管系列、大小端规格、连接方式和执行标准。"
"PIPE-000033"	"不锈钢三通"	"材质：不锈钢；规格：4分；类型：三通"	"个"	"管材管件阀门"	"三通"	"三通"	"三级名称脱水"	"high"	"材质：不锈钢"	"三级名称脱水：材质下压到SKU规格，三级名称只保留核心商品类型“三通”。"	"按脱水三级名使用；采购前确认不锈钢材质牌号、连接方式、压力等级和执行标准。"
"PIPE-000069"	"UPVC三通"	"品牌：公元；规格：32；材质：UPVC；类型：三通"	"个"	"管材管件阀门"	"三通"	"三通"	"三级名称脱水"	"high"	"材质：UPVC"	"三级名称脱水：材质下压到SKU规格，三级名称只保留核心商品类型“三通”。"	"按脱水三级名使用；采购前确认UPVC管系列/压力等级、连接方式和执行标准。"
"PIPE-000071"	"UPVC斜三通"	"规格：32；材质：UPVC；类型：斜三通"	"个"	"管材管件阀门"	"三通"	"斜三通"	"三级名称脱水"	"high"	"材质：UPVC；形态：斜三通"	"三级名称脱水：材质下压到SKU规格，三级名称保留稳定核心形态“斜三通”。"	"按斜三通核心形态使用；采购前确认UPVC管系列/压力等级、斜接角度、连接方式和执行标准。"
"PIPE-000083"	"PPR内牙三通"	"品牌：公元；规格：25；材质：PPR；连接：内牙；类型：三通"	"个"	"管材管件阀门"	"三通"	"三通"	"三级名称脱水"	"high"	"材质：PPR；连接方式：内丝"	"三级名称脱水：材质、连接方式下压到SKU规格，三级名称只保留核心商品类型“三通”。"	"按脱水三级名使用；采购前确认螺纹制式、嵌件/基材材质、压力等级和执行标准。"
