issue_id,issue_type,priority,standard_name,canonical_group_path,candidate_codes,source_proposed_codes,source_rows,unit_values,specs_values,reason,suggested_action
ISSUE-00001,specs_conflict,medium,内六角螺丝,五金备件/其他/紧固件,REVIEW-MAT-00323；REVIEW-MAT-00324,REVIEW-MAT-00323；REVIEW-MAT-00324,Sheet1:555；Sheet1:558,套,规格: 10*40；类型: 内六角 || 规格: 16*50；类型: 内六角,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00002,specs_conflict,medium,平垫片,五金备件/其他/紧固件,REVIEW-MAT-00459；REVIEW-MAT-00645；REVIEW-MAT-00649,REVIEW-MAT-00459；REVIEW-MAT-00645；REVIEW-MAT-00649,Sheet1:1178；Sheet1:1182；Sheet1:793,个,规格: 14 || 规格: M30 || 规格: M27,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00003,low_precision_conflict,medium,平垫片,五金备件/其他/紧固件,REVIEW-MAT-00459；REVIEW-MAT-00645；REVIEW-MAT-00649,REVIEW-MAT-00459；REVIEW-MAT-00645；REVIEW-MAT-00649,Sheet1:1178；Sheet1:1182；Sheet1:793,个,规格: 14 || 规格: M30 || 规格: M27,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。,补齐规格、品牌、型号、包装或执行标准后再进入可导入池。
ISSUE-00004,specs_conflict,medium,弹簧垫片,五金备件/其他/紧固件,REVIEW-MAT-00460；REVIEW-MAT-00646；REVIEW-MAT-00650,REVIEW-MAT-00460；REVIEW-MAT-00646；REVIEW-MAT-00650,Sheet1:1179；Sheet1:1183；Sheet1:794,个,规格: 14 || 规格: M30 || 规格: M27,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00005,specs_conflict,medium,膨胀螺丝,五金备件/其他/紧固件,REVIEW-MAT-00117；REVIEW-MAT-00406；REVIEW-MAT-00471；REVIEW-MAT-00728；REVIEW-MAT-00729；REVIEW-MAT-00752；REVIEW-MAT-00767,REVIEW-MAT-00117；REVIEW-MAT-00406；REVIEW-MAT-00471；REVIEW-MAT-00728；REVIEW-MAT-00729；REVIEW-MAT-00752；REVIEW-MAT-00767,Sheet1:1340；Sheet1:1341；Sheet1:1383；Sheet1:1409；Sheet1:191；Sheet1:704；Sheet1:824,支；个,规格: 14*120 || 规格: 10*70；别名: 爆炸螺丝 || 规格: M12*80 || 规格: M20*140 || 规格: M22*140 || 规格: 8*60 || 规格: 6厘,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00006,low_precision_conflict,medium,膨胀螺丝,五金备件/其他/紧固件,REVIEW-MAT-00117；REVIEW-MAT-00406；REVIEW-MAT-00471；REVIEW-MAT-00728；REVIEW-MAT-00729；REVIEW-MAT-00752；REVIEW-MAT-00767,REVIEW-MAT-00117；REVIEW-MAT-00406；REVIEW-MAT-00471；REVIEW-MAT-00728；REVIEW-MAT-00729；REVIEW-MAT-00752；REVIEW-MAT-00767,Sheet1:1340；Sheet1:1341；Sheet1:1383；Sheet1:1409；Sheet1:191；Sheet1:704；Sheet1:824,支；个,规格: 14*120 || 规格: 10*70；别名: 爆炸螺丝 || 规格: M12*80 || 规格: M20*140 || 规格: M22*140 || 规格: 8*60 || 规格: 6厘,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。,补齐规格、品牌、型号、包装或执行标准后再进入可导入池。
ISSUE-00007,specs_conflict,medium,螺丝,五金备件/其他/紧固件,REVIEW-MAT-00178；REVIEW-MAT-00180；REVIEW-MAT-00199；REVIEW-MAT-00221；REVIEW-MAT-00222；REVIEW-MAT-00223；REVIEW-MAT-00226；REVIEW-MAT-00338；REVIEW-MAT-00457；REVIEW-MAT-00643；REVIEW-MAT-00647；REVIEW-MAT-00651；REVIEW-MAT-00746；REVIEW-MAT-00747；REVIEW-MAT-00748；REVIEW-MAT-00757；REVIEW-MAT-00765,REVIEW-MAT-00178；REVIEW-MAT-00180；REVIEW-MAT-00199；REVIEW-MAT-00221；REVIEW-MAT-00222；REVIEW-MAT-00223；REVIEW-MAT-00226；REVIEW-MAT-00338；REVIEW-MAT-00457；REVIEW-MAT-00643；REVIEW-MAT-00647；REVIEW-MAT-00651；REVIEW-MAT-00746；REVIEW-MAT-00747；REVIEW-MAT-00748；REVIEW-MAT-00757；REVIEW-MAT-00765,Sheet1:1176；Sheet1:1180；Sheet1:1189；Sheet1:1363；Sheet1:1371；Sheet1:1372；Sheet1:1373；Sheet1:1374；Sheet1:1388；Sheet1:1405；Sheet1:314；Sheet1:319；Sheet1:320；Sheet1:357；Sheet1:393；Sheet1:394；Sheet1:395；Sheet1:398；Sheet1:407；Sheet1:578；Sheet1:597；Sheet1:791,套；个,规格: 16*50 || 规格: 14*50 || 规格: 8*250 || 规格: 8*30 || 规格: 16*30 || 规格: 12*60 || 规格: 12*50 || 规格: M20*120 || 规格: 14*180 || 规格: M30*100 || 规格: M27*120 || 规格: 12*40 || 规格: M20*130 || 规格: M20*35 || 规格: M20*40 || 规格: 22*100 || 规格: 16*160,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00008,specs_conflict,medium,螺母,五金备件/其他/紧固件,REVIEW-MAT-00367；REVIEW-MAT-00368；REVIEW-MAT-00458；REVIEW-MAT-00503；REVIEW-MAT-00644；REVIEW-MAT-00648；REVIEW-MAT-00758,REVIEW-MAT-00367；REVIEW-MAT-00368；REVIEW-MAT-00458；REVIEW-MAT-00503；REVIEW-MAT-00644；REVIEW-MAT-00648；REVIEW-MAT-00758,Sheet1:1177；Sheet1:1181；Sheet1:1389；Sheet1:1406；Sheet1:636；Sheet1:637；Sheet1:792；Sheet1:888,个,规格: M4 || 规格: M5 || 规格: 14 || 规格: 16 || 规格: M30 || 规格: M27 || 规格: 22,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00009,low_precision_conflict,medium,螺母,五金备件/其他/紧固件,REVIEW-MAT-00367；REVIEW-MAT-00368；REVIEW-MAT-00458；REVIEW-MAT-00503；REVIEW-MAT-00644；REVIEW-MAT-00648；REVIEW-MAT-00758,REVIEW-MAT-00367；REVIEW-MAT-00368；REVIEW-MAT-00458；REVIEW-MAT-00503；REVIEW-MAT-00644；REVIEW-MAT-00648；REVIEW-MAT-00758,Sheet1:1177；Sheet1:1181；Sheet1:1389；Sheet1:1406；Sheet1:636；Sheet1:637；Sheet1:792；Sheet1:888,个,规格: M4 || 规格: M5 || 规格: 14 || 规格: 16 || 规格: M30 || 规格: M27 || 规格: 22,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。,补齐规格、品牌、型号、包装或执行标准后再进入可导入池。
ISSUE-00010,specs_conflict,medium,铁钉,五金备件/其他/紧固件,REVIEW-MAT-00023；REVIEW-MAT-00485,REVIEW-MAT-00023；REVIEW-MAT-00485,Sheet1:38；Sheet1:845,斤；KG,长度: 2寸 || 规格: 3寸,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00011,low_precision_conflict,medium,铁钉,五金备件/其他/紧固件,REVIEW-MAT-00023；REVIEW-MAT-00485,REVIEW-MAT-00023；REVIEW-MAT-00485,Sheet1:38；Sheet1:845,斤；KG,长度: 2寸 || 规格: 3寸,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。,补齐规格、品牌、型号、包装或执行标准后再进入可导入池。
