domain	candidate_term	decision	suggested_family	split_rule	family_attributes	include_examples	exclude_examples	priority	confidence	reason
管材管件阀门；液压气动；安全消防	接头	split	直接/接头；异径接头；液压接头；气动接头；定制管路接头；消防接头	按系统和用途先拆：水暖管件看PPR/PVC/UPVC/镀锌/内外丝等，液压看高压/油管/卡套/对丝/堵头，气动看气管/快插/自锁，消防看消防/枪头/水带，定制看加工/非标/图纸	系统；接头形式；材质；规格；螺纹；连接方式；压力等级；是否定制	PPR接头；UPVC异径接头；液压高压外丝接头；气管直通接头；消防管快速接头；泥浆管接头加工件	电缆防水接头；防水网线接头；电焊快速接头；不锈钢黄油嘴接头	P0	high	接头命中142个SKU且跨21个当前族，必须按系统拆，不能作为单一物料族。
管材管件阀门；液压气动；定制加工件	弯头	split	弯头；液压接头；气动接头；定制管路接头	按系统拆：PPR/PVC/UPVC/镀锌/焊接等标准管件归弯头；液压高压或卡套归液压接头；气管快插归气动接头；带定制/加工/加长卡槽等归定制管路接头	系统；材质；角度；规格；连接方式；压力等级；是否异径；是否定制	PPR弯头；PVC45度弯头；UPVC弯头；镀锌内丝弯头；液压内外牙弯头；气管弯头接头；卡槽弯头	不锈钢黄油嘴弯头；推进泵加长弯头；角钢加工件	P0	high	弯头既有标准水暖弯头，也有液压气动接头和非标加工弯头，规则需先识别系统。
管材管件阀门；液压气动；定制加工件	三通	split	三通；液压接头；气动接头；定制管路接头	按系统拆：PPR/PVC/UPVC/不锈钢三通归管路三通；卡套/高压三通归液压接头；气管三通归气动接头；三通抱箍等加工件归定制管路接头	系统；材质；规格；连接方式；是否异径；接头形式；是否定制	PPR三通；PPR内牙三通；排水异径三通；不锈钢三通；不锈钢卡套三通；气管三通接头；三通抱箍	三通接线端子；三叉套筒扳手；三通作为数量描述	P0	high	三通是典型跨系统形态词，不能把水暖三通、液压三通、气动三通合成一个族。
管材管件阀门；液压气动	直通	split	直接/接头；气动接头；液压接头	按系统拆：PPR/PVC/UPVC/镀锌直通归直接/接头；气管直通接头归气动接头；高压直通或快拧直通归液压接头或气动接头	系统；材质；规格；连接方式；螺纹；接头形式	PPR直通；PVC直通；UPVC直通；镀锌直通；气管直通接头；不锈钢直通快插接头	直接扣件；电气直通连接器	P0	high	直通既表示水暖直接，也表示气动/液压接头形态，必须按系统拆。
管材管件阀门；液压气动；紧固件与连接件	直接	split	直接/接头；液压接头；气动接头	按系统和主名词拆：管件直接归直接/接头；高压直接归液压接头；快插/快拧直接归气动接头；脚手或紧固直接扣件不归本域	系统；材质；规格；连接方式；螺纹；是否异径	PPR直接；PVC直接；内丝直接；镀锌外丝直接；高压直接；不锈钢快拧外丝直接	直接扣件；直接作为方向副词	P1	medium	直接以管件为主但有液压气动和扣件干扰，不能只凭词面落族。
管材管件阀门	直接/接头	solidify	直接/接头	不拆；仅限水暖/管材管件体系中的直连、对接、内外接类管件	材质；规格；连接方式；螺纹；是否异径；品牌	PPR直通；PPR热熔接头；PVC直接；不锈钢内接；不锈钢外接；镀锌外丝接头	液压高压外丝接头；气管直通接头；电缆防水接头	P0	high	在管材管件阀门域内，直接/接头边界清楚，可作为水暖直连管件族。
管材管件阀门	管材	solidify	管材	不拆；PPR/PVC/UPVC/波纹/注浆等作为材质或用途属性，消防水带和液压高压管路另拆	材质；用途；规格；压力等级；结构；连接方式；品牌	PPR管；PPR给水管；PVC给水管；UPVC饮水管；波纹管；注浆管	高压油管；胶管总成；气管直通接头；消防水带	P0	high	管材回答实物本质，PPR/PVC/UPVC/给水等应作为族内属性。
管材管件阀门	阀门	solidify	阀门	不拆；阀型在属性中表达，若名称明确为消防器材管理则用途标消防	阀型；材质；口径；连接方式；压力等级；驱动方式；用途；品牌	PPR截止阀；三角阀；铜止回阀；蝶阀；不锈钢刀阀；不锈钢单向阀；热水器安全阀	电磁阀线圈；阀门手柄；浮球液位开关	P0	high	阀门本体边界清楚，球阀/蝶阀/止回阀等是阀型属性或细分规则。
管材管件阀门	球阀	solidify	球阀	不拆；需避免把浮球阀误命中为球阀	材质；口径；连接方式；压力等级；结构；用途；品牌	PPR球阀；铜球阀；不锈钢两片式球阀；不锈钢内丝球阀；不锈钢宝塔球阀	浮球阀；电浮球阀；浮球液位开关	P0	high	球阀是清晰阀门族，但需加负例排除浮球阀。
管材管件阀门	止回阀	solidify	止回阀	不拆；铜/PVC/不锈钢等作为材质属性	材质；口径；连接方式；压力等级；品牌	铜止回阀；PVC止回阀；止回阀	阀门垫片；单向电气元件	P1	high	止回阀样例集中且实物边界明确。
管材管件阀门；安全消防	蝶阀	solidify	蝶阀	不拆；消防蝶阀仍是阀门本体，用途标消防，分类可按后续一级类目规则处理	材质；口径；连接方式；驱动方式；结构；用途；压力等级	蝶阀；法兰电动蝶阀；不锈钢法兰蝶阀；沟槽式蝶阀；消防蝶阀	蝶形螺母；阀门执行器	P1	medium	蝶阀本体清楚，消防只是应用系统，不应拆成非阀门族。
管材管件阀门；定制加工件	法兰	split	法兰；阀门；法兰软连接；法兰垫片；定制管路接头	按主物料拆：法兰/法兰盘归法兰；法兰蝶阀归阀门且连接=法兰；法兰垫片/胶垫归密封垫；法兰异径接头或加工件按接头/定制拆	材质；规格；公称通径；压力等级；标准；连接面；是否定制	国标法兰；法兰盘；法兰；法兰异径接头；法兰软连接；不锈钢电动法兰蝶阀	法兰胶垫；法兰垫片；Y型法兰过滤器	P0	high	法兰既可作本体，也常只是连接方式，必须看主名词。
管材管件阀门	水龙头	solidify	水龙头	不拆；套装需按套装或主件另行识别	材质；接口规格；冷热类型；安装方式；功能；品牌	水龙头；冷热水龙头；按压水龙头；不锈钢水龙头；洗衣机龙头	水龙头花洒套装；花洒；软管	P1	high	水龙头属于水暖五金，边界清楚，冷热/按压/材质是属性。
管材管件阀门；液压气动；焊接切割	软管	split	金属软管；钢丝软管；高压钢丝软管；氧气/乙炔软管	按介质和系统拆：水暖金属/透明/钢丝软管归管材管件；高压钢丝软管归液压高压管路；氧气/乙炔软管归气瓶附件	材质；介质；规格；长度；结构；压力等级；接口形式	金属软管；透明软管；PVC钢丝软管；钢丝软管；高压钢丝软管；氧气软管；乙炔软管	气体软管卡箍；软管接头；花洒软管套装	P0	medium	软管跨水暖、液压和焊割气体，不能单独固化。
液压气动；焊接切割	胶管	split	高压胶管；胶管总成；氧气胶管；液压接头	按系统和主名词拆：高压胶管/胶管总成归液压高压管路；氧气胶管归焊割气瓶附件；胶管接头归液压接头	介质；压力等级；层数；长度；螺纹；公称通径；接头形式	高压胶管；胶管总成；胶管接头；氧气胶管	胶水；高压胶水带	P1	medium	胶管样例高度集中在液压高压管路，但仍有焊割氧气胶管和接头干扰。
液压气动	胶管总成	solidify	胶管总成	不拆；总成的接头螺纹、长度、层数作为属性	螺纹；层数；长度；公称通径；压力等级；接头形式；介质	胶管总成；高压管总成	高压水枪过滤总成；二氧化碳减压阀总成	P0	high	胶管总成样例集中且是完整液压管路组件，应固化。
液压气动	油管	split	高压油管；液压接头；油管护套	按主物料拆：高压油管归管路；油管快速接头/油管接头归液压接头；油管护套归保护附件	介质；公称通径；压力等级；等级；长度；接头形式	高压油管；油管快速接头；高压油管接头；油管护套	润滑油；油管夹具	P0	high	油管候选中同时出现管体、接头和护套，需先拆主物料。
液压气动	高压油管	solidify	高压油管	不拆；若名称含接头/快速接头则改入液压接头	公称通径；长度；压力等级；结构等级；接口形式；介质	高压油管；DN25高压油管；4SH高压油管	高压油管接头；油管快速接头；液压油	P1	high	高压油管是液压高压管路中的明确管体族。
液压气动；焊接切割	气管	split	气管；气动接头；氧气管接头	按介质和主名词拆：单独气管归气管；气管直通/弯头/三通/自锁接头归气动接头；氧气管接头归焊割气瓶附件	介质；规格；外径；接头形式；连接方式；材质	气管；气管直通接头；气管弯头接头；气管三通接头；气管自锁接头；氧气管接头	气动工具；空气开关	P0	high	气管候选主要被气动接头占据，必须避免把接头当成管体。
液压气动	液压接头	solidify	液压接头	不拆；弯头/三通/堵头/对丝/快接等作为接头形式属性	接头形式；材质；规格；螺纹；系列；压力等级；连接方式；密封形式；品牌	不锈钢卡套接头；不锈钢卡扣接头；液压快速接头；高压对丝接头；高压堵头；超高压接头	气管直通接头；PPR接头；电缆防水接头	P0	high	液压接头覆盖集中且规则价值高，形态差异应进属性。
液压气动	气动接头	solidify	气动接头	不拆；直通/弯头/三通/公头/螺母/自锁/快插作为属性	接头形式；规格；外径；螺纹；连接方式；材质；锁紧形式	气管直通接头；气管弯头接头；气管三通接头；气管自锁接头；自锁气管接头公头；不锈钢快接公头	氧气管接头；液压快速接头；电焊快速接头	P0	high	气动接头分类集中，且与气管管体应明确拆开。
定制加工件	定制管路接头	solidify	定制管路接头	不拆；只收加工/定制/非标管路连接件，标准PPR/PVC/UPVC管件不进入	定制标记；加工工艺；材质；规格；长度；连接结构；压力等级；图纸编号	卡箍丝牙接头；双头抱箍接头；高压加厚接头；泥浆管接头加工件；卡槽钢圈接头；单头外丝无缝管加工件	PPR弯头；PVC三通；标准气管接头；标准液压快速接头	P0	high	该候选60个SKU集中在非标管路接头，适合固化但须排除标准件。
