draft_sku_id	draft_item_code	原放行等级	标准名称	标准分组	标准单位	原必填规格	补全后必填规格	补充规格项	默认假设	适用范围	风险等级	建议导入状态	员工选择提示	补全依据
SKU-DRAFT-000001	HW-LOCK-000001	C	门锁	五金备件/门锁锁具	个	用途：办公室门	用途：办公室门；类型：执手锁；锁体规格：常用50锁体；适配门厚：35-50mm；锁芯：通用铜锁芯；面板材质：锌合金；颜色：银色；开向：通用可调	类型、锁体规格、适配门厚、锁芯、材质、颜色、开向	按办公室门常用默认SKU补齐，适配普通木门或金属门，不代表原采购真实型号；如员工需要其他规格就新增物料。	办公室普通内门、值班室门、一般通道门的常用替换锁具	低	seed_import_ready	这是办公室门锁常用默认SKU；如员工需要防火门锁、玻璃门锁、指定锁体、指定开向或其他颜色规格，就新增物料。	保留用途：办公室门，并按办公门锁常见50锁体、银色执手锁配置补齐关键区分项。
SKU-DRAFT-000008	ELEC-000006	C	灯管	电气材料/照明	套	功率：36W	功率：36W；类型：LED T8一体化灯管；长度：1200mm；色温：6500K白光；额定电压：AC220V；外壳材质：PC；安装方式：明装/卡扣式；含配套支架	类型、长度、色温、额定电压、材质、安装方式、配套件	按厂区和办公室照明常用默认SKU补齐，采用常见1.2米LED T8一体化灯管口径，不代表原采购真实规格；如员工需要其他规格就新增物料。	办公室、仓库、走廊等普通照明场景的常用灯管套装	中	seed_import_ready	这是36W灯管常用默认SKU；如员工需要荧光灯管、不同长度、暖光、单支灯管或指定品牌型号，就新增物料。	保留36W功率，并按常用LED T8一体化灯管补齐长度、色温、电压和安装配套信息。
SKU-DRAFT-000009	ELEC-000007	B	USB插座	电气材料/插座开关	个	品牌：公牛；USB电流：2.1A	品牌：公牛；USB电流：2.1A；类型：86型五孔USB插座；USB输出：5V/2.1A；额定电压：AC250V；额定电流：10A；安装方式：暗装；面板尺寸：86mm×86mm；颜色：白色	类型、USB输出、额定电压、额定电流、安装方式、面板尺寸、颜色	按公牛墙壁插座常用默认SKU补齐，默认86型暗装白色五孔USB面板，不代表原采购真实型号；如员工需要其他规格就新增物料。	办公室、宿舍、会议室等普通墙面取电和USB充电场景	中	seed_import_ready	这是公牛USB插座常用默认SKU；如员工需要明装、快充、双USB、不同颜色、不同系列或指定型号，就新增物料。	保留品牌公牛和USB电流2.1A，并按常见86型暗装五孔USB插座补齐电气参数和外观尺寸。
SKU-DRAFT-000010	ELEC-000008	C	线盒	电气材料/电气辅材	个	安装方式：明装	安装方式：明装；规格：86型；尺寸：86mm×86mm×35mm；材质：PVC阻燃；颜色：白色；适配面板：86型开关插座面板	规格、尺寸、材质、颜色、适配面板	按电气辅材常用默认SKU补齐，默认86型白色PVC明装线盒，不代表原采购真实规格；如员工需要其他规格就新增物料。	普通墙面明装开关、插座、弱电面板配套底盒	中	seed_import_ready	这是明装线盒常用默认SKU；如员工需要加深盒、防水盒、金属盒、暗装盒或其他尺寸规格，就新增物料。	保留明装安装方式，并按常见86型明装底盒补齐尺寸、材质和适配面板信息。
SKU-DRAFT-000011	ELEC-000009	B	电箱	电气材料/配电箱	个	型号/规格：P230	型号/规格：P230；类型：小型室内配电箱；回路数：12回路；安装方式：明装；箱体材质：冷轧钢板；颜色：白色；防护等级：IP30；适配器件：小型断路器	类型、回路数、安装方式、材质、颜色、防护等级、适配器件	按小型配电箱常用默认SKU补齐，并保留P230原规格标记，不代表原采购真实型号；如员工需要其他规格就新增物料。	室内普通照明或小动力末端配电箱的基础备货口径	高	seed_confirm_before_import	这是电箱常用默认SKU；如员工需要其他回路数、暗装、防水等级、成套配线、指定品牌或现场图纸规格，就新增物料，并在导入前由电工或业务复核。	保留P230标记，并按常见室内小型明装配电箱补齐回路数、箱体材质、防护等级和适配器件。
SKU-DRAFT-000012	ELEC-000010	C	五孔插座	电气材料/插座开关	个	品牌：公牛；类型：五孔	品牌：公牛；类型：五孔；规格：86型墙壁插座；额定电压：AC250V；额定电流：10A；安装方式：暗装；面板尺寸：86mm×86mm；颜色：白色	规格、额定电压、额定电流、安装方式、面板尺寸、颜色	按公牛五孔插座常用默认SKU补齐，默认86型暗装白色10A面板，不代表原采购真实型号；如员工需要其他规格就新增物料。	办公室、宿舍、走廊等普通墙面10A插座替换和新增	中	seed_import_ready	这是公牛五孔插座常用默认SKU；如员工需要明装、16A、带开关、防溅盒、不同颜色或指定型号，就新增物料。	保留品牌公牛和五孔类型，并按常见86型暗装五孔插座补齐电压、电流、安装方式和尺寸。
SKU-DRAFT-000013	ELEC-000011	C	四位开关	电气材料/插座开关	个	品牌：公牛；位数：4位	品牌：公牛；位数：4位；类型：四开单控墙壁开关；规格：86型；额定电压：AC250V；额定电流：10A；安装方式：暗装；面板尺寸：86mm×86mm；颜色：白色	类型、规格、额定电压、额定电流、安装方式、面板尺寸、颜色	按公牛墙壁开关常用默认SKU补齐，默认86型暗装白色四开单控，不代表原采购真实型号；如员工需要其他规格就新增物料。	普通室内照明四路控制场景	中	seed_import_ready	这是公牛四位开关常用默认SKU；如员工需要双控、明装、不同颜色、不同系列或指定型号，就新增物料。	保留品牌公牛和4位信息，并按常见86型暗装四开单控开关补齐电气参数和外观尺寸。
SKU-DRAFT-000014	ELEC-000012	C	一位开关	电气材料/插座开关	个	品牌：公牛；位数：1位	品牌：公牛；位数：1位；类型：单开单控墙壁开关；规格：86型；额定电压：AC250V；额定电流：10A；安装方式：暗装；面板尺寸：86mm×86mm；颜色：白色	类型、规格、额定电压、额定电流、安装方式、面板尺寸、颜色	按公牛墙壁开关常用默认SKU补齐，默认86型暗装白色单开单控，不代表原采购真实型号；如员工需要其他规格就新增物料。	普通室内照明单路控制场景	中	seed_import_ready	这是公牛一位开关常用默认SKU；如员工需要双控、明装、不同颜色、不同系列或指定型号，就新增物料。	保留品牌公牛和1位信息，并按常见86型暗装单开单控开关补齐电气参数和外观尺寸。
SKU-DRAFT-000015	ELEC-000013	C	二位开关	电气材料/插座开关	个	品牌：公牛；位数：2位	品牌：公牛；位数：2位；类型：双开单控墙壁开关；规格：86型；额定电压：AC250V；额定电流：10A；安装方式：暗装；面板尺寸：86mm×86mm；颜色：白色	类型、规格、额定电压、额定电流、安装方式、面板尺寸、颜色	按公牛墙壁开关常用默认SKU补齐，默认86型暗装白色双开单控，不代表原采购真实型号；如员工需要其他规格就新增物料。	普通室内照明双路控制场景	中	seed_import_ready	这是公牛二位开关常用默认SKU；如员工需要双控、明装、不同颜色、不同系列或指定型号，就新增物料。	保留品牌公牛和2位信息，并按常见86型暗装双开单控开关补齐电气参数和外观尺寸。
SKU-DRAFT-000016	ELEC-000014	C	LED灯泡	电气材料/照明	个	品牌：公牛；功率：40W	品牌：公牛；功率：40W；类型：LED球泡灯；灯头规格：E27；色温：6500K白光；额定电压：AC220V；外形：大功率球泡；颜色：白色	类型、灯头规格、色温、额定电压、外形、颜色	按公牛LED灯泡常用默认SKU补齐，默认E27灯头40W白光球泡，不代表原采购真实型号；如员工需要其他规格就新增物料。	仓库、办公室、公共区域等普通照明灯泡替换	中	seed_import_ready	这是公牛40W LED灯泡常用默认SKU；如员工需要E14灯头、暖光、低功率、投光灯、筒灯或指定型号，就新增物料。	保留品牌公牛和40W功率，并按常见E27白光LED球泡补齐灯头、色温、电压和外形。
