current_top_category	current_material_family	sku_count	target_top_category	target_second_layer_family	decision	confidence	manual_judgment	next_action	examples
清洁办公后勤	挂锁	11	清洁办公后勤	门窗五金	合并	高	挂锁是门窗和场地锁具，和门锁、合页、插销同属门窗五金，不适合作为独立二级族。	合并到门窗五金，第三层保留挂锁并维护材质、规格、钥匙类型。	HW-LOCK-000002 挂锁 材质：不锈钢；规格：50；HW-LOCK-000004 挂锁 材质：不锈钢；规格：40；HW-LOCK-000005 挂锁 材质：铜；HW-LOCK-000006 挂锁 材质：不锈钢；规格：40；品质：好
清洁办公后勤	垃圾袋	11	清洁办公后勤	清洁用品	合并	中	垃圾袋是后勤清洁消耗品，不属于包装袋口径；目标表没有单独清洁耗材，暂由清洁用品承接。	合并到清洁用品，建议目标族定义补充垃圾袋等清洁耗材边界。	ADMIN-000005 垃圾袋 规格：大；ADMIN-000008 垃圾袋 规格：120*140；特征：厚；ADMIN-000020 垃圾袋 规格：大号；ADMIN-000032 垃圾袋 规格：待补；每包数量：待补
清洁办公后勤	合页	10	清洁办公后勤	门窗五金	合并	高	合页是门窗启闭五金，和门锁、闭门器、门吸属于同一安装场景。	合并到门窗五金，第三层保留合页并维护材质、寸数、厚度。	METAL-000001 不锈钢合页 材质：不锈钢；规格：4寸；SPARE-000005 合页 材质：不锈钢；规格：4寸；特征：加厚；METAL-000008 不锈钢合页 材质：不锈钢；规格：6寸；METAL-000009 不锈钢合页 材质：不锈钢；规格：5寸
清洁办公后勤	记号笔	9	清洁办公后勤	办公文具	合并	高	记号笔属于办公书写和标识文具，数量较多但不需要单独作为二级族。	合并到办公文具，第三层保留记号笔并维护颜色、笔型、包装数量。	ADMIN-000006 记号笔 类型：记号笔；ADMIN-000011 记号笔 颜色：白色；ADMIN-000013 记号笔 颜色：黑色；ADMIN-000025 记号笔 品类：记号笔
清洁办公后勤	插销	7	清洁办公后勤	门窗五金	合并	高	插销用于门窗或门体固定，是典型门窗五金配件。	合并到门窗五金，第三层保留插销并维护材质、寸数、带锁特征。	SPARE-000002 插销 材质：不锈钢；SPARE-000003 插销 材质：不锈钢；功能：带锁；SPARE-000004 插销 规格：4寸；SPARE-000007 插销 材质：不锈钢
清洁办公后勤	扫把	6	清洁办公后勤	清洁工具	合并	高	扫把是清扫工具，和拖把、垃圾夹等应归同一清洁工具族。	合并到清洁工具，第三层按扫把材质或类型细分。	TOOL-000005 扫把 材质：塑料；TOOL-000006 扫把 材质/类型：高粱；TOOL-000008 扫把 规格：未注明；TOOL-000031 扫把 材质：高粱；规格：小
清洁办公后勤	垃圾桶	5	清洁办公后勤	清洁工具	合并	高	垃圾桶是现场和办公后勤清洁收纳工具，目标清洁工具已包含垃圾桶。	合并到清洁工具，第三层保留垃圾桶并维护容量、材质、带盖情况。	TOOL-000073 垃圾桶 规格：大号；ADMIN-000031 垃圾桶 规格：大；ADMIN-000056 垃圾桶 类型：垃圾桶；ADMIN-000059 垃圾桶 容量：120L
清洁办公后勤	拖把	5	清洁办公后勤	清洁工具	合并	高	拖把是地面清洁工具，不应与清洁剂等消耗品混在同一名称层级。	合并到清洁工具，第三层保留拖把、海绵拖把、棉拖把等名称。	TOOL-000017 拖把 规格：大；TOOL-000025 拖把 规格：大；TOOL-000098 拖把 类型：拖把；TOOL-000118 拖把 类型：拖把
清洁办公后勤	门锁	4	清洁办公后勤	门窗五金	合并	高	门锁是门窗五金核心品类，适配办公室门、大门、防盗门等场景。	合并到门窗五金，第三层保留门锁并维护适配对象和锁体型号。	HW-LOCK-000001 门锁 用途：办公室门；HW-LOCK-000008 门锁 用途：大门；HW-LOCK-000009 防盗门锁 材质：不锈钢；用途：防盗门；HW-LOCK-000016 门锁 材质：铝合金；适配对象：断桥铝门；类型：门锁
清洁办公后勤	吸油棉	4	清洁办公后勤	清洁工具	合并	高	吸油棉用于现场吸油清洁和污染控制，目标清洁工具已明确包含吸油棉。	合并到清洁工具，第三层保留吸油棉并维护尺寸、厚度、吸附用途。	ADMIN-000027 吸油棉 尺寸：40*50*5；用途：吸油；ADMIN-000028 吸油棉 用途：吸油；ADMIN-000041 吸油棉 厚度：5mm；用途：吸油；MAT-000252 吸油棉 尺寸：40cm*50cm*5mm
