编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00001	办公室门锁	用途: 办公室门；规格型号缺失	五金备件/门锁锁具	个	办公室门锁	状态：可建档-低精度；是否需要区分锁体型号/开孔规格？
REVIEW-MAT-00002	漏电断路器	品牌: 施耐德；极数: 4P；电流: 250A；类型: 漏电二合一	电气材料/低压电器	个	4P*250A施耐德漏电二合一	
REVIEW-MAT-00003	热缩管	规格: 3CM	电气材料/绝缘材料	米	3CM热缩管	
REVIEW-MAT-00004	热缩管	规格: 2CM	电气材料/绝缘材料	米	2CM热缩管	
REVIEW-MAT-00005	热缩管	规格: 1.5CM	电气材料/绝缘材料	米	1.5CM热缩管	
REVIEW-MAT-00006	透明电工胶布	品牌: 3M；颜色: 透明	电气材料/绝缘材料	个	3M透明电胶布	
REVIEW-MAT-00007	聚氨酯堵漏剂	包装规格: 20KG；类型: 堵漏剂	化工耗材/堵漏剂	桶	聚氨酯堵漏剂20KG	
REVIEW-MAT-00008	灯管	功率: 36W	电气材料/照明	套	36W灯管	需不需要区分 LED/荧光灯、长度？
REVIEW-MAT-00009	USB插座	品牌: 公牛；USB电流: 2.1A	电气材料/插座开关	个	2.1ASUB公牛插座	原文 SUB 是否为 USB？
REVIEW-MAT-00010	明装线盒	安装方式: 明装	电气材料/电气辅材	个	明装线盒	状态：可建档 | 可合并；规格尺寸缺失，可低精度建档 | 与第14行同物料
REVIEW-MAT-00011	电箱	型号/规格: P230	电气材料/配电箱	个	P230电箱	P230 是否为箱体尺寸或型号？
REVIEW-MAT-00012	五孔插座	品牌: 公牛；类型: 五孔	电气材料/插座开关	个	公牛五孔插座	明装/暗装未说明
REVIEW-MAT-00013	四位开关	品牌: 公牛；位数: 4位	电气材料/插座开关	个	公牛4位开关	明装/暗装未说明
REVIEW-MAT-00014	一位开关	品牌: 公牛；位数: 1位	电气材料/插座开关	个	公牛1位开关	明装/暗装未说明
REVIEW-MAT-00015	二位开关	品牌: 公牛；位数: 2位	电气材料/插座开关	个	公牛2位开关	明装/暗装未说明
REVIEW-MAT-00016	LED灯泡	品牌: 公牛；功率: 40W	电气材料/照明	个	40WLED公牛灯泡	色温/灯头规格缺失
REVIEW-MAT-00017	BV电线	品牌: 起帆；型号: BV；截面积: 2.5平方	电气材料/电线电缆	米	起帆BV2.5平方电线 | BV2.5起帆平方电线	状态：可建档 | 可合并；颜色缺失 | 与第662行同物料，颜色仍缺
REVIEW-MAT-00018	BV电线	品牌: 起帆；型号: BV；截面积: 10平方	电气材料/电线电缆	米	起帆BV10平方电线	颜色缺失
REVIEW-MAT-00019	BV电线	品牌: 起帆；型号: BV；截面积: 25平方	电气材料/电线电缆	米	起帆BV25平方电线	颜色缺失
REVIEW-MAT-00020	紧线器	额定载荷: 1T	工具器具/电力工具	套	1T紧线器	
REVIEW-MAT-00021	木方	规格: 4*9	建筑材料/模板木方	米	4*9木方	状态：可建档 | 可合并；单位规格是否 cm？ | 与第32行同物料
REVIEW-MAT-00022	木方	规格: 4*4	建筑材料/模板木方	米	4*4木方	单位规格是否 cm？
REVIEW-MAT-00023	铁钉	长度: 2寸	五金备件/紧固件	斤	2寸铁钉	
REVIEW-MAT-00024	不锈钢合页	材质: 不锈钢；规格: 4寸	五金备件/门窗五金	套	4寸不锈钢合页	状态：可建档 | 可合并；与第38行同物料
REVIEW-MAT-00025	墙纸	包装/规格: 大卷	装修材料/墙面材料	卷	墙纸大卷	状态：可建档-低精度 | 可合并；款式/材质缺失 | 与第39行同物料
REVIEW-MAT-00026	热水壶	类型: 热水壶	办公生活用品/小电器	个	热水壶	状态：可建档-低精度；容量/品牌缺失
REVIEW-MAT-00027	PPR管	品牌: 公元；规格: 25	工程材料/PPR管件	米	公元25PPR管	状态：可建档 | 可合并；与第41行同物料
REVIEW-MAT-00028	PPR直通	品牌: 公元；规格: 25；类型: 直通	工程材料/PPR管件	个	公元25PPR直通	
REVIEW-MAT-00029	PPR弯头	品牌: 公元；规格: 25；类型: 弯头	工程材料/PPR管件	个	公元25PPR弯头	
REVIEW-MAT-00030	PPR热熔机	品牌: 公元；用途: PPR热熔	工具器具/管道工具	个	公元热熔机	型号缺失，可低精度建档
REVIEW-MAT-00031	PPR管剪刀	品牌: 公元；用途: PPR管剪切	工具器具/管道工具	个	公元PPR剪刀	状态：可建档 | 可合并；与第46行同物料
REVIEW-MAT-00032	石子	粒径: 4-6MM	建筑材料/水泥砂石	斤	4-6MM石子	
REVIEW-MAT-00033	工业插头	品牌: 公牛；电压: 380V；电流: 25A	电气材料/插头插座	个	公牛380V*25A插头	极数缺失
REVIEW-MAT-00034	电工胶布	品牌: 3M	电气材料/绝缘材料	个	3M电胶布	颜色缺失
