domain	candidate_term	decision	suggested_family	split_rule	family_attributes	include_examples	exclude_examples	priority	confidence	reason
电气电料	电缆	split	电缆；电缆防水接头；电缆支架	按实物用途拆分：导电线缆归电缆；穿线密封件归电缆防水接头；承托固定件归电缆支架	型号；芯数截面；电压等级；材质；屏蔽类型；护套材质；品牌；长度	电缆；电缆线；屏蔽信号电缆	电缆防水接头；金属电缆防水接头；电缆三角支架	P0	high	候选词命中电缆本体和附件，必须避免把接头、支架并入线缆族。
电气电料	电线	split	电线；电线固定辅材	按本体和辅材拆分：BV等导线归电线；扎丝、电线架等固定整理件归电气辅材	型号；截面积；颜色；芯数；材质；电压等级；品牌；长度	BV电线；电线	电线扎丝；镀锌电线架	P0	high	电线本体边界清楚，但候选样例混入固定辅材。
电气电料	插座	solidify	插座	排除底盒、套装和非插座附件；墙插、USB插座、空调插座仍归插座	类型；孔位；电流；电压；安装方式；功能；品牌；型号	插座；五孔插座；USB插座；空调插座；导轨五孔插座	插座底盒；航空插头插座套装；插排	P0	high	插座是清晰实物族，底盒和移动插排应另归附件或移动插座。
电气电料	插头	solidify	插头	排除插头插座成套包和焊机/液压等非电气快接件	类型；插脚数；电流；电压；标准；防护等级；品牌	插头；三脚插头；工业插头；欧标转换插头	航空插头插座套装；电焊快速接头；液压快速接头	P1	high	插头均集中在插头插座类，类型和规格做族内属性。
电气电料	插线板	solidify	插线板	插排、拖线板、插线板合并；固定墙插不并入	孔位；线长；额定电流；结构；开关配置；品牌；型号	插线板；拖线板；插排	五孔插座；明装插座；插座底盒	P1	high	移动多孔插座与墙面插座采购和规格字段不同，适合单独固化。
电气电料	开关	split	墙壁开关；按钮开关；断路器；开关电源；控制开关；开关底盒	按功能拆分：墙壁通断、按钮控制、保护断路、电源模块、底盒附件分别成族	类型；位数；极数；额定电流；电压；控制对象；安装方式；品牌；型号	一位开关；二位开关；四位开关；按钮开关；时控开关	空气开关；漏电断路器；开关电源；开关底盒	P0	high	开关候选横跨面板开关、断路器、电源和底盒，不能粗并为一个族。
电气电料	按钮	split	按钮开关；按钮指示灯；设备按钮标识贴	按是否为电气元件拆分：按钮/急停/带灯按钮归开关按钮；标识贴归标识铭牌	功能；颜色；触点形式；带灯状态；电压；安装孔径；品牌；型号	按钮开关；急停按钮；带灯按钮开关；启动按钮指示灯	设备按钮标识贴	P1	high	按钮本身可做开关按钮族，但样例混入设备标识贴。
电气电料	断路器	solidify	断路器	空气开关、漏电断路器、塑壳断路器作为类型属性	类型；极数；额定电流；脱扣曲线；分断能力；漏电保护参数；品牌；型号	断路器；漏电断路器；空气开关；塑壳断路器	开关电源；按钮开关；总开关手柄	P0	high	低压保护电器边界稳定，空气开关是断路器俗称。
电气电料	漏电	split	漏电断路器；漏电保护器	按产品名称拆分，漏电只是保护功能属性，不能独立成族	漏电动作电流；极数；额定电流；电压；类型；品牌；型号	漏电断路器；漏电保护器	漏电；漏电功能	P1	medium	漏电描述保护功能，规则应落到具体断路器或保护器族。
电气电料	接线端子	solidify	接线端子	铜鼻子、OT端子、管型端子、端子排作为类型/结构属性纳入；排除压线工具	类型；材质；适配线径；孔径；额定电流；颜色；型号；品牌	接线端子；铜接线端子；管型接线端子；端子排；OT铜端子；铜鼻子	端子压线钳；铜管路接头	P0	high	接线端子是电气连接件核心族，铜鼻子等为端子类型。
电气电料	端子	split	接线端子；端子压线钳	按实物拆分：端子/端子排归接线端子；压接工具归工具量具	端子类型；材质；适配线径；孔径；额定电流；型号	OT铜端子；冷压线鼻端子；端子排；管型接线端子	端子压线钳	P0	high	候选端子大多是电气端子，但明确混入工具。
电气电料	铜鼻子	attribute_only	接线端子	作为接线端子类型/别名处理，不单独升级为独立族	类型；材质；适配线径；孔径；电流；表面处理；型号	铜鼻子；DT铜鼻子；开口铜鼻子	铜接头；铜止回阀；铜管接头	P1	high	铜鼻子是接线端子的常见俗名和类型，规则应并入接线端子。
电气电料	铜接头	split	接线端子；管路铜接头	按适配对象拆分：适配线径/电流的铜接头归接线端子；DN口径/管路连接归管路接头	材质；适配线径；孔径；额定电流；管径；连接方式；表面处理	铜接头 适配线径150平方；铜接头 适配线径120平方	加厚铜接头 DN80；铜接头 DN50；液压铜接头	P0	high	同名同时表示电缆铜端子和管路铜接头，是高风险跨域词。
电气电料	扎带	solidify	扎带	尼龙扎带和普通扎带合并；材质、颜色、尺寸做属性	材质；宽度；长度；颜色；包装数量；耐候等级；品牌	扎带；尼龙扎带	扎带枪；绑扎服务；金属卡箍	P0	high	样例集中在电气辅材，规格和材质不需要拆族。
电气电料	灯管	solidify	灯管	排除灯泡、灯带和照明配件	光源类型；功率；长度；色温；电压；接口；品牌；型号	灯管；LED灯管；荧光灯管	LED灯泡；LED灯带；启辉器	P1	high	灯管是照明灯具下清晰族，功率和长度是关键属性。
电气电料	灯泡	solidify	灯泡	LED、普通灯泡作为光源类型属性；不并入灯管/灯带	光源类型；功率；灯头接口；色温；电压；形状；品牌	LED灯泡；灯泡	灯管；灯带；防爆机床灯	P1	high	灯泡样例集中，接口和功率可做属性。
电气电料	电源	split	开关电源；电源适配器；电源转换器；电源线；双电源转换器；电源检测仪器	按实物功能拆分：供电模块、适配器、转换器、线缆、双电源切换和检测工具分开	输入电压；输出电压；功率；电流；接口；极数；线长；品牌；型号	开关电源；电源适配器；电源转换器；双电源转换器	打印机电源线；电源极性检测器	P0	high	电源是上位词，样例跨模块、线缆和工具，不能独立成物料族。
电气电料	开关电源	solidify	开关电源	归低压电源模块；不并入开关按钮	输入电压；输出电压；功率；输出路数；防护等级；安装方式；品牌；型号	开关电源	墙壁开关；按钮开关；空气开关	P1	high	开关电源是电源模块，不是通断开关。
电气电料	电源转换器	solidify	电源转换器	直流/交流转换参数做属性；电源线和检测器排除	输入电压；输出电压；输出电流；功率；接口；防护等级；品牌	电源转换器；24V转12V电源转换器	电源线；电源适配器；电源极性检测器	P2	medium	样例少但实物边界明确，可作为电源模块细分族。
电气电料	电缆防水接头	solidify	电缆防水接头	只收电缆格兰头/穿线密封接头；不得收管路、消防、网线接头	螺纹规格；材质；适用电缆范围；防护等级；密封圈材质；颜色；品牌	电缆防水接头；金属电缆防水接头	防水网线接头；网线防水对接头；消防管快速接头；PPR接头	P0	high	电气防水接头是电缆穿线密封件，必须和管路接头、网线接头分开。
电气电料	防水	attribute_only	防水	防水是功能/特性属性，不是物料族；按具体实物落族	防水等级；防水特性；适用环境	电缆防水接头；防水电工胶布；防水网线接头	防水	P2	high	防水横跨电气、弱电、消防和涂料，只能做属性或检索词。
电气电料	底盒	solidify	底盒	开关底盒、插座底盒、明装底盒合并；开关/插座本体排除	安装方式；适配类型；材质；尺寸；孔位；品牌	开关底盒；插座底盒；明装底盒	一位开关；五孔插座；插座面板	P2	medium	底盒是开关插座配套辅材，样例虽少但边界清楚。
电气电料	电箱	split	配电箱；电箱壳体；电箱罩；电箱门锁；电箱围栏	按实物部件拆分：箱体/壳体、罩、锁、围栏、提手等不能混成电箱族	材质；尺寸；结构；安装环境；额定电流；防护等级；定制状态	电箱；户外电箱；双开门电箱；配电箱壳体	电箱罩；电箱门锁；电箱围栏；电箱提手	P1	medium	电箱候选混入箱体、保护罩、门锁和围栏，需要按部件拆。
电气电料	电柜	split	电柜；电柜散热风机；电柜防雨罩组合	按箱柜本体和配件/组合件拆分	材质；尺寸；结构；防护等级；用途；电压；风机规格	不锈钢内外门电柜	电柜散热风机；电柜风扇防雨罩组合	P2	medium	电柜本体与散热、防雨配件不是同一物料族。
