current_top_category	current_material_family	sku_count	target_top_category	target_second_layer_family	decision	confidence	manual_judgment	next_action	examples
管材管件阀门	直接/接头	63	管材管件阀门	直接/接头	保留	高	当前族主要是 PPR 直通、内牙直通、异径直接、补心等管路连接件，符合二级物料族定义。	进入第三层治理，拆成 PPR直通、PPR内牙直通、异径接头、补心等物料名称。	PIPE-000002 PPR直通；PIPE-000009 PPR内牙直通；PIPE-000016 PPR异径直接；PIPE-000020 排水异径补心
管材管件阀门	弯头	39	管材管件阀门	弯头	保留	高	当前族主要是 PPR/PVC/排水弯头、内牙弯头、过桥弯，属于改变管路方向的管件。	进入第三层治理，拆成 PPR弯头、PPR内牙弯头、PVC弯头、过桥弯等。	PIPE-000003 PPR弯头；PIPE-000010 PPR内牙弯头；PIPE-000015 PPR过桥弯
管材管件阀门	球阀	31	管材管件阀门	阀门	合并	高	球阀是阀门的一种，不应作为第二层独立族；更适合作为第三层物料名称。	合并到二级族阀门，第三层名称保留球阀/铜球阀/不锈钢球阀。	PIPE-000039 高压铜球阀；METAL-000012 不锈钢球阀；PIPE-000090 不锈钢球阀
管材管件阀门	管材	31	管材管件阀门	管材	保留	高	当前族主要是 PPR 管、UPVC 给水管等直线管材，符合二级族定义。	进入第三层治理，拆成 PPR管、UPVC给水管、PVC管、镀锌管等。	PIPE-000001 PPR管；PIPE-000029 PPR给水管；PIPE-000068 UPVC给水管
管材管件阀门	阀门	30	管材管件阀门	阀门	保留	高	当前族包含三角阀、PPR阀门、止回阀、角阀等控制通断类物料，符合阀门族。	进入第三层治理，拆成三角阀、止回阀、角阀、PPR阀门等。	PIPE-000006 三角阀；PIPE-000027 PPR阀门；PIPE-000030 铜止回阀；METAL-000005 不锈钢角阀
管材管件阀门	三通	27	管材管件阀门	三通	保留	高	当前族主要是 PPR 三通、内牙三通、排水三通，属于管路分支管件。	进入第三层治理，拆成 PPR三通、PPR内牙三通、排水三通、异径三通等。	PIPE-000007 PPR三通；PIPE-000008 PPR内牙三通；PIPE-000019 排水三通
管材管件阀门	法兰	9	管材管件阀门	法兰	拆分	中	当前族混有法兰盘、国标法兰、法兰垫片、法兰胶垫；法兰本体可归法兰，垫片/胶垫不应归法兰本体。	族内拆分：法兰盘/国标法兰保留法兰；法兰垫片/法兰胶垫移到垫圈/垫片或后续密封垫片族。	PIPE-000125 法兰盘；PIPE-000130 国标法兰；PIPE-000131 法兰垫片；SPARE-000078 法兰胶垫
管材管件阀门	堵头	8	管材管件阀门	直接/接头	合并	中	堵头是管路封堵连接件，数量不大，暂不作为第二层独立族；适合作为直接/接头族下的第三层名称。	合并到直接/接头，第三层名称保留堵头。	PIPE-000011 堵头；PIPE-000077 镀锌堵头；PIPE-000143 堵头
管材管件阀门	水龙头	8	管材管件阀门	水龙头/洁具配件	合并	高	水龙头不是阀门族的二级统计口径，更接近洁具/末端用水配件。	合并到水龙头/洁具配件，第三层名称保留水龙头、洗衣机龙头、冷热水龙头。	MAT-000003 洗衣机龙头；MAT-000006 水龙头；MAT-000008 水龙头
管材管件阀门	生料带	3	管材管件阀门	管道辅材	合并	高	生料带是管道安装密封辅材，不是管件本体。	合并到管道辅材，第三层名称保留生料带。	SPARE-000008 生料带；MAT-000043 生料带；PIPE-000239 生料带
管材管件阀门	金属软管	3	管材管件阀门	管材	合并	中	金属软管承担管路连接/输送功能，但规格模板不同于硬管；v0.1 暂归管材，后续如数量增加可独立成软管族。	暂合并到管材，第三层名称为金属软管；保留长度、接口规格字段。	PIPE-000025 金属软管；PIPE-000026 金属软管；PIPE-000038 金属软管
管材管件阀门	小便器感应器	2	管材管件阀门	水龙头/洁具配件	合并	中	小便器感应器是洁具配件/控制配件，不属于阀门或电气主类；数量少，先纳入洁具配件。	合并到水龙头/洁具配件，第三层名称为小便器感应器；后续可按机电洁具配件复核。	MAT-000032 小便器感应器；MAT-000130 小便器感应器
管材管件阀门	止回阀	2	管材管件阀门	阀门	合并	高	止回阀是阀门的一种，不应做第二层独立族。	合并到阀门，第三层名称保留止回阀。	PIPE-000341 止回阀；PIPE-000467 PVC止回阀
管材管件阀门	法兰软连接	2	管材管件阀门	法兰	合并	中	法兰软连接带有法兰连接属性，是管道连接件；v0.1 可归法兰族下第三层名称。	合并到法兰，第三层名称为法兰软连接；保留两端口径、长度、材质。	PIPE-000270 法兰软连接；PIPE-000271 法兰软连接
管材管件阀门	洗脸盆	2	管材管件阀门	水龙头/洁具配件	合并	中	洗脸盆属于洁具本体，不是管件；当前一级类目内暂由水龙头/洁具配件承接。	合并到水龙头/洁具配件，第三层名称保留洗脸盆；后续如洁具数量增加可独立洁具族。	METAL-000002 洗脸盆；MAT-000186 洗脸盆
管材管件阀门	不锈钢洗脸盆	1	管材管件阀门	水龙头/洁具配件	合并	中	不锈钢是材质，不应作为第二层族；洗脸盆归洁具配件。	合并到水龙头/洁具配件，第三层名称为洗脸盆，材质进入 SKU。	METAL-000004 不锈钢洗脸盆
管材管件阀门	井盖	1	建筑材料	井盖/道路附属件	移出	中	井盖属于市政道路附属构件，不是管材管件阀门；当前目标族表尚未定义，可作为建筑材料下新增候选族。	移出到建筑材料，建议补充二级族井盖/道路附属件。	MAT-000159 井盖
管材管件阀门	冲水水箱	1	管材管件阀门	水龙头/洁具配件	合并	中	冲水水箱是洁具配件，不是管件本体。	合并到水龙头/洁具配件，第三层名称为冲水水箱。	MAT-000010 冲水水箱
管材管件阀门	变径接头	1	管材管件阀门	直接/接头	合并	高	变径接头是直接/接头族的典型第三层名称。	合并到直接/接头，第三层名称为变径接头。	PIPE-000456 镀锌变径接头
管材管件阀门	小便斗	1	管材管件阀门	水龙头/洁具配件	合并	中	小便斗是洁具本体，不是管件；当前由洁具配件承接。	合并到水龙头/洁具配件，第三层名称为小便斗；如洁具增多再拆族。	MAT-000011 小便斗
管材管件阀门	异径接头	1	管材管件阀门	直接/接头	合并	高	异径接头属于管路连接件，归直接/接头族。	合并到直接/接头，第三层名称为异径接头。	PIPE-000153 镀锌异径接头
管材管件阀门	方形集水斗	1	管材管件阀门	水龙头/洁具配件	复核	低	集水斗与排水系统相关，但既不像常规管件也不像洁具，数量少，需业务确认是否归排水配件。	暂归水龙头/洁具配件下排水配件候选，采购发生时复核。	PIPE-000099 方形集水斗
管材管件阀门	水龙头花洒套装	1	管材管件阀门	水龙头/洁具配件	合并	高	水龙头花洒套装是末端用水洁具配件组合。	合并到水龙头/洁具配件，第三层名称为水龙头花洒套装。	MAT-000005 水龙头花洒套装
管材管件阀门	洗脸盆下水管	1	管材管件阀门	水龙头/洁具配件	合并	中	洗脸盆下水管是洁具排水配件，不应作为管材族。	合并到水龙头/洁具配件，第三层名称为洗脸盆下水管。	PIPE-000014 洗脸盆下水管
管材管件阀门	洗脸盆龙头	1	管材管件阀门	水龙头/洁具配件	合并	高	洗脸盆龙头是水龙头/洁具配件的典型第三层名称。	合并到水龙头/洁具配件，第三层名称为洗脸盆龙头。	MAT-000013 洗脸盆龙头
管材管件阀门	洗衣机进水管	1	管材管件阀门	水龙头/洁具配件	合并	中	洗衣机进水管是家装/洁具配套软管，数量少，暂归洁具配件而非工程管材。	合并到水龙头/洁具配件，第三层名称为洗衣机进水管。	PIPE-000080 洗衣机进水管
管材管件阀门	热水器隔电堵	1	管材管件阀门	水龙头/洁具配件	合并	低	热水器隔电堵是热水器相关小配件，不是通用管件；当前无更合适二级族，暂归洁具配件复核。	暂归水龙头/洁具配件，标记采购前确认适配对象。	MAT-000022 热水器隔电堵
管材管件阀门	蹲便器	1	管材管件阀门	水龙头/洁具配件	合并	中	蹲便器是洁具本体，不是管件；当前由洁具配件承接。	合并到水龙头/洁具配件，第三层名称为蹲便器。	MAT-000009 蹲便器
