merged_item_code,governance_grade,priority,issue_type,standard_name,canonical_group_path,specs,unit,missing_specs,governance_reason,next_action,source_rows,alias_names
REVIEW-MAT-00001,C,medium,needs_human_review,办公室门锁,五金备件/门锁锁具/门锁锁具,用途: 办公室门；规格型号缺失,个,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,Sheet1:3,办公室门锁
REVIEW-MAT-00002,C,medium,low_precision_conflict,漏电断路器,电气与自动化/低压电器/低压电器,品牌: 施耐德；极数: 4P；电流: 250A；类型: 漏电二合一,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:4,4P*250A施耐德漏电二合一
REVIEW-MAT-00007,D,high,alias_conflict,聚氨酯堵漏剂,化工油漆胶粘/其他/堵漏剂,包装规格: 20KG；类型: 堵漏剂,桶,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:11,聚氨酯堵漏剂20KG
REVIEW-MAT-00008,C,medium,needs_note_review,灯管,电气与自动化/照明与报警/灯具,功率: 36W,套,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:13,36W灯管
REVIEW-MAT-00009,C,medium,needs_note_review,USB插座,电气与自动化/低压电器/开关按钮,品牌: 公牛；USB电流: 2.1A,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:14,2.1ASUB公牛插座
REVIEW-MAT-00010,C,medium,missing_specs,明装线盒,电气与自动化/其他/电气辅材,安装方式: 明装,个,至少一个: 型号；规格；品牌；电流；电压；功率；位数,未满足当前分组的关键规格模板。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:15；Sheet1:22,明装线盒
REVIEW-MAT-00011,C,medium,low_precision_conflict,电箱,电气与自动化/其他/配电箱,型号/规格: P230,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:16,P230电箱
REVIEW-MAT-00012,D,high,alias_conflict,五孔插座,电气与自动化/低压电器/开关按钮,品牌: 公牛；类型: 五孔,个,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:18,公牛五孔插座
REVIEW-MAT-00013,C,medium,needs_note_review,四位开关,电气与自动化/低压电器/开关按钮,品牌: 公牛；位数: 4位,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:19,公牛4位开关
REVIEW-MAT-00014,D,high,unit_conflict,一位开关,电气与自动化/低压电器/开关按钮,品牌: 公牛；位数: 1位,个,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:20,公牛1位开关
REVIEW-MAT-00015,C,medium,low_precision_conflict,二位开关,电气与自动化/低压电器/开关按钮,品牌: 公牛；位数: 2位,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:21,公牛2位开关
REVIEW-MAT-00016,C,medium,specs_conflict,LED灯泡,电气与自动化/照明与报警/灯具,品牌: 公牛；功率: 40W,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:25,40WLED公牛灯泡
REVIEW-MAT-00017,C,medium,low_precision_conflict,BV电线,电气与自动化/电线电缆与敷设/电线电缆,品牌: 起帆；型号: BV；截面积: 2.5平方,米,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:26；Sheet1:663；Sheet1:668,BV2.5起帆平方电线；起帆BV2.5平方电线
REVIEW-MAT-00018,C,medium,low_precision_conflict,BV电线,电气与自动化/电线电缆与敷设/电线电缆,品牌: 起帆；型号: BV；截面积: 10平方,米,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:27,起帆BV10平方电线
REVIEW-MAT-00019,C,medium,low_precision_conflict,BV电线,电气与自动化/电线电缆与敷设/电线电缆,品牌: 起帆；型号: BV；截面积: 25平方,米,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:28,起帆BV25平方电线
REVIEW-MAT-00020,C,medium,missing_specs,紧线器,工具器具/其他/电力工具,额定载荷: 1T,套,至少一个: 型号；规格；品牌；尺寸；适用设备,未满足当前分组的关键规格模板。,确认品牌、型号/规格和适用设备。,Sheet1:31,1T紧线器
REVIEW-MAT-00021,C,medium,specs_conflict,木方,工程建材/其他/模板木方,规格: 4*9,米,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:33；Sheet1:57,4*9木方
REVIEW-MAT-00022,C,medium,specs_conflict,木方,工程建材/其他/模板木方,规格: 4*4,米,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:34,4*4木方
REVIEW-MAT-00023,C,medium,low_precision_conflict,铁钉,五金备件/其他/紧固件,长度: 2寸,斤,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级和单位。,Sheet1:38,2寸铁钉
REVIEW-MAT-00024,C,medium,low_precision_conflict,不锈钢合页,五金备件/其他/门窗五金,材质: 不锈钢；规格: 4寸,套,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,Sheet1:39；Sheet1:58,4寸不锈钢合页
REVIEW-MAT-00025,C,medium,needs_human_review,墙纸,工程建材/其他/墙面材料,包装/规格: 大卷,卷,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:40；Sheet1:50,墙纸大卷
REVIEW-MAT-00026,C,medium,needs_human_review,热水壶,行政办公与清洁/生活后勤/生活用品,类型: 热水壶,个,,存在低精度或人工复核标记，需要补齐信息。,确认规格、品牌和包装单位。,Sheet1:41,热水壶
REVIEW-MAT-00027,D,high,alias_conflict,PPR管,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25,米,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:169；Sheet1:42,公元25PPR管
REVIEW-MAT-00028,C,medium,low_precision_conflict,PPR直通,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；类型: 直通,个,,存在低精度或人工复核标记，需要补齐信息。,确认材质、口径/规格、连接方式和类型。,Sheet1:43,公元25PPR直通
REVIEW-MAT-00029,D,high,alias_conflict,PPR弯头,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；类型: 弯头,个,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:44,公元25PPR弯头
REVIEW-MAT-00030,D,high,alias_conflict,PPR热熔机,工具器具/其他/管道工具,品牌: 公元；用途: PPR热熔,个,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:46,公元热熔机
