"item_code"	"current_item_name"	"current_required_specs"	"current_uom"	"target_top_category"	"target_second_layer_family"	"target_third_layer_name"	"decision"	"confidence"	"assumed_specs"	"manual_judgment"	"next_action"
"PIPE-000006"	"三角阀"	"规格：4分"	"个"	"管材管件阀门"	"阀门"	"角阀"	"三级名称脱水"	"high"	""	"阀门三级名称脱水：材质、连接方式、驱动方式、结构、工况等下压为SKU规格，三级名称只保留阀门本体类型。"	"采购前补齐公称压力、连接标准、适用介质、执行标准；若原名称过泛，使用前确认真实阀型。"
"PIPE-000027"	"PPR阀门"	"品牌：公元；规格：25；类型：阀门"	"个"	"管材管件阀门"	"阀门"	"球阀"	"三级名称脱水"	"medium"	"材质：PPR"	"阀门三级名称脱水：材质、连接方式、驱动方式、结构、工况等下压为SKU规格，三级名称只保留阀门本体类型。 PPR阀门按现场常用PPR球阀近似，采购前需确认具体阀型。"	"采购前补齐公称压力、连接标准、适用介质、执行标准；若原名称过泛，使用前确认真实阀型。"
"PIPE-000030"	"铜止回阀"	"品牌：埃美柯；材质：铜；规格：32；类型：止回阀"	"个"	"管材管件阀门"	"阀门"	"止回阀"	"三级名称脱水"	"high"	"材质：铜"	"阀门三级名称脱水：材质、连接方式、驱动方式、结构、工况等下压为SKU规格，三级名称只保留阀门本体类型。"	"采购前补齐公称压力、连接标准、适用介质、执行标准；若原名称过泛，使用前确认真实阀型。"
"METAL-000005"	"不锈钢角阀"	"材质：不锈钢；规格：4分"	"个"	"管材管件阀门"	"阀门"	"角阀"	"三级名称脱水"	"high"	"材质：不锈钢"	"阀门三级名称脱水：材质、连接方式、驱动方式、结构、工况等下压为SKU规格，三级名称只保留阀门本体类型。"	"采购前补齐公称压力、连接标准、适用介质、执行标准；若原名称过泛，使用前确认真实阀型。"
"PIPE-000036"	"铜止回阀"	"品牌：埃美柯；材质：铜；规格：25；类型：止回阀"	"个"	"管材管件阀门"	"阀门"	"止回阀"	"三级名称脱水"	"high"	"材质：铜"	"阀门三级名称脱水：材质、连接方式、驱动方式、结构、工况等下压为SKU规格，三级名称只保留阀门本体类型。"	"采购前补齐公称压力、连接标准、适用介质、执行标准；若原名称过泛，使用前确认真实阀型。"
"PIPE-000039"	"高压铜球阀"	"规格：DN20；压力：350kg；材质：铜；类型：球阀"	"个"	"管材管件阀门"	"阀门"	"球阀"	"三级名称脱水"	"high"	"材质：铜；工况：高压"	"阀门三级名称脱水：材质、连接方式、驱动方式、结构、工况等下压为SKU规格，三级名称只保留阀门本体类型。"	"采购前补齐公称压力、连接标准、适用介质、执行标准；若原名称过泛，使用前确认真实阀型。"
"PIPE-000043"	"蝶阀"	"品牌：埃美柯；规格：DN65；特征：加厚"	"个"	"管材管件阀门"	"阀门"	"蝶阀"	"脱水保留"	"high"	"特征：加厚"	"阀门三级名称脱水：材质、连接方式、驱动方式、结构、工况等下压为SKU规格，三级名称只保留阀门本体类型。"	"采购前补齐公称压力、连接标准、适用介质、执行标准；若原名称过泛，使用前确认真实阀型。"
"METAL-000012"	"不锈钢球阀"	"品牌：埃美柯；规格：DN65；材质：不锈钢；特征：加厚"	"个"	"管材管件阀门"	"阀门"	"球阀"	"三级名称脱水"	"high"	"材质：不锈钢；特征：加厚"	"阀门三级名称脱水：材质、连接方式、驱动方式、结构、工况等下压为SKU规格，三级名称只保留阀门本体类型。"	"采购前补齐公称压力、连接标准、适用介质、执行标准；若原名称过泛，使用前确认真实阀型。"
"METAL-000013"	"不锈钢球阀"	"品牌：埃美柯；规格：40；材质：不锈钢；特征：加厚"	"个"	"管材管件阀门"	"阀门"	"球阀"	"三级名称脱水"	"high"	"材质：不锈钢；特征：加厚"	"阀门三级名称脱水：材质、连接方式、驱动方式、结构、工况等下压为SKU规格，三级名称只保留阀门本体类型。"	"采购前补齐公称压力、连接标准、适用介质、执行标准；若原名称过泛，使用前确认真实阀型。"
"PIPE-000044"	"热水器安全阀"	"用途：热水器；类型：安全阀"	"个"	"管材管件阀门"	"阀门"	"安全阀"	"三级名称脱水"	"high"	"用途：热水器"	"阀门三级名称脱水：材质、连接方式、驱动方式、结构、工况等下压为SKU规格，三级名称只保留阀门本体类型。"	"采购前补齐公称压力、连接标准、适用介质、执行标准；若原名称过泛，使用前确认真实阀型。"
