item_code	current_item_name	current_required_specs	current_uom	target_top_category	target_second_layer_family	target_third_layer_name	decision	confidence	assumed_specs	manual_judgment	next_action
ADMIN-000026	棉布	形态：大块	kg	清洁办公后勤	清洁工具	棉布	脱水保留	medium		棉布是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：规格；材质；包装规格。
ADMIN-000027	吸油棉	尺寸：40*50*5；用途：吸油	个	清洁办公后勤	清洁工具	吸油棉	脱水保留	high		吸油棉是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：材质。
ADMIN-000028	吸油棉	用途：吸油	张	清洁办公后勤	清洁工具	吸油棉	脱水保留	high		吸油棉是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：尺寸。
ADMIN-000029	拖把	品类：拖把	个	清洁办公后勤	清洁工具	拖把	脱水保留	high		拖把是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：规格；材质。
ADMIN-000030	抹布	品类：抹布	条	清洁办公后勤	清洁工具	抹布	脱水保留	high		抹布是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：材质；尺寸。
ADMIN-000031	垃圾桶	规格：大	个	清洁办公后勤	清洁工具	垃圾桶	脱水保留	high		垃圾桶是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：材质；容量。
ADMIN-000035	竹扫把	规格：大号；材质：竹	个	清洁办公后勤	清洁工具	扫把	三级名称脱水	high		原名称含材质、结构、规格或功能属性，三级名称收敛为扫把，属性下压到规格。	采购/建档前确认缺失规格：长度。
ADMIN-000037	扫把	规格：待补	个	清洁办公后勤	清洁工具	扫把	脱水保留	high		扫把是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：材质。
ADMIN-000038	扫斗	规格：待补	个	清洁办公后勤	清洁工具	扫斗	脱水保留	high		扫斗是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：材质。
ADMIN-000041	吸油棉	厚度：5mm；用途：吸油	张	清洁办公后勤	清洁工具	吸油棉	脱水保留	high		吸油棉是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：尺寸。
ADMIN-000042	竹扫把	规格：大；材质：竹	个	清洁办公后勤	清洁工具	扫把	三级名称脱水	high		原名称含材质、结构、规格或功能属性，三级名称收敛为扫把，属性下压到规格。	采购/建档前确认缺失规格：长度。
ADMIN-000043	抹布	形态：大块；颜色：白色	kg	清洁办公后勤	清洁工具	抹布	脱水保留	high		抹布是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：材质。
ADMIN-000044	喷壶	品类：喷壶	个	清洁办公后勤	清洁工具	喷壶	脱水保留	medium		喷壶是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：材质；容量。
ADMIN-000045	喷壶	容量：2L	个	清洁办公后勤	清洁工具	喷壶	脱水保留	medium		喷壶是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：材质。
ADMIN-000048	烟灰桶	材质：不锈钢；类型：烟灰桶	只	清洁办公后勤	清洁工具	烟灰桶	脱水保留	medium		烟灰桶是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：尺寸；容量。
ADMIN-000049	抹布	类型：抹布	KG	清洁办公后勤	清洁工具	抹布	脱水保留	high		抹布是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：材质。
ADMIN-000056	垃圾桶	类型：垃圾桶	只	清洁办公后勤	清洁工具	垃圾桶	脱水保留	high		垃圾桶是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：材质；容量。
ADMIN-000059	垃圾桶	容量：120L	个	清洁办公后勤	清洁工具	垃圾桶	脱水保留	high		垃圾桶是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：材质；颜色。
