issue_id	issue_type	severity	scope	affected_count	sample_item_codes	sample_names	recommended_action	owner_decision_needed
GOV-0001	quality_review_concentration	P0	all_skus	1640	HW-LOCK-000001；ELEC-000006；ELEC-000008；ELEC-000010；ELEC-000011；ELEC-000012；ELEC-000013；ELEC-000014	门锁；灯管；线盒；五孔插座；四位开关；一位开关；二位开关；LED灯泡	先按物料族分批治理，不直接批量导入；每批输出名称规则、规格模板、单位归一建议和人工复核清单。	yes
GOV-0002	clarify_specs_policy_concentration	P0	all_skus	1640	HW-LOCK-000001；ELEC-000006；ELEC-000008；ELEC-000010；ELEC-000011；ELEC-000012；ELEC-000013；ELEC-000014	门锁；灯管；线盒；五孔插座；四位开关；一位开关；二位开关；LED灯泡	将 clarify_specs_before_use 作为冻结口径：未补齐关键规格前仅允许检索和询问，不允许自动选型。	yes
GOV-0003	review_concentration_by_family	P0	material_family:螺丝	83	SPARE-000014；SPARE-000015；SPARE-000016；SPARE-000017；SPARE-000018；SPARE-000019；SPARE-000020；SPARE-000026	螺丝；鱼尾螺丝；骑马螺丝；内六角螺丝；高强度螺丝；六角螺丝；六角自攻螺丝；六角螺栓组件	建立该族规格模板与拆分/归并规则，先抽样人工确认边界，再由脚本生成候选修正表。	yes
GOV-0004	review_concentration_by_family	P0	material_family:液压接头	59	PIPE-000136；PIPE-000137；PIPE-000156；PIPE-000157；PIPE-000158；PIPE-000164；PIPE-000173；PIPE-000174	高压油管接头；高压外接头；高压接头；高压外丝接头；高压堵头；加厚铜接头；铜头铝套组件；液压内外牙弯头	建立该族规格模板与拆分/归并规则，先抽样人工确认边界，再由脚本生成候选修正表。	yes
GOV-0005	review_concentration_by_family	P0	material_family:定制管路接头	60	PIPE-000046；PIPE-000047；PIPE-000048；PIPE-000049；PIPE-000051；PIPE-000052；PIPE-000053；PIPE-000054	高压加厚接头；卡箍丝牙接头；双头抱箍接头；三通抱箍；高压弯头；高压卡箍双丝牙接头；内外四方接头；卡槽钢圈接头	建立该族规格模板与拆分/归并规则，先抽样人工确认边界，再由脚本生成候选修正表。	yes
GOV-0006	review_concentration_by_family	P0	material_family:直接/接头	41	PIPE-000082；PIPE-000088；PIPE-000101；PIPE-000112；PIPE-000119；PIPE-000141；PIPE-000165；PIPE-000171	PPR接头；PPR热熔接头；焊接异径接头；外接头；镀锌直通；异径接头；双卡管道连接器；内丝直通	建立该族规格模板与拆分/归并规则，先抽样人工确认边界，再由脚本生成候选修正表。	yes
GOV-0007	review_concentration_by_family	P1	material_family:弯头	30	PIPE-000042；PIPE-000062；PIPE-000065；PIPE-000066；PIPE-000074；PIPE-000107；PIPE-000108；PIPE-000115	不锈钢弯头；焊接弯头；PVC弯头；UPVC弯头；PPR弯头；镀锌弯头；镀锌内丝弯头	建立该族规格模板与拆分/归并规则，先抽样人工确认边界，再由脚本生成候选修正表。	yes
GOV-0008	review_concentration_by_family	P1	material_family:管材	24	PIPE-000085；PIPE-000086；PIPE-000087；PIPE-000118；PIPE-000162；PIPE-000179；PIPE-000212；PIPE-000219	注浆管；钢丝增强管；PPR热熔管；PPR管；波纹管；透明软管；橡胶水带；钢丝软管	建立该族规格模板与拆分/归并规则，先抽样人工确认边界，再由脚本生成候选修正表。	yes
GOV-0009	review_concentration_by_family	P1	material_family:胶管总成	34	PIPE-000318；PIPE-000319；PIPE-000320；PIPE-000321；PIPE-000322；PIPE-000323；PIPE-000324；PIPE-000325	胶管总成；高压管总成	建立该族规格模板与拆分/归并规则，先抽样人工确认边界，再由脚本生成候选修正表。	yes
GOV-0010	review_concentration_by_family	P1	material_family:管卡	16	PIPE-000072；PIPE-000133；METAL-000062；PIPE-000282；PIPE-000286；PIPE-000287；PIPE-000294；PIPE-000332	管卡；卡槽导轨；不锈钢卡槽；骑马卡；管夹；重型矿井卡箍；重型管夹；重型六联管夹	建立该族规格模板与拆分/归并规则，先抽样人工确认边界，再由脚本生成候选修正表。	yes
GOV-0011	review_concentration_by_family	P1	material_family:三通	14	PIPE-000019；PIPE-000139；PIPE-000242；PIPE-000260；METAL-000100；PIPE-000374；PIPE-000375；PIPE-000378	排水三通；镀锌三通；焊接三通；三通；UPVC Y型三通；UPVC三通；PPR三通；PVC三通	建立该族规格模板与拆分/归并规则，先抽样人工确认边界，再由脚本生成候选修正表。	yes
GOV-0012	review_concentration_by_family	P1	material_family:阀门	24	PIPE-000006；PIPE-000043；PIPE-000044；PIPE-000105；PIPE-000113；PIPE-000160；PIPE-000161；PIPE-000178	三角阀；蝶阀；热水器安全阀；单向阀；冷热水阀；法兰电动蝶阀；弹簧减压阀；Y型法兰过滤器	建立该族规格模板与拆分/归并规则，先抽样人工确认边界，再由脚本生成候选修正表。	yes
GOV-0013	uom_weight_alias	P1	unit:weight	34	SPARE-000001；MAT-CEM-000001；ADMIN-000007；WELD-000001；SAFE-000003；ADMIN-000010；SAFE-000012；SPARE-000024	铁钉；石子；重油污清洗剂；耐磨焊丝；棉布；白布；铁丝；电力清洗剂	重量单位需统一 ERPNext UOM 口径；建议 KG/kg/公斤归一为 kg 或千克，斤需人工确认是否按 0.5kg 换算。	yes
GOV-0014	uom_area_alias	P1	unit:area	32	CONST-000003；MAT-000004；MAT-000021；METAL-000030；SAFE-000030；SAFE-000031；CONST-000012；SAFE-000034	地板胶；墙布；彩条布；花纹钢板；防坠安全网；彩钢瓦；油布；人工草皮	面积单位需统一为平方米口径；平方/㎡/平米可脚本归一，但电线截面积中的“平方”不能当 stock_uom 改。	yes
GOV-0015	uom_pair_alias	P1	unit:pair	66	SPARE-000004；SPARE-000005；SAFE-000001；METAL-000008；METAL-000009；MAT-000016；SPARE-000012；SPARE-000013	插销；合页；帆布手套；不锈钢合页；吊带；加厚铁合页；电焊眼镜；乳胶手套	成对单位需要定义业务口径；手套多用双，合页/眼镜/吊带的付/副是否等价需业主确认。	yes
GOV-0016	synonym_cable	P1	synonym:电缆/电缆线/电线	32	ELEC-000015；ELEC-000016；ELEC-000017；ELEC-000022；ELEC-000030；ELEC-000034；ELEC-000052；ELEC-000053	BV电线；镀锌电线架；电缆；电缆防水接头；电线；电缆线；屏蔽信号电缆；金属电缆防水接头	长词优先：电缆防水接头/电缆支架先排除；电缆线归电缆，BV 等导线归电线。	yes
GOV-0017	synonym_spray_paint	P2	synonym:自喷漆/自动喷漆/喷漆	21	CHEM-000009；CHEM-000010；CHEM-000017；CHEM-000018；CHEM-000034；CHEM-000035；CHEM-000049；CHEM-000053	喷漆；自喷漆	自喷漆/自动喷漆可规则归并；泛称喷漆需人工确认是自喷漆、桶装油漆还是施工服务描述。	no
GOV-0018	synonym_screw	P0	synonym:螺丝/螺丝组件/螺丝套件	126	FAST-000001；SPARE-000014；SPARE-000015；SPARE-000016；SPARE-000017；SPARE-000018；SPARE-000019；SPARE-000020	膨胀螺丝；螺丝；鱼尾螺丝；骑马螺丝；内六角螺丝；高强度螺丝；六角螺丝；花篮螺丝	先排除螺丝刀、膨胀螺丝、花篮螺丝；普通螺丝统一族名，组件/套件作为成套属性或单独套件口径待确认。	yes
