merged_item_code,standard_name,canonical_group_path,specs,unit,source_count,source_candidate_count,alias_names,source_rows,governance_grade,governance_status,issue_type,missing_specs,governance_reason,next_action,matched_rule_key,matched_rule_label,rule_source,override_source,has_blocking_conflict,has_alias_conflict,has_unit_conflict,has_low_precision,needs_human_review,note_has_open_question,related_conflict_types,resolution_issue_types,original_composition_bucket,merge_confidence,merge_reason
REVIEW-MAT-00001,办公室门锁,五金备件/门锁锁具/门锁锁具,用途: 办公室门；规格型号缺失,个,1,1,办公室门锁,Sheet1:3,C,C-补关键规格,needs_human_review,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,default,默认规则,default,,false,false,false,true,true,true,,needs_human_review,需复核-人工标记,0.70,single_candidate;low_precision
REVIEW-MAT-00002,漏电断路器,电气与自动化/低压电器/低压电器,品牌: 施耐德；极数: 4P；电流: 250A；类型: 漏电二合一,个,1,1,4P*250A施耐德漏电二合一,Sheet1:4,C,C-补关键规格,low_precision_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,electrical,电气与自动化,rules_yaml,,false,false,false,true,false,false,low_precision_conflict；specs_conflict,low_precision_conflict；specs_conflict,冲突-低精度,1.00,single_candidate
REVIEW-MAT-00003,热缩管,电气与自动化/绝缘材料/热缩绝缘,规格: 3CM,米,1,1,3CM热缩管,Sheet1:5,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,electrical,电气与自动化,rules_yaml,,false,false,false,false,false,false,specs_conflict,,可导入-按规格拆分,1.00,single_candidate
REVIEW-MAT-00004,热缩管,电气与自动化/绝缘材料/热缩绝缘,规格: 2CM,米,1,1,2CM热缩管,Sheet1:6,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,electrical,电气与自动化,rules_yaml,,false,false,false,false,false,false,specs_conflict,,可导入-按规格拆分,1.00,single_candidate
REVIEW-MAT-00005,热缩管,电气与自动化/绝缘材料/热缩绝缘,规格: 1.5CM,米,1,1,1.5CM热缩管,Sheet1:7,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,electrical,电气与自动化,rules_yaml,,false,false,false,false,false,false,specs_conflict,,可导入-按规格拆分,1.00,single_candidate
REVIEW-MAT-00006,透明电工胶布,电气与自动化/绝缘材料/热缩绝缘,品牌: 3M；颜色: 透明,个,1,1,3M透明电胶布,Sheet1:8,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,electrical,电气与自动化,rules_yaml,,false,false,false,false,false,false,,,可导入-直接可用,1.00,single_candidate
REVIEW-MAT-00007,聚氨酯堵漏剂,化工油漆胶粘/其他/堵漏剂,包装规格: 20KG；类型: 堵漏剂,桶,1,1,聚氨酯堵漏剂20KG,Sheet1:11,D,D-阻塞冲突,alias_conflict,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,chemical_paint_adhesive,化工油漆胶粘,rules_yaml,,true,true,false,false,true,false,alias_conflict,alias_conflict,需复核-人工标记,0.65,single_candidate;human_review_group
REVIEW-MAT-00008,灯管,电气与自动化/照明与报警/灯具,功率: 36W,套,1,1,36W灯管,Sheet1:13,C,C-补关键规格,needs_note_review,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,electrical,电气与自动化,rules_yaml,,false,false,false,true,false,true,,needs_note_review,需复核-备注问题,1.00,single_candidate
REVIEW-MAT-00009,USB插座,电气与自动化/低压电器/开关按钮,品牌: 公牛；USB电流: 2.1A,个,1,1,2.1ASUB公牛插座,Sheet1:14,C,C-补关键规格,needs_note_review,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,electrical,电气与自动化,rules_yaml,,false,false,false,true,false,true,,needs_note_review,需复核-备注问题,1.00,single_candidate
REVIEW-MAT-00010,明装线盒,电气与自动化/其他/电气辅材,安装方式: 明装,个,2,1,明装线盒,Sheet1:15；Sheet1:22,C,C-补关键规格,missing_specs,至少一个: 型号；规格；品牌；电流；电压；功率；位数,未满足当前分组的关键规格模板。,确认品牌、型号、电气参数和安装/连接方式。,electrical,电气与自动化,rules_yaml,,false,false,false,true,true,false,,needs_human_review,需复核-人工标记,0.65,single_candidate;source_status_contains_merge;low_precision;human_review_group
REVIEW-MAT-00011,电箱,电气与自动化/其他/配电箱,型号/规格: P230,个,1,1,P230电箱,Sheet1:16,C,C-补关键规格,low_precision_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,electrical,电气与自动化,rules_yaml,,false,false,false,true,true,true,low_precision_conflict；specs_conflict,low_precision_conflict；specs_conflict,需复核-人工标记,0.65,single_candidate;human_review_group
REVIEW-MAT-00012,五孔插座,电气与自动化/低压电器/开关按钮,品牌: 公牛；类型: 五孔,个,1,1,公牛五孔插座,Sheet1:18,D,D-阻塞冲突,alias_conflict,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,electrical,电气与自动化,rules_yaml,,true,true,false,false,false,true,alias_conflict,alias_conflict,需复核-备注问题,1.00,single_candidate
REVIEW-MAT-00013,四位开关,电气与自动化/低压电器/开关按钮,品牌: 公牛；位数: 4位,个,1,1,公牛4位开关,Sheet1:19,C,C-补关键规格,needs_note_review,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,electrical,电气与自动化,rules_yaml,,false,false,false,true,false,true,,needs_note_review,需复核-备注问题,1.00,single_candidate
REVIEW-MAT-00014,一位开关,电气与自动化/低压电器/开关按钮,品牌: 公牛；位数: 1位,个,1,1,公牛1位开关,Sheet1:20,D,D-阻塞冲突,unit_conflict,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,electrical,电气与自动化,rules_yaml,,true,false,true,true,false,true,low_precision_conflict；specs_conflict；unit_conflict,low_precision_conflict；specs_conflict；unit_conflict,需复核-备注问题,1.00,single_candidate
