top_category	second_layer_family	status	definition	include_terms	exclude_terms	example_third_layer_names	key_specs	priority	note
管材管件阀门	管材	target	用于输送水、气、浆液或保护线缆的直线管材	PVC管；PPR管；PE管；镀锌钢管；钢管；波纹管	弯头；三通；阀门；软管接头	PVC管；PPR管；镀锌钢管	材质；口径；壁厚；压力等级；长度	P0	先和金属材料里的结构钢管区分，输送/安装管走本族
管材管件阀门	弯头	target	用于改变管路方向的管件	弯头；90度弯头；45度弯头；过桥弯	直接；三通；阀门	PVC弯头；PPR弯头；镀锌弯头	材质；口径；角度；连接方式；压力等级	P0	角度是 SKU 属性，不单独建族
管材管件阀门	三通	target	用于管路分支的三通类管件	三通；异径三通；斜三通；Y型三通	直接；弯头；阀门	PPR三通；PVC三通；镀锌三通	材质；主管口径；支管口径；连接方式；压力等级	P0	异径作为规格属性或三级名称，不建过深分类
管材管件阀门	直接/接头	target	管路直连、变径、转换连接件	直接；直通；接头；异径接头；补心；内外丝	液压接头；气动接头；消防接头；电缆接头	PPR直通；PVC直接；内外丝接头	材质；口径；连接方式；内外丝；压力等级	P0	需要和液压、气动、消防、电气接头分边界
管材管件阀门	法兰	target	管路法兰及法兰连接件	法兰；法兰片；法兰软连接	法兰垫片；消防卡箍	平焊法兰；法兰软连接	材质；口径；压力等级；连接标准；密封面	P1	法兰垫片可归密封件或垫片，不能混入法兰本体
管材管件阀门	阀门	target	控制流体通断、调节、止回的阀类	阀；球阀；闸阀；止回阀；蝶阀；电磁阀	水龙头；消防阀门；气动电磁阀	球阀；闸阀；止回阀；电磁阀	阀型；DN；连接方式；阀体材质；压力等级；驱动方式	P0	水暖、电气、气动阀要按用途分边界
管材管件阀门	水龙头/洁具配件	target	水龙头、洁具及排水配件	水龙头；花洒；洗脸盆；下水管；冲水箱	阀门；管材；管件	水龙头；洗脸盆下水管；冲水水箱	接口规格；材质；安装方式；适配场景	P2	土木公司低频但员工搜索直觉强
管材管件阀门	管道辅材	target	管道安装密封和辅助材料	生料带；密封带；管道胶；堵漏带	密封胶；胶水	生料带；管道密封带	宽度；长度；材质；适用介质	P2	与化工胶粘涂料边界按用途判断
紧固件与连接件	螺丝/螺栓	target	外螺纹紧固件本体	螺丝；螺栓；内六角；自攻；钻尾；六角螺栓	膨胀锚栓；螺母；垫圈；螺丝刀；花篮螺丝	内六角螺丝；自攻螺丝；六角螺栓	螺纹规格；长度；头型；驱动型式；材质；强度等级；表面处理	P0	二级叫螺丝/螺栓，三级才拆内六角、自攻等
紧固件与连接件	膨胀锚栓	target	依靠膨胀或锚固结构固定在基材中的紧固件	膨胀螺丝；膨胀螺栓；膨胀钩；锚栓	普通螺栓；花篮螺丝	膨胀螺栓；膨胀钩；化学锚栓	直径；长度；材质；适用基材；表面处理	P0	现场叫膨胀螺丝，但物料族独立
