"batch_id"	"status"	"priority"	"sku_count"	"family_count"	"current_name_count"	"top_groups"	"material_families"	"input_file"	"output_file"	"notes"
"batch_001"	"completed"	"16984"	"193"	"3"	"88"	"定制加工件；工具耗材；液压气动"	"定制加工件/定制管路件；工具耗材/钻头；液压气动/液压接头"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_001.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_001_mixed_third_layer_mapping_v0_1.tsv"	"每包 100-200 行；同一物料族尽量不拆散；输出必须覆盖 input_file 全部 item_code。"
"batch_002"	"completed"	"11315"	"155"	"3"	"73"	"化工胶粘涂料；电气电料"	"化工胶粘涂料/油漆涂料；电气电料/低压电器；电气电料/开关插座"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_002.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_002_mixed_third_layer_mapping_v0_1.tsv"	"每包 100-200 行；同一物料族尽量不拆散；输出必须覆盖 input_file 全部 item_code。"
"batch_003"	"completed"	"17424"	"176"	"4"	"99"	"工具量具；清洁办公后勤"	"工具量具/测量工具；清洁办公后勤/清洁工具；清洁办公后勤/生活后勤；清洁办公后勤/门窗五金"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_003.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_003_mixed_third_layer_mapping_v0_1.tsv"	"每包 100-200 行；同一物料族尽量不拆散；输出必须覆盖 input_file 全部 item_code。"
"batch_004"	"completed"	"13706"	"178"	"5"	"77"	"化工胶粘涂料；液压气动；电气电料；金属材料"	"化工胶粘涂料/胶粘密封；液压气动/胶管总成；电气电料/电工辅材；电气电料/电线电缆；金属材料/型钢"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_004.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_004_mixed_third_layer_mapping_v0_1.tsv"	"每包 100-200 行；同一物料族尽量不拆散；输出必须覆盖 input_file 全部 item_code。"
"batch_005"	"completed"	"10318"	"154"	"5"	"67"	"吊装索具；定制加工件；工具耗材；电气电料；紧固件与连接件"	"吊装索具/吊带/吊装带；定制加工件/定制结构件；工具耗材/刷涂耗材；电气电料/接线端子/线鼻子；紧固件与连接件/管卡/抱箍"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_005.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_005_mixed_third_layer_mapping_v0_1.tsv"	"每包 100-200 行；同一物料族尽量不拆散；输出必须覆盖 input_file 全部 item_code。"
"batch_006"	"completed"	"10586"	"158"	"6"	"67"	"劳保防护；吊装索具；工具量具；电气电料；紧固件与连接件"	"劳保防护/手套；吊装索具/卸扣/卡环；工具量具/扳手；工具量具/钳类；电气电料/照明光源；紧固件与连接件/膨胀锚栓"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_006.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_006_mixed_third_layer_mapping_v0_1.tsv"	"每包 100-200 行；同一物料族尽量不拆散；输出必须覆盖 input_file 全部 item_code。"
"batch_007"	"completed"	"14596"	"164"	"8"	"89"	"包装覆盖周转；化工胶粘涂料；安全消防；工具量具；建筑材料；液压气动；清洁办公后勤"	"包装覆盖周转/覆盖材料；化工胶粘涂料/润滑防锈；安全消防/消防管件；工具量具/检测仪器（候选新增）；建筑材料/砖板模板；建筑材料/装饰装修材料；液压气动/气动接头；清洁办公后勤/清洁用品"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_007.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_007_mixed_third_layer_mapping_v0_1.tsv"	"每包 100-200 行；同一物料族尽量不拆散；输出必须覆盖 input_file 全部 item_code。"
"batch_008"	"completed"	"13760"	"160"	"9"	"86"	"化工胶粘涂料；定制加工件；工具量具；施工机具设备；焊接切割；紧固件与连接件；设备备件"	"化工胶粘涂料/清洗脱漆剂；定制加工件/定制板牌件；工具量具/刀具/刃具；施工机具设备/泵类设备；焊接切割/气体减压附件；焊接切割/焊割工具；紧固件与连接件/垫圈/垫片；紧固件与连接件/螺母；设备备件/传动件"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_008.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_008_mixed_third_layer_mapping_v0_1.tsv"	"每包 100-200 行；同一物料族尽量不拆散；输出必须覆盖 input_file 全部 item_code。"
"batch_009"	"completed"	"14007"	"161"	"10"	"87"	"劳保防护；包装覆盖周转；工具量具；建筑材料；焊接切割；设备备件；金属材料"	"劳保防护/眼面防护；包装覆盖周转/包装袋/吨袋；工具量具/锤铲撬工具；建筑材料/水泥砂石；建筑材料/防水保温材料；焊接切割/焊材；设备备件/泵类配件；设备备件/润滑配件；金属材料/钢筋/线材；金属材料/钢管"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_009.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_009_mixed_third_layer_mapping_v0_1.tsv"	"每包 100-200 行；同一物料族尽量不拆散；输出必须覆盖 input_file 全部 item_code。"
"batch_010"	"completed"	"15800"	"158"	"12"	"100"	"包装覆盖周转；吊装索具；安全消防；定制加工件；工具量具；施工机具设备；液压气动；清洁办公后勤；焊接切割；电动气动工具"	"包装覆盖周转/容器周转箱；包装覆盖周转/胶带标签；吊装索具/钢丝绳；安全消防/安全警示；定制加工件/设备定制配件；工具量具/套筒；工具量具/螺丝刀/批类；施工机具设备/手推搬运设备；液压气动/高压油管/胶管；清洁办公后勤/办公文具；焊接切割/焊机配件；电动气动工具/电动工具"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_010.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_010_mixed_third_layer_mapping_v0_1.tsv"	"每包 100-200 行；同一物料族尽量不拆散；输出必须覆盖 input_file 全部 item_code。"
