"item_code"	"current_item_name"	"current_required_specs"	"current_uom"	"target_top_category"	"target_second_layer_family"	"target_third_layer_name"	"decision"	"confidence"	"assumed_specs"	"manual_judgment"	"next_action"
"PIPE-000002"	"PPR直通"	"品牌：公元；规格：25；类型：直通"	"个"	"管材管件阀门"	"直接/接头"	"直接/直通"	"三级名称脱水"	"high"	"材质：PPR；形态：直通"	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：品名已明确 PPR 材质和直通形式，属于本族标准直连管件。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：保留品牌和规格在 SKU 规格中，后续补压力等级/系列。"
"PIPE-000009"	"PPR内牙直通"	"品牌：公元；规格：PPR25*4分；连接：内牙；类型：直通"	"个"	"管材管件阀门"	"直接/接头"	"直接/直通"	"三级名称脱水"	"high"	"材质：PPR；连接方式：内丝；形态：直通"	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：品名已同时说明 PPR、内牙接口和直通形式，采购识别清楚。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：保留品牌、复合规格和内牙连接信息，后续补压力等级/螺纹标准。"
"PIPE-000011"	"堵头"	"规格：4分"	"个"	"管材管件阀门"	"直接/接头"	"堵头/管帽"	"三级名称脱水"	"medium"	"形态：封堵"	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：堵头是管路封堵件，可作为直接/接头下的第三层名称；但当前未给材质。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：采购前确认材质、连接方式和螺纹标准，避免液压/电气堵头混入。"
"PIPE-000012"	"堵头"	"规格：6分"	"个"	"管材管件阀门"	"直接/接头"	"堵头/管帽"	"三级名称脱水"	"medium"	"形态：封堵"	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：堵头是管路封堵件，可作为直接/接头下的第三层名称；但当前未给材质。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：采购前确认材质、连接方式和螺纹标准，避免液压/电气堵头混入。"
"PIPE-000016"	"PPR异径直接"	"规格：32*25；类型：大小头/异径"	"个"	"管材管件阀门"	"直接/接头"	"异径接头/大小头"	"三级名称脱水"	"high"	"材质：PPR；形态：异径"	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：品名直接表达 PPR 材质和异径直连形式，规格也体现大小端。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：补充品牌、压力等级和热熔/螺纹等连接方式。"
"PIPE-000020"	"排水异径补心"	"品牌：公元；规格：75*50；类型：补心/异径"	"个"	"管材管件阀门"	"直接/接头"	"补心"	"脱水保留"	"high"	""	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：核心采购名称是补心，排水和异径属性保留在规格更合适。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：补材质和排水管系列，规格继续保留 75*50。"
"PIPE-000031"	"不锈钢内接"	"材质：不锈钢；规格：4分；连接：内接"	"个"	"管材管件阀门"	"直接/接头"	"直接/直通"	"三级名称脱水"	"medium"	"材质：不锈钢；连接方式：内丝；形态：直通"	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：当前名称略省“头”，按不锈钢材质和内接连接形态规范为接头名称。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：确认“内接”是否等同内丝/内螺纹，并补压力等级。"
"PIPE-000032"	"不锈钢外接"	"材质：不锈钢；规格：4分；连接：外接"	"个"	"管材管件阀门"	"直接/接头"	"直接/直通"	"三级名称脱水"	"medium"	"材质：不锈钢；连接方式：外丝；形态：直通"	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：当前名称略省“头”，按不锈钢材质和外接连接形态规范为接头名称。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：确认“外接”是否等同外丝/外螺纹，并补压力等级。"
"PIPE-000067"	"PVC直通"	"品牌：公元；规格：75；材质：PVC"	"个"	"管材管件阀门"	"直接/接头"	"直接/直通"	"三级名称脱水"	"high"	"材质：PVC；形态：直通"	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：PVC 直通与 PVC 直接是同类直连管件，采购侧更常用 PVC直接。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：保留品牌和规格，后续补连接方式、压力等级/排水管系列。"
"PIPE-000070"	"UPVC直通"	"规格：32；材质：UPVC；类型：直通"	"个"	"管材管件阀门"	"直接/接头"	"直接/直通"	"三级名称脱水"	"high"	"材质：UPVC；形态：直通"	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：UPVC 直通按同义口径规范为 UPVC直接，材质和直连形式清楚。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：补品牌、连接方式和压力等级。"
"PIPE-000073"	"UPVC异径接头"	"规格：32*25；材质：UPVC；类型：大小头/异径"	"个"	"管材管件阀门"	"直接/接头"	"异径接头/大小头"	"三级名称脱水"	"high"	"材质：UPVC；形态：异径"	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：品名已说明 UPVC 材质和异径接头形式，符合本族第三层命名。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：补品牌、连接方式和压力等级。"
"PIPE-000077"	"镀锌堵头"	"规格：25；表面：镀锌；类型：堵头"	"个"	"管材管件阀门"	"直接/接头"	"堵头/管帽"	"三级名称脱水"	"medium"	"表面处理：镀锌；形态：封堵"	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：镀锌和堵头形态明确，适合作为封堵类第三层名称。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：确认基材、螺纹形式和压力等级。"
"PIPE-000082"	"PPR接头"	"品牌：公元；规格：25；材质：PPR"	"个"	"管材管件阀门"	"直接/接头"	"直接/直通"	"复核"	"low"	"材质：PPR；形态：直通"	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：仅知道 PPR 材质和规格，接头形式未说明，暂不强行改成直通或异径。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：复核接头形式：直通、内牙、外牙、异径、活接或其他；补压力等级。"
"PIPE-000084"	"PPR外牙直通"	"品牌：公元；规格：25；材质：PPR；连接：外牙；类型：直通"	"个"	"管材管件阀门"	"直接/接头"	"直接/直通"	"三级名称脱水"	"high"	"材质：PPR；连接方式：外丝；形态：直通"	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：品名已说明 PPR、外牙接口和直通形式，采购识别清楚。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：保留品牌规格，补螺纹标准和压力等级。"
"PIPE-000088"	"PPR热熔接头"	"规格：4分；材质：PPR；连接：热熔"	"个"	"管材管件阀门"	"直接/接头"	"直接/直通"	"复核"	"medium"	"材质：PPR；连接方式：热熔；形态：直通"	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：材质和热熔连接方式明确，但未说明直通/弯头/三通等具体接头形态。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：复核接头形态，补品牌、压力等级和管系列。"
"PIPE-000096"	"异径接头"	"品牌：公元；规格：40*32；类型：异径接头"	"个"	"管材管件阀门"	"直接/接头"	"异径接头/大小头"	"三级名称脱水"	"medium"	"形态：异径"	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：名称和规格均体现异径连接，适合作为第三层；材质未明。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：确认材质是 PVC、PPR、UPVC 或镀锌等，并补连接方式。"
"PIPE-000097"	"直通"	"品牌：公元；规格：110；类型：直通"	"个"	"管材管件阀门"	"直接/接头"	"直接/直通"	"复核"	"low"	"形态：直通"	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：直通形态明确但材质缺失，无法命名为 PVC/PPR/UPVC 直接。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：复核材质、连接方式和压力等级；确认不是气动/液压直通。"
"PIPE-000101"	"焊接异径接头"	"规格：159*89；连接：焊接；类型：大小头"	"个"	"管材管件阀门"	"直接/接头"	"异径接头/大小头"	"三级名称脱水"	"high"	"连接方式：焊接；形态：异径"	"三级名称脱水：材质、连接方式、表面处理下压为SKU规格，三级名称只保留核心形态。原判断：焊接连接和异径大小头形态明确，是本族标准管路接头。"	"按脱水三级名使用；采购前补齐压力等级/系列、螺纹标准、执行标准等关键规格。原下一步：补材质、壁厚、执行标准和压力等级。"
