"item_code"	"current_item_name"	"current_required_specs"	"current_uom"	"target_top_category"	"target_second_layer_family"	"target_third_layer_name"	"decision"	"confidence"	"assumed_specs"	"manual_judgment"	"next_action"
"MAT-000003"	"洗衣机龙头"	"用途：洗衣机"	"个"	"管材管件阀门"	"水龙头/洁具配件"	"水龙头"	"三级名称脱水"	"high"	"用途：洗衣机"	"水龙头三级名称脱水：洗衣机是适配对象，三级名称只保留核心商品类型水龙头。"	"按水龙头核心名称使用；采购前补齐材质、接口规格、安装方式和适配洗衣机接口。"
"MAT-000005"	"水龙头花洒套装"	"组合：水龙头+花洒"	"套"	"管材管件阀门"	"水龙头/洁具配件"	"水龙头花洒套装"	"脱水保留"	"medium"	"组合：水龙头+花洒"	"组合件按套装作为稳定采购形态保留，不拆成单件；材质、接口和套内明细留在规格。"	"采购前确认材质、接口规格、安装方式、套内件清单和数量。"
"MAT-000006"	"水龙头"	"规格：未注明"	"个"	"管材管件阀门"	"水龙头/洁具配件"	"水龙头"	"脱水保留"	"medium"	""	"当前名称已是核心商品类型；但规格未注明，置信度按规格完整性降为中。"	"采购前补齐材质、接口规格、安装方式、冷热类型和品牌型号。"
"MAT-000007"	"水龙头"	"类型：大弯"	"个"	"管材管件阀门"	"水龙头/洁具配件"	"水龙头"	"脱水保留"	"high"	"形态：大弯"	"当前名称已是核心商品类型，大弯属于形态/规格属性，下压到SKU规格。"	"采购前补齐材质、接口规格、安装方式和出水形态尺寸。"
"MAT-000008"	"水龙头"	"规格：4分；类型：冷热"	"个"	"管材管件阀门"	"水龙头/洁具配件"	"水龙头"	"脱水保留"	"high"	"接口规格：4分；类型：冷热"	"当前名称已是核心商品类型；冷热和接口尺寸不进入三级名称。"	"按水龙头核心名称使用；采购前确认材质、安装方式、阀芯/控制方式和品牌型号。"
"MAT-000009"	"蹲便器"	"类型：平面蹲厕"	"个"	"管材管件阀门"	"水龙头/洁具配件"	"蹲便器"	"脱水保留"	"medium"	"形态：平面蹲厕"	"蹲便器是洁具本体的稳定商品名，当前由洁具配件族承接；尺寸和排水方式留在SKU规格。"	"采购前确认材质、尺寸、排水方式、进水方式和安装方式。"
"MAT-000010"	"冲水水箱"	"用途：冲水"	"个"	"管材管件阀门"	"水龙头/洁具配件"	"冲水水箱"	"脱水保留"	"medium"	"用途：冲水"	"冲水水箱是洁具配套水箱的稳定采购名，不按普通水箱容器治理。"	"采购前确认容量、安装方式、进出水接口、适配洁具和配件清单。"
"MAT-000011"	"小便斗"	"类型：小便斗"	"个"	"管材管件阀门"	"水龙头/洁具配件"	"小便斗"	"脱水保留"	"medium"	""	"小便斗是洁具本体的稳定商品名，当前由洁具配件族承接；感应方式、尺寸等不进入三级名称。"	"采购前确认材质、尺寸、安装方式、冲洗/感应方式和排水接口。"
"MAT-000012"	"按压水龙头"	"类型：按压"	"个"	"管材管件阀门"	"水龙头/洁具配件"	"水龙头"	"三级名称脱水"	"high"	"控制方式：按压"	"按压是控制方式，三级名称收敛为核心商品类型水龙头。"	"采购前确认材质、接口规格、安装方式、阀芯/控制结构和适用场景。"
"MAT-000013"	"洗脸盆龙头"	"用途：洗脸盆"	"个"	"管材管件阀门"	"水龙头/洁具配件"	"水龙头"	"三级名称脱水"	"high"	"用途：洗脸盆"	"洗脸盆是适配对象，三级名称只保留核心商品类型水龙头。"	"采购前确认材质、接口规格、安装方式、冷热类型和适配洗脸盆结构。"
"MAT-000015"	"冷热水龙头"	"规格：4分；类型：冷热"	"套"	"管材管件阀门"	"水龙头/洁具配件"	"水龙头"	"三级名称脱水"	"high"	"接口规格：4分；类型：冷热"	"冷热和接口尺寸均为SKU规格属性，三级名称收敛为水龙头。"	"按水龙头核心名称使用；采购前确认材质、安装方式、控制方式、品牌型号和单位口径。"
"MAT-000022"	"热水器隔电堵"	"用途：热水器；功能：隔电"	"个"	"管材管件阀门"	"水龙头/洁具配件"	"隔电堵"	"复核"	"low"	"用途：热水器；功能：隔电"	"低置信：隔电堵是热水器连接/防电小配件，暂由洁具配件承接，但可能应另归热水器配件或管道辅材。"	"采购或建档前确认实物形态、接口规格、适配热水器型号、绝缘结构和是否应移出本族。"
"MAT-000032"	"小便器感应器"	"材质：铜；用途：小便器"	"套"	"管材管件阀门"	"水龙头/洁具配件"	"小便器感应器"	"脱水保留"	"medium"	"材质：铜"	"小便器感应器是卫浴洁具控制配件的稳定采购名，材质下压到SKU规格；因兼具机电属性保留中置信。"	"采购前确认电源方式、感应方式、接口规格、适配洁具和型号。"
"MAT-000057"	"雾化喷头"	"用途：加湿；类型：雾化喷头"	"个"	"管材管件阀门"	"管道辅材"	"喷头"	"移出"	"low"	"功能：雾化；用途：加湿"	"雾化喷头更像喷淋/加湿管路末端件，不是水龙头或洁具配件；但也可能是设备喷嘴，故低置信移出到管道辅材。"	"建档前确认使用设备/系统、孔径、材质、接口规格、压力范围；如为设备专用喷嘴，应再移出到设备备件。"
"MAT-000130"	"小便器感应器"	"适用：小便器；类型：感应器"	"套"	"管材管件阀门"	"水龙头/洁具配件"	"小便器感应器"	"脱水保留"	"medium"	""	"小便器感应器是卫浴洁具控制配件的稳定采购名；因兼具机电属性保留中置信。"	"采购前确认电源方式、感应方式、接口规格、适配洁具、型号和材质。"
"MAT-000186"	"洗脸盆"	"类型：洗脸盆"	"只"	"管材管件阀门"	"水龙头/洁具配件"	"洗脸盆"	"脱水保留"	"medium"	""	"洗脸盆是洁具本体的稳定商品名，当前由洁具配件族承接；材质和尺寸不进入三级名称。"	"采购前确认材质、尺寸、安装方式、龙头孔、下水接口和是否为工程洁具。"
"METAL-000002"	"洗脸盆"	"材质：不锈钢；长度：2米；特征：加厚"	"台"	"管材管件阀门"	"水龙头/洁具配件"	"洗脸盆"	"脱水保留"	"high"	"材质：不锈钢；长度：2米；特征：加厚"	"当前名称已是核心商品名；不锈钢、长度和加厚作为SKU规格保留。"	"按洗脸盆核心名称使用；采购前确认宽度/深度、安装方式、下水接口、龙头孔和材质牌号。"
