question_id	draft_sku_id	draft_item_code	priority	放行等级	标准名称	标准分组	标准单位	当前必填规格	missing_specs	question	recommended_next_action	source_candidate_rows	整理依据
MISS-000001	SKU-DRAFT-000001	HW-LOCK-000001	high	C	门锁	五金备件/门锁锁具	个	用途：办公室门	型号；规格；锁体型号	请补充“门锁”的型号、规格、锁体型号。	确认适用对象、锁体型号、开孔尺寸和开向。	1	锁体型号/开孔规格缺失，无法区分不同门锁SKU
MISS-000008	SKU-DRAFT-000008	ELEC-000006	high	C	灯管	电气材料/照明	套	功率：36W	长度	请补充“灯管”的长度。	确认品牌、型号、电压/电流和安装或连接方式。	8	灯管类型（LED/荧光）及长度缺失，36W不足以唯一确定SKU
MISS-000009	SKU-DRAFT-000009	ELEC-000007	medium	B	USB插座	电气材料/插座开关	个	品牌：公牛；USB电流：2.1A	型号	请补充“USB插座”的型号。	确认品牌、型号、电压/电流和安装或连接方式。	9	输入别名疑似将USB写作SUB，按名称和规格归一为USB
MISS-000010	SKU-DRAFT-000010	ELEC-000008	high	C	线盒	电气材料/电气辅材	个	安装方式：明装	规格；尺寸	请补充“线盒”的规格、尺寸。	确认品牌、型号、电压/电流和安装或连接方式。	10	规格尺寸缺失，明装线盒无法按尺寸区分SKU
MISS-000011	SKU-DRAFT-000011	ELEC-000009	medium	B	电箱	电气材料/配电箱	个	型号/规格：P230	品牌；型号	请补充“电箱”的品牌、型号。	确认品牌、型号、电压/电流和安装或连接方式。	11	P230语义未明，按原型号/规格保留
MISS-000012	SKU-DRAFT-000012	ELEC-000010	high	C	五孔插座	电气材料/插座开关	个	品牌：公牛；类型：五孔	型号；电压；电流；安装方式	请补充“五孔插座”的型号、电压、电流、安装方式。	确认品牌、型号、电压/电流和安装或连接方式。	12	明装/暗装未说明，可能影响插座SKU区分
MISS-000013	SKU-DRAFT-000013	ELEC-000011	high	C	四位开关	电气材料/插座开关	个	品牌：公牛；位数：4位	型号；电压；电流；安装方式	请补充“四位开关”的型号、电压、电流、安装方式。	确认品牌、型号、电压/电流和安装或连接方式。	13	明装/暗装未说明，可能影响开关SKU区分
MISS-000014	SKU-DRAFT-000014	ELEC-000012	high	C	一位开关	电气材料/插座开关	个	品牌：公牛；位数：1位	型号；电压；电流；安装方式	请补充“一位开关”的型号、电压、电流、安装方式。	确认品牌、型号、电压/电流和安装或连接方式。	14	明装/暗装未说明，可能影响开关SKU区分
MISS-000015	SKU-DRAFT-000015	ELEC-000013	high	C	二位开关	电气材料/插座开关	个	品牌：公牛；位数：2位	型号；电压；电流；安装方式	请补充“二位开关”的型号、电压、电流、安装方式。	确认品牌、型号、电压/电流和安装或连接方式。	15	明装/暗装未说明，可能影响开关SKU区分
MISS-000016	SKU-DRAFT-000016	ELEC-000014	high	C	LED灯泡	电气材料/照明	个	品牌：公牛；功率：40W	规格	请补充“LED灯泡”的规格。	确认品牌、型号、电压/电流和安装或连接方式。	16	色温/灯头规格缺失，可能影响LED灯泡SKU区分
MISS-000017	SKU-DRAFT-000017	ELEC-000015	high	C	BV电线	电气材料/电线电缆	米	品牌：起帆；型号：BV；截面积：2.5平方	颜色	请补充“BV电线”的颜色。	确认品牌、型号、电压/电流和安装或连接方式。	17	颜色缺失，BV电线通常需按颜色区分SKU
MISS-000018	SKU-DRAFT-000018	ELEC-000016	high	C	BV电线	电气材料/电线电缆	米	品牌：起帆；型号：BV；截面积：10平方	颜色	请补充“BV电线”的颜色。	确认品牌、型号、电压/电流和安装或连接方式。	18	颜色缺失，BV电线通常需按颜色区分SKU
MISS-000019	SKU-DRAFT-000019	ELEC-000017	high	C	BV电线	电气材料/电线电缆	米	品牌：起帆；型号：BV；截面积：25平方	颜色	请补充“BV电线”的颜色。	确认品牌、型号、电压/电流和安装或连接方式。	19	颜色缺失，BV电线通常需按颜色区分SKU
MISS-000021	SKU-DRAFT-000021	CONST-000001	medium	B	木方	建筑材料/模板木方	米	规格：4*9	材质；尺寸	请补充“木方”的材质、尺寸。	确认材质、尺寸、厚度、强度等级和包装规格。	21	输入规格单位未确认，按原4*9保留
MISS-000022	SKU-DRAFT-000022	CONST-000002	medium	B	木方	建筑材料/模板木方	米	规格：4*4	材质；尺寸	请补充“木方”的材质、尺寸。	确认材质、尺寸、厚度、强度等级和包装规格。	22	输入规格单位未确认，按原4*4保留
MISS-000025	SKU-DRAFT-000025	MAT-000001	high	C	墙纸	装修材料/墙面材料	卷	包装/规格：大卷	材质	请补充“墙纸”的材质。	确认规格、型号、材质和品牌等关键建档信息。	25	款式/材质缺失，大卷墙纸不足以区分SKU
MISS-000026	SKU-DRAFT-000026	ADMIN-000001	high	C	热水壶	办公生活用品/小电器	个	类型：热水壶	品牌；容量	请补充“热水壶”的品牌、容量。	确认品牌、规格、包装规格和材质。	26	容量/品牌缺失，热水壶无法唯一确定SKU
MISS-000030	SKU-DRAFT-000030	PIPE-000004	high	C	PPR热熔机	工具器具/管道工具	个	品牌：公元；用途：PPR热熔	型号	请补充“PPR热熔机”的型号。	确认材质、口径、压力等级、连接方式和壁厚。	30	型号缺失，PPR热熔机按品牌和用途低精度建候选
MISS-000033	SKU-DRAFT-000033	ELEC-000018	high	C	工业插头	电气材料/插头插座	个	品牌：公牛；电压：380V；电流：25A	型号；安装方式	请补充“工业插头”的型号、安装方式。	确认品牌、型号、电压/电流和安装或连接方式。	33	极数/插脚数缺失，工业插头可能无法唯一确定SKU
MISS-000034	SKU-DRAFT-000034	ELEC-000019	high	C	电工胶布	电气材料/绝缘材料	个	品牌：3M	颜色	请补充“电工胶布”的颜色。	确认品牌、型号、电压/电流和安装或连接方式。	34	颜色缺失，电工胶布通常需按颜色区分SKU
MISS-000035	SKU-DRAFT-000035	TOOL-000002	high	C	多功能剥线钳	工具器具/手动工具	只	品牌：世达；类型：多功能剥线钳	型号	请补充“多功能剥线钳”的型号。	确认品牌、型号/规格、尺寸和适用设备。	35	型号缺失，世达剥线钳可能无法唯一确定SKU
MISS-000036	SKU-DRAFT-000036	TOOL-000003	high	C	断点检测电笔	工具器具/电工工具	只	功能：找断点/测电	型号	请补充“断点检测电笔”的型号。	确认品牌、型号/规格、尺寸和适用设备。	36;86	型号缺失，断点检测电笔按功能低精度建候选；输入提示称同物料存在单位差异，需统一单位
MISS-000037	SKU-DRAFT-000037	ELEC-000020	high	C	插座	电气材料/插头插座	个	品牌：公牛；电流：16A	型号；电压；安装方式	请补充“插座”的型号、电压、安装方式。	确认品牌、型号、电压/电流和安装或连接方式。	37	明装/暗装未说明，可能影响插座SKU区分
MISS-000038	SKU-DRAFT-000038	ADMIN-000002	high	C	洁厕灵	清洁用品/清洁剂	瓶	类型：洁厕清洁剂	容量	请补充“洁厕灵”的容量。	确认品牌、规格、包装规格和材质。	38	容量缺失，洁厕清洁剂无法唯一确定SKU
MISS-000039	SKU-DRAFT-000039	MAT-000002	high	C	窗帘架拉链	装修材料/窗帘配件	套	类型：拉链/配件	规格；长度	请补充“窗帘架拉链”的规格、长度。	确认规格、型号、材质和品牌等关键建档信息。	39	规格长度缺失，窗帘架拉链低精度建候选
MISS-000041	SKU-DRAFT-000041	PIPE-000006	high	C	三角阀	工程材料/阀门	个	规格：4分	材质	请补充“三角阀”的材质。	确认材质、口径、压力等级、连接方式和壁厚。	41	材质缺失，三角阀可能无法唯一确定SKU
MISS-000043	SKU-DRAFT-000043	PIPE-000008	medium	B	PPR内牙三通	工程材料/PPR管件	个	品牌：公元；规格：25；连接：内牙；类型：三通	口径	请补充“PPR内牙三通”的口径。	确认材质、口径、压力等级、连接方式和壁厚。	43	内牙口径未说明，按原25规格低精度建候选
MISS-000045	SKU-DRAFT-000045	PIPE-000010	medium	B	PPR内牙弯头	工程材料/PPR管件	个	品牌：公元；规格：25；连接：内牙；类型：弯头	口径	请补充“PPR内牙弯头”的口径。	确认材质、口径、压力等级、连接方式和壁厚。	45	内牙口径未说明，按原25规格低精度建候选
MISS-000046	SKU-DRAFT-000046	MAT-000003	medium	B	洗衣机龙头	工程材料/水暖五金	个	用途：洗衣机	材质	请补充“洗衣机龙头”的材质。	确认规格、型号、材质和品牌等关键建档信息。	46	材质缺失，洗衣机龙头低精度建候选
MISS-000047	SKU-DRAFT-000047	PIPE-000011	high	C	堵头	工程材料/管件	个	规格：4分	材质	请补充“堵头”的材质。	确认材质、口径、压力等级、连接方式和壁厚。	47	材质缺失，堵头可能无法唯一确定SKU
MISS-000048	SKU-DRAFT-000048	PIPE-000012	high	C	堵头	工程材料/管件	个	规格：6分	材质	请补充“堵头”的材质。	确认材质、口径、压力等级、连接方式和壁厚。	48	材质缺失，堵头可能无法唯一确定SKU
MISS-000049	SKU-DRAFT-000049	PIPE-000013	medium	B	水管钩	工程材料/管道辅材	个	规格：25	材质；精度	请补充“水管钩”的材质、精度。	确认材质、口径、压力等级、连接方式和壁厚。	49	材质缺失，水管钩低精度建候选
MISS-000052	SKU-DRAFT-000052	SPARE-000002	high	C	插销	五金备件/门窗五金	个	材质：不锈钢	尺寸	请补充“插销”的尺寸。	确认型号、图号、适用设备、材质和关键尺寸。	52	尺寸缺失，无法区分不同不锈钢插销 SKU
MISS-000053	SKU-DRAFT-000053	SPARE-000003	high	C	插销	五金备件/门窗五金	个	材质：不锈钢；功能：带锁	尺寸	请补充“插销”的尺寸。	确认型号、图号、适用设备、材质和关键尺寸。	53	尺寸缺失，无法区分不同带锁插销 SKU
MISS-000054	SKU-DRAFT-000054	CHEM-000002	high	C	涂料	化工耗材/涂料	桶	品牌：立邦；系列：5合1；特征：环保	容量；颜色	请补充“涂料”的容量、颜色。	确认品牌/型号、类型、容量或包装规格和颜色。	54	容量、颜色缺失，会影响涂料 SKU 区分
MISS-000056	SKU-DRAFT-000056	SPARE-000004	high	C	插销	五金备件/门窗五金	付	规格：4寸	材质	请补充“插销”的材质。	确认型号、图号、适用设备、材质和关键尺寸。	56	材质缺失，会影响插销 SKU 区分
MISS-000062	SKU-DRAFT-000062	CONST-000003	high	C	地板胶	装修材料/地面材料	平方	材质：PVC；特征：加厚	厚度	请补充“地板胶”的厚度。	确认材质、尺寸、厚度、强度等级和包装规格。	62	厚度缺失，会影响 PVC 地板胶 SKU 区分
MISS-000063	SKU-DRAFT-000063	MAT-000004	high	C	墙布	装修材料/墙面材料	平方	特征：厚、环保	材质	请补充“墙布”的材质。	确认规格、型号、材质和品牌等关键建档信息。	63	材质、花色缺失，会影响墙布 SKU 区分
MISS-000065	SKU-DRAFT-000065	TOOL-000007	high	C	电钻	工具器具/电动工具	台	动力：锂电池	品牌；电压	请补充“电钻”的品牌、电压。	确认品牌、型号/规格、尺寸和适用设备。	65	品牌、电压缺失，会影响锂电池电钻 SKU 区分
MISS-000066	SKU-DRAFT-000066	ADMIN-000004	high	C	水桶	办公生活用品/容器	个	规格：未注明	容量	请补充“水桶”的容量。	确认品牌、规格、包装规格和材质。	66	容量缺失，无法区分不同水桶 SKU
MISS-000067	SKU-DRAFT-000067	MAT-000005	high	C	水龙头花洒套装	工程材料/水暖五金	套	组合：水龙头+花洒	规格；材质	请补充“水龙头花洒套装”的规格、材质。	确认规格、型号、材质和品牌等关键建档信息。	67;216	材质、接口规格缺失，会影响套装 SKU 区分；输入提示称与其他行同物料，未在本批合并；材质、接口规格缺失，会影响套装SKU区分；输入单位为个，按套装规范为套，需与同物料统一
MISS-000068	SKU-DRAFT-000068	SPARE-000006	medium	B	闭门器	五金备件/门窗五金	套	规格：大	型号	请补充“闭门器”的型号。	确认型号、图号、适用设备、材质和关键尺寸。	68	适用门重、型号缺失，需后续确认
MISS-000069	SKU-DRAFT-000069	SPARE-000007	high	C	插销	五金备件/门窗五金	套	材质：不锈钢	尺寸	请补充“插销”的尺寸。	确认型号、图号、适用设备、材质和关键尺寸。	69	尺寸缺失；输入提示称同名物料存在单位差异，需统一单位
MISS-000070	SKU-DRAFT-000070	MAT-000006	high	C	水龙头	工程材料/水暖五金	个	规格：未注明	材质	请补充“水龙头”的材质。	确认规格、型号、材质和品牌等关键建档信息。	70	材质、接口规格缺失，无法区分不同水龙头 SKU
MISS-000071	SKU-DRAFT-000071	ELEC-000023	medium	B	空调插座	电气材料/插头插座	个	品牌：公牛；电流：16A；用途：空调	型号	请补充“空调插座”的型号。	确认品牌、型号、电压/电流和安装或连接方式。	71	明装/暗装未说明，需后续确认；输入提示称与其他行同物料，未在本批合并
MISS-000073	SKU-DRAFT-000073	ELEC-000025	high	C	启辉器	电气材料/照明配件	个	类型：启辉器	规格	请补充“启辉器”的规格。	确认品牌、型号、电压/电流和安装或连接方式。	73	适配灯管规格缺失，无法区分不同启辉器 SKU
MISS-000074	SKU-DRAFT-000074	ELEC-000026	high	C	灯头	电气材料/照明配件	个	接口：螺口	规格	请补充“灯头”的规格。	确认品牌、型号、电压/电流和安装或连接方式。	74	E27/E14 等接口规格缺失，无法区分不同螺口灯头 SKU
MISS-000079	SKU-DRAFT-000079	MAT-000007	high	C	水龙头	工程材料/水暖五金	个	类型：大弯	规格；材质	请补充“水龙头”的规格、材质。	确认规格、型号、材质和品牌等关键建档信息。	79	材质、接口规格缺失，无法区分不同大弯水龙头 SKU
MISS-000080	SKU-DRAFT-000080	PIPE-000014	medium	B	洗脸盆下水管	工程材料/洁具配件	套	用途：洗脸盆；类型：下水管	材质；口径	请补充“洗脸盆下水管”的材质、口径。	确认材质、口径、压力等级、连接方式和壁厚。	80	材质、接口规格未注明，需后续确认；输入提示称与其他行同物料，未在本批合并
MISS-000081	SKU-DRAFT-000081	MAT-CEM-000002	high	C	沙子	建筑材料/水泥砂石	包	包装：大包	类型；强度等级；包装重量；品牌	请补充“沙子”的类型、强度等级、包装重量、品牌。	确认水泥/砂石的类型、强度等级、包装重量和品牌。	81	粒径、重量缺失，无法区分不同沙子 SKU
MISS-000082	SKU-DRAFT-000082	MAT-CEM-000003	high	C	石子	建筑材料/水泥砂石	包	包装：大包	类型；强度等级；包装重量；品牌	请补充“石子”的类型、强度等级、包装重量、品牌。	确认水泥/砂石的类型、强度等级、包装重量和品牌。	82	粒径、重量缺失，无法区分不同石子 SKU
MISS-000084	SKU-DRAFT-000084	HW-LOCK-000005	high	C	挂锁	五金备件/锁具	个	材质：铜	规格；尺寸	请补充“挂锁”的规格、尺寸。	确认适用对象、锁体型号、开孔尺寸和开向。	84	规格尺寸缺失，无法区分不同铜挂锁 SKU
MISS-000085	SKU-DRAFT-000085	TOOL-000008	high	C	扫把	清洁用品/清洁工具	个	规格：未注明	材质	请补充“扫把”的材质。	确认品牌、型号/规格、尺寸和适用设备。	85	材质缺失，无法区分不同扫把 SKU
MISS-000086	SKU-DRAFT-000086	TOOL-000009	medium	B	剥线钳	工具器具/手动工具	个	品牌：世达；类型：多功能剥线钳	型号	请补充“剥线钳”的型号。	确认品牌、型号/规格、尺寸和适用设备。	87	输入提示称同物料存在单位差异，需统一单位
MISS-000087	SKU-DRAFT-000087	MAT-000008	medium	B	水龙头	工程材料/水暖五金	个	规格：4分；类型：冷热	材质	请补充“水龙头”的材质。	确认规格、型号、材质和品牌等关键建档信息。	88	材质缺失，需后续确认；输入提示称与其他行同物料，未在本批合并
MISS-000090	SKU-DRAFT-000090	ELEC-000030	high	C	电缆	电气材料/电线电缆	米	品牌：起帆；规格：3*6+1	型号	请补充“电缆”的型号。	确认品牌、型号、电压/电流和安装或连接方式。	91	电缆型号如 YJV/RVV 缺失，无法区分不同电缆 SKU
MISS-000093	SKU-DRAFT-000093	ADMIN-000005	high	C	垃圾袋	清洁用品/垃圾袋	个	规格：大	尺寸；厚度	请补充“垃圾袋”的尺寸、厚度。	确认品牌、规格、包装规格和材质。	94	厚度、尺寸缺失，无法区分不同垃圾袋 SKU
MISS-000095	SKU-DRAFT-000095	PIPE-000017	medium	B	PPR三通	工程材料/PPR管件	个	规格：25；类型：三通	品牌	请补充“PPR三通”的品牌。	确认材质、口径、压力等级、连接方式和壁厚。	96	品牌缺失，需后续确认
MISS-000097	SKU-DRAFT-000097	METAL-000003	medium	B	镀锌角铁	金属材料/型材	米	材质/表面：镀锌；规格：4*4*0.5	材质	请补充“镀锌角铁”的材质。	确认材质、规格尺寸、厚度/长度和执行标准。	98	规格单位需确认，原始规格未说明 cm/mm
MISS-000099	SKU-DRAFT-000099	PIPE-000019	high	C	排水三通	工程材料/排水管件	个	品牌：公元；规格：75；类型：三通	材质	请补充“排水三通”的材质。	确认材质、口径、压力等级、连接方式和壁厚。	100	材质需按同批胶管确认，缺失时无法区分管件 SKU
MISS-000100	SKU-DRAFT-000100	PIPE-000020	medium	B	排水异径补心	工程材料/排水管件	个	品牌：公元；规格：75*50；类型：补心/异径	材质；口径	请补充“排水异径补心”的材质、口径。	确认材质、口径、压力等级、连接方式和壁厚。	101	材质需按同批胶管确认
MISS-000101	SKU-DRAFT-000101	PIPE-000021	medium	B	排水弯头	工程材料/排水管件	个	品牌：公元；规格：75；类型：弯头	材质；口径	请补充“排水弯头”的材质、口径。	确认材质、口径、压力等级、连接方式和壁厚。	102	材质需按同批胶管确认
