"item_code"	"current_item_name"	"current_required_specs"	"current_uom"	"target_top_category"	"target_second_layer_family"	"target_third_layer_name"	"decision"	"confidence"	"assumed_specs"	"manual_judgment"	"next_action"
"PIPE-000003"	"PPR弯头"	"品牌：公元；规格：25；类型：弯头"	"个"	"管材管件阀门"	"弯头"	"弯头"	"三级名称脱水"	"high"	"材质：PPR"	"三级名称脱水：材质下压到SKU规格，三级名称只保留核心商品类型“弯头”。"	"按脱水三级名使用；采购前确认管系列/压力等级、连接方式、角度和执行标准。"
"PIPE-000010"	"PPR内牙弯头"	"品牌：公元；规格：25；连接：内牙；类型：弯头"	"个"	"管材管件阀门"	"弯头"	"弯头"	"三级名称脱水"	"high"	"材质：PPR；连接方式：内丝"	"三级名称脱水：材质、连接方式下压到SKU规格，三级名称只保留核心商品类型“弯头”。"	"按脱水三级名使用；采购前确认螺纹制式、嵌件/基材材质、压力等级、角度和执行标准。"
"PIPE-000015"	"PPR过桥弯"	"品牌：公元；规格：25；类型：过桥弯"	"个"	"管材管件阀门"	"弯头"	"过桥弯"	"三级名称脱水"	"high"	"材质：PPR；形态：过桥弯"	"三级名称脱水：PPR等材质下压到SKU规格，三级名称保留稳定核心形态“过桥弯”。"	"按过桥弯核心形态使用；采购前确认材质/管系列、跨距/高度、连接方式、压力等级和执行标准。"
"PIPE-000018"	"PPR内牙弯头"	"规格：PPR25*4分；连接：内牙；类型：弯头"	"个"	"管材管件阀门"	"弯头"	"弯头"	"三级名称脱水"	"high"	"材质：PPR；连接方式：内丝"	"三级名称脱水：材质、连接方式下压到SKU规格，三级名称只保留核心商品类型“弯头”。"	"按脱水三级名使用；采购前确认螺纹制式、嵌件/基材材质、压力等级、角度和执行标准。"
"PIPE-000021"	"排水弯头"	"品牌：公元；规格：75；类型：弯头"	"个"	"管材管件阀门"	"弯头"	"弯头"	"三级名称脱水"	"high"	"用途/系统：排水"	"三级名称脱水：使用系统下压到SKU规格，三级名称只保留核心商品类型“弯头”。"	"按脱水三级名使用；采购前确认排水管材质/管系列、连接方式、角度和执行标准。"
"PIPE-000023"	"排水弯头"	"品牌：公元；规格：50；类型：弯头"	"个"	"管材管件阀门"	"弯头"	"弯头"	"三级名称脱水"	"high"	"用途/系统：排水"	"三级名称脱水：使用系统下压到SKU规格，三级名称只保留核心商品类型“弯头”。"	"按脱水三级名使用；采购前确认排水管材质/管系列、连接方式、角度和执行标准。"
"PIPE-000028"	"PPR弯头"	"规格：25；类型：弯头"	"个"	"管材管件阀门"	"弯头"	"弯头"	"三级名称脱水"	"high"	"材质：PPR"	"三级名称脱水：材质下压到SKU规格，三级名称只保留核心商品类型“弯头”。"	"按脱水三级名使用；采购前确认管系列/压力等级、连接方式、角度和执行标准。"
"PIPE-000042"	"不锈钢弯头"	"材质：不锈钢；规格：250；类型：弯头"	"个"	"管材管件阀门"	"弯头"	"弯头"	"三级名称脱水"	"high"	"材质：不锈钢"	"三级名称脱水：材质下压到SKU规格，三级名称只保留核心商品类型“弯头”。"	"按脱水三级名使用；采购前确认材质牌号、连接方式、压力等级、角度/弯曲半径和执行标准。"
"PIPE-000062"	"焊接弯头"	"规格：325*8；特征：加厚；连接：焊接"	"个"	"管材管件阀门"	"弯头"	"弯头"	"三级名称脱水"	"high"	"连接方式：焊接；特征：加厚"	"三级名称脱水：连接方式下压到SKU规格，三级名称只保留核心商品类型“弯头”。"	"按脱水三级名使用；采购前确认材质牌号、管径制式、壁厚、角度、压力等级、弯曲半径和执行标准。"
"PIPE-000065"	"焊接弯头"	"规格：159*8；特征：加厚；连接：焊接"	"个"	"管材管件阀门"	"弯头"	"弯头"	"三级名称脱水"	"high"	"连接方式：焊接；特征：加厚"	"三级名称脱水：连接方式下压到SKU规格，三级名称只保留核心商品类型“弯头”。"	"按脱水三级名使用；采购前确认材质牌号、管径制式、壁厚、角度、压力等级、弯曲半径和执行标准。"
