issue_id	issue_type	severity	review_status	standard_name	standard_group	required_specs	unit_values	draft_sku_ids	draft_item_codes	candidate_count	source_candidate_rows	reason	suggested_action
DEDUPE-00001	exact_duplicate_auto_merged	low	auto_merged	断点检测电笔	工具器具/电工工具	功能：找断点/测电	只	SKU-DRAFT-000036	TOOL-000003	2	36;86	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00002	exact_duplicate_auto_merged	low	auto_merged	水龙头花洒套装	工程材料/水暖五金	组合：水龙头+花洒	套	SKU-DRAFT-000067	MAT-000005	2	67;216	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00003	exact_duplicate_auto_merged	low	auto_merged	帆布手套	劳保耗材/手套	材质：帆布；特征：加厚、双层	双	SKU-DRAFT-000218	SAFE-000005	2	220;634	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00004	exact_duplicate_auto_merged	low	auto_merged	铁丝	五金备件/金属丝材	规格：14号	KG	SKU-DRAFT-000258	SPARE-000025	2	260;551	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00005	exact_duplicate_auto_merged	low	auto_merged	PVC直通	工程材料/PVC管件	品牌：公元；规格：75；材质：PVC	个	SKU-DRAFT-000369	PIPE-000067	2	371;383	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00006	exact_duplicate_auto_merged	low	auto_merged	床垫	行政后勤/生活用品	类型：床垫	个	SKU-DRAFT-000423	ADMIN-000012	2	426;1734	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00007	exact_duplicate_auto_merged	low	auto_merged	枕头	行政后勤/生活用品	类型：枕头	个	SKU-DRAFT-000425	MAT-000040	2	428;1679	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00008	exact_duplicate_auto_merged	low	auto_merged	无缝钢管	钢材/钢管	外径：48mm；壁厚：4.0mm	米	SKU-DRAFT-000770	PIPE-000129	2	775;1144	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00009	exact_duplicate_auto_merged	low	auto_merged	一次性雨衣	劳保耗材/雨具	类型：一次性；特征：加厚	件	SKU-DRAFT-000808	SAFE-000057	2	813;1138	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00010	exact_duplicate_auto_merged	low	auto_merged	卸扣	吊装索具/卸扣	额定载荷：2T	个	SKU-DRAFT-000873	MAT-000085	2	878;1798	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00011	exact_duplicate_auto_merged	low	auto_merged	铁丝	五金耗材/金属丝	材质：铁	kg	SKU-DRAFT-000919	METAL-000067	2	924;1401	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00012	exact_duplicate_auto_merged	low	auto_merged	抹布	清洁耗材/擦拭材料	形态：大块；颜色：白色	kg	SKU-DRAFT-001332	ADMIN-000043	2	1339;1365	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00013	exact_duplicate_auto_merged	low	auto_merged	卸扣	吊装索具/卸扣	额定载荷：8T	个	SKU-DRAFT-001335	MAT-000117	2	1342;1797	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00014	exact_duplicate_auto_merged	low	auto_merged	卸扣	吊装索具/卸扣	额定载荷：10T	个	SKU-DRAFT-001336	MAT-000118	2	1343;1796	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00015	exact_duplicate_auto_merged	low	auto_merged	T型螺丝套件	紧固件/螺丝套件	螺丝规格：M16*50；套件组成：平垫+弹垫+螺母	套	SKU-DRAFT-001498	FAST-000068	2	1507;1523	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00016	exact_duplicate_auto_merged	low	auto_merged	抗盐膨润土	化工原料/膨润土	类型：抗盐膨润土	吨	SKU-DRAFT-001501	MAT-000146	2	1510;1522	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00017	exact_duplicate_auto_merged	low	auto_merged	带盖方桶	容器/塑料桶	材质：牛筋；容量：6L；配置：带盖	只	SKU-DRAFT-001604	MAT-000165	2	1615;1893	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00018	exact_duplicate_auto_merged	low	auto_merged	油漆滚筒	涂装工具/滚筒	规格：大号；用途：油漆	只	SKU-DRAFT-001607	CHEM-000107	3	1618;1671;1925	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00019	exact_duplicate_auto_merged	low	auto_merged	泥桶	施工工具/桶具	用途：泥浆/砂浆	只	SKU-DRAFT-001609	TOOL-000235	2	1620;1988	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00020	exact_duplicate_auto_merged	low	auto_merged	油漆滚筒	涂装工具/滚筒	规格：小号；用途：油漆	只	SKU-DRAFT-001620	CHEM-000117	3	1631;1672;1696	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00021	exact_duplicate_auto_merged	low	auto_merged	乙炔减压表	焊接工具/气体仪表	介质：乙炔；类型：减压表	只	SKU-DRAFT-001748	WELD-000046	2	1764;1966	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00022	exact_duplicate_auto_merged	low	auto_merged	镀锌内丝直接	管件/镀锌管件	规格：3寸；表面：镀锌；连接：内丝；类型：直接	只	SKU-DRAFT-001760	PIPE-000413	2	1776;1971	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00023	exact_duplicate_auto_merged	low	auto_merged	不锈钢挂锁	五金/锁具	规格：40；材质：不锈钢	把	SKU-DRAFT-001788	METAL-000121	2	1807;2009	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00024	exact_duplicate_auto_merged	low	auto_merged	建筑模板	建筑材料/模板	颜色：红；尺寸：2.4m*1.22m；厚度：15mm	张	SKU-DRAFT-001970	CONST-000034	2	1994;2006	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00025	exact_duplicate_auto_merged	low	auto_merged	尼龙扎带	辅料耗材/扎带	材质：尼龙；规格：10*500	包	SKU-DRAFT-002302	ELEC-TIE-000012	2	2328;2345	标准名称、必填规格、标准分组、标准单位完全一致，已在 SKU 草案中自动合并为一条。	抽样确认别名和整理依据，无需重复建档。
DEDUPE-00026	unit_conflict_review	high	needs_review	插销	五金备件/门窗五金	材质：不锈钢	个；套	SKU-DRAFT-000052；SKU-DRAFT-000069	SPARE-000002；SPARE-000007	2	52；69	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00027	unit_conflict_review	high	needs_review	滚筒刷	工具器具/涂装工具	规格：4寸	个；支	SKU-DRAFT-000055；SKU-DRAFT-000631	TOOL-000004；TOOL-000101	2	55；636	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00028	unit_conflict_review	high	needs_review	羊毛刷	工具器具/涂装工具	规格：4寸	个；支	SKU-DRAFT-000098；SKU-DRAFT-000111	TOOL-000010；TOOL-000011	2	99；112	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00029	unit_conflict_review	high	needs_review	拖把	清洁用品/清洁工具	规格：大	个；支	SKU-DRAFT-000133；SKU-DRAFT-000172	TOOL-000017；TOOL-000025	2	134；173	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00030	unit_conflict_review	high	needs_review	毛刷	工具器具/涂装工具	规格：3寸	支；个	SKU-DRAFT-000170；SKU-DRAFT-000239	TOOL-000023；TOOL-000035	2	171；241	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00031	unit_conflict_review	high	needs_review	美工刀	工具器具/手动工具	类型：美工刀	支；把	SKU-DRAFT-000230；SKU-DRAFT-000713	TOOL-000034；TOOL-000113	2	232；718	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00032	unit_conflict_review	high	needs_review	羊毛刷	工具器具/涂装工具	规格：4寸；材质：羊毛	个；支	SKU-DRAFT-000240；SKU-DRAFT-000462	TOOL-000036；TOOL-000068	2	242；465	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00033	unit_conflict_review	high	needs_review	电焊钳	焊接耗材/焊割工具	电流：500A	把；支	SKU-DRAFT-000269；SKU-DRAFT-000491	WELD-000008；WELD-000014	2	271；494	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00034	unit_conflict_review	high	needs_review	自喷漆	化工耗材/涂料	品牌：三和；颜色：灰色；类型：自喷漆	瓶；支	SKU-DRAFT-000291；SKU-DRAFT-000633	CHEM-000017；CHEM-000049	2	293；638	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00035	unit_conflict_review	high	needs_review	床垫	行政后勤/生活用品	类型：床垫	个；床	SKU-DRAFT-000423；SKU-DRAFT-001665	ADMIN-000012；ADMIN-000052	3	426;1734；1678	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00036	unit_conflict_review	high	needs_review	冰块	行政后勤/临时消耗品	重量：50kg	个；块	SKU-DRAFT-000567；SKU-DRAFT-000579	MAT-000059；MAT-000060	2	571；583	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00037	unit_conflict_review	high	needs_review	拖把	劳保耗材/清洁工具	类型：拖把	支；个	SKU-DRAFT-000603；SKU-DRAFT-000729	TOOL-000098；TOOL-000118	2	607；734	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00038	unit_conflict_review	high	needs_review	记号笔	办公耗材/书写用品	品类：记号笔	个；支	SKU-DRAFT-000796；SKU-DRAFT-001192	ADMIN-000025；ADMIN-000036	2	801；1199	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00039	unit_conflict_review	high	needs_review	油布	劳保耗材/覆盖防护	特征：加厚	平方；m2	SKU-DRAFT-000801；SKU-DRAFT-001031	SAFE-000056；SAFE-000069	2	806；1036	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00040	unit_conflict_review	high	needs_review	一次性雨衣	劳保耗材/雨具	类型：一次性；特征：加厚	件；套	SKU-DRAFT-000808；SKU-DRAFT-001074	SAFE-000057；SAFE-000073	3	813;1138；1079	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00041	unit_conflict_review	high	needs_review	膨胀螺丝	紧固件/膨胀件	规格：M14*100	套；个	SKU-DRAFT-000900；SKU-DRAFT-000942	FAST-000023；FAST-000026	2	905；947	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00042	unit_conflict_review	high	needs_review	自喷漆	化工耗材/涂料	颜色：白色；类型：自喷漆	个；支	SKU-DRAFT-000959；SKU-DRAFT-001235	CHEM-000064；CHEM-000086	2	964；1242	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00043	unit_conflict_review	high	needs_review	扁平吊装带	吊装索具/吊带	额定载荷：5T；长度：6米；颜色：彩色	付；根	SKU-DRAFT-001054；SKU-DRAFT-001083	MAT-000095；MAT-000099	2	1059；1088	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00044	unit_conflict_review	high	needs_review	铁锹柄	工具备件/手动工具配件	部件：柄；适用：铁锹	个；支	SKU-DRAFT-001139；SKU-DRAFT-001232	TOOL-000173；TOOL-000196	2	1146；1239	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00045	unit_conflict_review	high	needs_review	一体式触摸屏	电气材料/工控配件	型号：TPC1570；结构：一体式	台；套	SKU-DRAFT-001226；SKU-DRAFT-001273	ELEC-000136；ELEC-000139	2	1233；1280	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00046	unit_conflict_review	high	needs_review	灭火器	安全消防/灭火器	灭火剂重量：2KG	瓶；只	SKU-DRAFT-001545；SKU-DRAFT-002137	SAFE-000094；SAFE-000121	2	1556；2163	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00047	unit_conflict_review	high	needs_review	螺纹锁固胶	胶粘剂/螺纹锁固胶	品牌：乐泰；型号：243	只；瓶	SKU-DRAFT-001601；SKU-DRAFT-002097	CHEM-000106；CHEM-000151	2	1612；2123	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00048	unit_conflict_review	high	needs_review	羊毛刷	涂装工具/刷子	规格：4寸；材质：羊毛	只；把	SKU-DRAFT-001660；SKU-DRAFT-001926	TOOL-000243；TOOL-000291	2	1673；1947	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00049	unit_conflict_review	high	needs_review	钢刷	涂装工具/刷子	材质：钢丝；类型：钢刷	只；把	SKU-DRAFT-001662；SKU-DRAFT-001682	TOOL-000245；TOOL-000251	2	1675；1697	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00050	unit_conflict_review	high	needs_review	蚕丝被	行政后勤/生活用品	材质：蚕丝；类型：被子	件；套	SKU-DRAFT-001664；SKU-DRAFT-001718	MAT-000177；MAT-000182	2	1677；1733	标准名称和必填规格相同，但单位不同，不能自动判断是否同一 SKU。	确认采购、库存和领用的基础单位，再决定合并或保留独立 SKU。
DEDUPE-00051	alias_conflict_review	medium	needs_review	聚氨酯堵漏剂20KG	化工耗材/堵漏剂；化工原料/堵漏材料	包装规格：20kg；材料：聚氨酯；用途：堵漏；包装：20KG	桶	SKU-DRAFT-000007；SKU-DRAFT-001753	CHEM-000001；CHEM-000131	2	7；1769	同一别名/土名 '聚氨酯堵漏剂20KG' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00052	alias_conflict_review	medium	needs_review	公牛五孔插座	电气材料/插座开关；电气材料/插头插座	品牌：公牛；类型：五孔；品牌：公牛；类型：五孔插座	个；套	SKU-DRAFT-000012；SKU-DRAFT-000437；SKU-DRAFT-000617	ELEC-000010；ELEC-000066；ELEC-000094	3	12；440；621	同一别名/土名 '公牛五孔插座' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00053	alias_conflict_review	medium	needs_review	公元25PPR管	工程材料/PPR管件	品牌：公元；规格：25；品牌：公元；规格：25；材质：PPR	米	SKU-DRAFT-000027；SKU-DRAFT-000438	PIPE-000001；PIPE-000081	2	27；441	同一别名/土名 '公元25PPR管' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00054	alias_conflict_review	medium	needs_review	公元25PPR弯头	工程材料/PPR管件	品牌：公元；规格：25；类型：弯头；品牌：公元；规格：25；材质：PPR	个	SKU-DRAFT-000029；SKU-DRAFT-000709	PIPE-000003；PIPE-000115	2	29；714	同一别名/土名 '公元25PPR弯头' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
