item_code	item_name	sku_name	required_specs	optional_specs	item_group	top_group	sub_group	material_family	stock_uom	purchase_uom	conversion_factor	estimated_rate	currency	price_basis	aliases	search_keywords	brand	model	status	quality_level	agent_use_policy	source_item_codes	merged_count	governance_note	updated_at
ADMIN-000001	热水壶	热水壶 不锈钢 2L	材质：不锈钢；容量：2L		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	个	1	37.50	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	热水壶	ADMIN-000001 热水壶 热水壶 不锈钢 2L 材质：不锈钢；容量：2L 热水壶 生活后勤			active	standard	auto_select_allowed	ADMIN-000001	1		2026-07-08
ADMIN-000002	洁厕剂	洁厕剂 500ml	容量：500ml		清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	瓶	瓶	1	9.75	CNY	按500ml瓶装估价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	洁厕灵；洁厕剂	ADMIN-000002 洁厕剂 洁厕剂 500ml 容量：500ml 洁厕灵；洁厕剂 清洁用品			active	standard	auto_select_allowed	ADMIN-000002	1		2026-07-08
ADMIN-000003	水壶	水壶 6.5升不锈钢	材质：不锈钢；容量：6.5升		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	个	1	60.00	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	6.5升不锈钢水壶；水壶	ADMIN-000003 水壶 水壶 6.5升不锈钢 材质：不锈钢；容量：6.5升 6.5升不锈钢水壶；水壶 生活后勤			active	standard	auto_select_allowed	ADMIN-000003	1		2026-07-08
ADMIN-000004	水桶	水桶 20L	容量：20L		包装覆盖周转/容器周转箱	包装覆盖周转	容器周转箱	容器周转箱	个	个	1	29.00	CNY	按个估价，20L水桶；按物料族“容器周转箱”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=1.4500；金额按四舍五入保留两位小数。	水桶	ADMIN-000004 水桶 水桶 20L 容量：20L 水桶 容器周转箱			active	standard	auto_select_allowed	ADMIN-000004	1		2026-07-08
ADMIN-000005	垃圾袋	垃圾袋 120*140cm	尺寸：120*140cm		清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	个	个	1	0.78	CNY	按个计价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	大垃圾袋；垃圾袋；大垃圾袋子；120垃圾袋；垃圾袋1.2m*1.4m	ADMIN-000005 垃圾袋 垃圾袋 120*140cm 尺寸：120*140cm 大垃圾袋；垃圾袋；大垃圾袋子；120垃圾袋；垃圾袋1.2m*1.4m 清洁用品			active	standard	auto_select_allowed	ADMIN-000005	1		2026-07-08
ADMIN-000006	记号笔	记号笔 黑色	颜色：黑色；墨水类型：油性		清洁办公后勤/办公文具	清洁办公后勤	办公文具	办公文具	支	支	1	2.50	CNY	按支计价；按物料族“办公文具”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=1.0000；金额按四舍五入保留两位小数。	记号笔；黑色笔；黑色记号笔；得力黑色记号笔	ADMIN-000006 记号笔 记号笔 黑色 颜色：黑色；墨水类型：油性 记号笔；黑色笔；黑色记号笔；得力黑色记号笔 办公文具 得力	得力		active	standard	auto_select_allowed	ADMIN-000006	1		2026-07-08
ADMIN-000007	油污清洗剂	油污清洗剂 重油污 25KG/桶 宝雅	包装：25KG/桶；用途：重油污		化工胶粘涂料/清洗脱漆剂	化工胶粘涂料	清洗脱漆剂	清洗脱漆剂	桶	桶	1	157.20	CNY	按1桶25KG估价；按物料族“清洗脱漆剂”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=1.3100；金额按四舍五入保留两位小数。	宝雅重油污清洗剂;重油污清洗剂；去重油污清洗剂;重油污清洗剂；重油污清洗剂	ADMIN-000007 油污清洗剂 油污清洗剂 重油污 25KG/桶 宝雅 包装：25KG/桶；用途：重油污 宝雅重油污清洗剂;重油污清洗剂；去重油污清洗剂;重油污清洗剂；重油污清洗剂 清洗脱漆剂 宝雅	宝雅		active	standard	auto_select_allowed	ADMIN-000007	1		2026-07-08
ADMIN-000008	垃圾袋	垃圾袋 120*140cm 厚	尺寸：120*140cm；厚度：厚		清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	个	个	1	1.17	CNY	按个计价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	120*140厚垃圾袋；垃圾袋	ADMIN-000008 垃圾袋 垃圾袋 120*140cm 厚 尺寸：120*140cm；厚度：厚 120*140厚垃圾袋；垃圾袋 清洁用品			active	standard	auto_select_allowed	ADMIN-000008	1		2026-07-08
ADMIN-000009	方凳	方凳 50cm	材质：塑料；规格/尺寸：50cm		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	个	1	15.00	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	加厚50CM塑料方凳；塑料方凳	ADMIN-000009 方凳 方凳 50cm 材质：塑料；规格/尺寸：50cm 加厚50CM塑料方凳；塑料方凳 生活后勤			active	standard	auto_select_allowed	ADMIN-000009	1		2026-07-08
ADMIN-000011	记号笔	记号笔 白色	颜色：白色；墨水类型：油性		清洁办公后勤/办公文具	清洁办公后勤	办公文具	办公文具	支	支	1	2.00	CNY	按支计价；按物料族“办公文具”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=1.0000；金额按四舍五入保留两位小数。	白色记号笔；记号笔	ADMIN-000011 记号笔 记号笔 白色 颜色：白色；墨水类型：油性 白色记号笔；记号笔 办公文具			active	standard	auto_select_allowed	ADMIN-000011	1		2026-07-08
