merged_item_code,standard_name,reviewed_group_paths,canonical_group_path,specs,unit,source_count,source_statuses,alias_names,source_rows,notes,merged_from_codes,merge_reason,merge_confidence,needs_human_review
REVIEW-MAT-00001,办公室门锁,五金备件/门锁锁具,五金备件/门锁锁具/门锁锁具,用途: 办公室门；规格型号缺失,个,1,可建档-低精度,办公室门锁,Sheet1:3,是否需要区分锁体型号/开孔规格？,REVIEW-MAT-00001,single_candidate;low_precision,0.70,true
REVIEW-MAT-00002,漏电断路器,电气材料/低压电器,电气与自动化/低压电器/低压电器,品牌: 施耐德；极数: 4P；电流: 250A；类型: 漏电二合一,个,1,可建档,4P*250A施耐德漏电二合一,Sheet1:4,,REVIEW-MAT-00002,single_candidate,1.00,false
REVIEW-MAT-00003,热缩管,电气材料/绝缘材料,电气与自动化/绝缘材料/热缩绝缘,规格: 3CM,米,1,可建档,3CM热缩管,Sheet1:5,,REVIEW-MAT-00003,single_candidate,1.00,false
REVIEW-MAT-00004,热缩管,电气材料/绝缘材料,电气与自动化/绝缘材料/热缩绝缘,规格: 2CM,米,1,可建档,2CM热缩管,Sheet1:6,,REVIEW-MAT-00004,single_candidate,1.00,false
REVIEW-MAT-00005,热缩管,电气材料/绝缘材料,电气与自动化/绝缘材料/热缩绝缘,规格: 1.5CM,米,1,可建档,1.5CM热缩管,Sheet1:7,,REVIEW-MAT-00005,single_candidate,1.00,false
REVIEW-MAT-00006,透明电工胶布,电气材料/绝缘材料,电气与自动化/绝缘材料/热缩绝缘,品牌: 3M；颜色: 透明,个,1,可建档,3M透明电胶布,Sheet1:8,,REVIEW-MAT-00006,single_candidate,1.00,false
REVIEW-MAT-00007,聚氨酯堵漏剂,化工耗材/堵漏剂,化工油漆胶粘/其他/堵漏剂,包装规格: 20KG；类型: 堵漏剂,桶,1,可建档,聚氨酯堵漏剂20KG,Sheet1:11,,REVIEW-MAT-00007,single_candidate;human_review_group,0.65,true
REVIEW-MAT-00008,灯管,电气材料/照明,电气与自动化/照明与报警/灯具,功率: 36W,套,1,可建档,36W灯管,Sheet1:13,需不需要区分 LED/荧光灯、长度？,REVIEW-MAT-00008,single_candidate,1.00,false
REVIEW-MAT-00009,USB插座,电气材料/插座开关,电气与自动化/低压电器/开关按钮,品牌: 公牛；USB电流: 2.1A,个,1,可建档,2.1ASUB公牛插座,Sheet1:14,原文 SUB 是否为 USB？,REVIEW-MAT-00009,single_candidate,1.00,false
REVIEW-MAT-00010,明装线盒,电气材料/电气辅材,电气与自动化/其他/电气辅材,安装方式: 明装,个,2,可合并 | 可建档,明装线盒,Sheet1:15；Sheet1:22,规格尺寸缺失，可低精度建档 | 与第14行同物料,REVIEW-MAT-00010,single_candidate;source_status_contains_merge;low_precision;human_review_group,0.65,true
REVIEW-MAT-00011,电箱,电气材料/配电箱,电气与自动化/其他/配电箱,型号/规格: P230,个,1,可建档,P230电箱,Sheet1:16,P230 是否为箱体尺寸或型号？,REVIEW-MAT-00011,single_candidate;human_review_group,0.65,true
REVIEW-MAT-00012,五孔插座,电气材料/插座开关,电气与自动化/低压电器/开关按钮,品牌: 公牛；类型: 五孔,个,1,可建档,公牛五孔插座,Sheet1:18,明装/暗装未说明,REVIEW-MAT-00012,single_candidate,1.00,false
REVIEW-MAT-00013,四位开关,电气材料/插座开关,电气与自动化/低压电器/开关按钮,品牌: 公牛；位数: 4位,个,1,可建档,公牛4位开关,Sheet1:19,明装/暗装未说明,REVIEW-MAT-00013,single_candidate,1.00,false
REVIEW-MAT-00014,一位开关,电气材料/插座开关,电气与自动化/低压电器/开关按钮,品牌: 公牛；位数: 1位,个,1,可建档,公牛1位开关,Sheet1:20,明装/暗装未说明,REVIEW-MAT-00014,single_candidate,1.00,false
REVIEW-MAT-00015,二位开关,电气材料/插座开关,电气与自动化/低压电器/开关按钮,品牌: 公牛；位数: 2位,个,1,可建档,公牛2位开关,Sheet1:21,明装/暗装未说明,REVIEW-MAT-00015,single_candidate,1.00,false
REVIEW-MAT-00016,LED灯泡,电气材料/照明,电气与自动化/照明与报警/灯具,品牌: 公牛；功率: 40W,个,1,可建档,40WLED公牛灯泡,Sheet1:25,色温/灯头规格缺失,REVIEW-MAT-00016,single_candidate;low_precision,0.70,true
REVIEW-MAT-00017,BV电线,电气材料/电线电缆,电气与自动化/电线电缆与敷设/电线电缆,品牌: 起帆；型号: BV；截面积: 2.5平方,米,3,可合并 | 可建档,BV2.5起帆平方电线；起帆BV2.5平方电线,Sheet1:26；Sheet1:663；Sheet1:668,颜色缺失 | 与第662行同物料，颜色仍缺,REVIEW-MAT-00017,single_candidate;source_status_contains_merge;low_precision,0.70,true
