issue_type	scope	item_code	type_id	classification_key	detail	severity
missing_required_specs	sku	ADMIN-000004	MT-6440E1A47D19	包装覆盖周转|容器周转箱|水桶	material,配置	high
missing_required_specs	sku	ADMIN-000005	MT-799E958401BE	清洁办公后勤|清洁用品|垃圾袋	thickness,color	high
missing_required_specs	sku	ADMIN-000006	MT-2498232B4D7E	清洁办公后勤|办公文具|记号笔	类型	high
missing_required_specs	sku	ADMIN-000007	MT-CA342C4A2A7B	化工胶粘涂料|清洗脱漆剂|油污清洗剂	specification	high
human_confirmation_required	sku	ADMIN-000007	MT-CA342C4A2A7B	化工胶粘涂料|清洗脱漆剂|油污清洗剂	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	ADMIN-000008	MT-799E958401BE	清洁办公后勤|清洁用品|垃圾袋	color	high
missing_required_specs	sku	ADMIN-000011	MT-2498232B4D7E	清洁办公后勤|办公文具|记号笔	brand,类型	high
missing_required_specs	sku	ADMIN-000030	MT-1429511649B0	清洁办公后勤|清洁工具|抹布	size,color	high
missing_required_specs	sku	ADMIN-000031	MT-2DE1EAF77847	清洁办公后勤|清洁工具|垃圾桶	配置	high
missing_required_specs	sku	ADMIN-000032	MT-799E958401BE	清洁办公后勤|清洁用品|垃圾袋	thickness,color	high
missing_required_specs	sku	ADMIN-000034	MT-799E958401BE	清洁办公后勤|清洁用品|垃圾袋	thickness,color	high
missing_required_specs	sku	ADMIN-000037	MT-89EA56C0DE30	清洁办公后勤|清洁工具|扫把	specification	high
missing_required_specs	sku	ADMIN-000048	MT-9DEEC1667DAA	清洁办公后勤|清洁工具|烟灰桶	size	high
missing_required_specs	sku	ADMIN-000050	MT-CA342C4A2A7B	化工胶粘涂料|清洗脱漆剂|油污清洗剂	specification,brand	high
human_confirmation_required	sku	ADMIN-000050	MT-CA342C4A2A7B	化工胶粘涂料|清洗脱漆剂|油污清洗剂	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	ADMIN-000051	MT-4B4A5277BC40	清洁办公后勤|清洁用品|洗洁精	specification	high
missing_required_specs	sku	ADMIN-000056	MT-2DE1EAF77847	清洁办公后勤|清洁工具|垃圾桶	配置	high
missing_required_specs	sku	ADMIN-000057	MT-2498232B4D7E	清洁办公后勤|办公文具|记号笔	brand,墨水类型	high
missing_required_specs	sku	ADMIN-000058	MT-799E958401BE	清洁办公后勤|清洁用品|垃圾袋	thickness	high
missing_required_specs	sku	ADMIN-000060	MT-4B4A5277BC40	清洁办公后勤|清洁用品|洗洁精	specification	high
missing_required_specs	sku	ADMIN-000072	MT-89EA56C0DE30	清洁办公后勤|清洁工具|扫把	specification	high
missing_required_specs	sku	CHEM-000001	MT-3F18DA60CBA2	化工胶粘涂料|胶粘密封|聚氨酯堵漏剂	类型,组分	high
human_confirmation_required	sku	CHEM-000001	MT-3F18DA60CBA2	化工胶粘涂料|胶粘密封|聚氨酯堵漏剂	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000002	MT-40601EADD890	化工胶粘涂料|油漆涂料|涂料	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000003	MT-D97959E459B9	化工胶粘涂料|胶粘密封|瞬干胶	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000004	MT-CD420A84B7D5	化工胶粘涂料|清洗脱漆剂|除胶剂	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000005	MT-DDCE3B9C93D8	化工胶粘涂料|胶粘密封|泡沫填缝剂	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000006	MT-3130BAFDF7B6	化工胶粘涂料|防锈除锈|防锈润滑剂	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000007	MT-5F1FF80BE457	化工胶粘涂料|油漆涂料|调和漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000008	MT-5F1FF80BE457	化工胶粘涂料|油漆涂料|调和漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000009	MT-299EA1DB79BF	化工胶粘涂料|油漆涂料|自喷漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000010	MT-299EA1DB79BF	化工胶粘涂料|油漆涂料|自喷漆	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000011	MT-1CAA06A5C1A8	化工胶粘涂料|油漆涂料|防锈漆	brand	high
human_confirmation_required	sku	CHEM-000011	MT-1CAA06A5C1A8	化工胶粘涂料|油漆涂料|防锈漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000012	MT-40C47E925CD6	化工胶粘涂料|清洗脱漆剂|松香水	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000017	MT-299EA1DB79BF	化工胶粘涂料|油漆涂料|自喷漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000018	MT-299EA1DB79BF	化工胶粘涂料|油漆涂料|自喷漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000019	MT-0294C2FB0D73	化工胶粘涂料|清洗脱漆剂|脱漆剂	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000020	MT-3ACF6994E361	化工胶粘涂料|清洗脱漆剂|电气清洗剂	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000021	MT-DB299B787652	施工机具设备|泵油润滑设备|黄油泵	配置	high
human_confirmation_required	sku	CHEM-000022	MT-58D25626C63E	化工胶粘涂料|胶粘密封|AB胶	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000023	MT-5F1FF80BE457	化工胶粘涂料|油漆涂料|调和漆	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000025	MT-1BAA4AD8A641	化工胶粘涂料|胶粘密封|玻璃胶	brand	high
human_confirmation_required	sku	CHEM-000025	MT-1BAA4AD8A641	化工胶粘涂料|胶粘密封|玻璃胶	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000026	MT-04E0BE02A02D	化工胶粘涂料|胶粘密封|密封胶	material,package_specification,brand,材料/体系,类型	high
human_confirmation_required	sku	CHEM-000026	MT-04E0BE02A02D	化工胶粘涂料|胶粘密封|密封胶	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000027	MT-B03FC47E1E0F	化工胶粘涂料|胶粘密封|双面胶带	thickness,brand,特征	high
human_confirmation_required	sku	CHEM-000027	MT-B03FC47E1E0F	化工胶粘涂料|胶粘密封|双面胶带	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000028	MT-BDB3309EEBBD	化工胶粘涂料|油漆涂料|固化剂	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000029	MT-AD2B534416EB	化工胶粘涂料|油漆涂料|底漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000030	MT-BDB3309EEBBD	化工胶粘涂料|油漆涂料|固化剂	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000032	MT-C5C386FEBE51	化工胶粘涂料|油漆涂料|墙面漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000034	MT-299EA1DB79BF	化工胶粘涂料|油漆涂料|自喷漆	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000035	MT-299EA1DB79BF	化工胶粘涂料|油漆涂料|自喷漆	brand	high
human_confirmation_required	sku	CHEM-000035	MT-299EA1DB79BF	化工胶粘涂料|油漆涂料|自喷漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000036	MT-0EBA0B3D740F	化工胶粘涂料|胶粘密封|万能胶	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000037	MT-0B5ADF6838B6	化工胶粘涂料|润滑油|齿轮油	brand	high
human_confirmation_required	sku	CHEM-000037	MT-0B5ADF6838B6	化工胶粘涂料|润滑油|齿轮油	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000038	MT-3EBC1D713EA7	化工胶粘涂料|胶粘密封|植筋胶	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000039	MT-AF3FB9BF0C16	包装覆盖周转|胶带标签|双面胶带	thickness,brand	high
human_confirmation_required	sku	CHEM-000040	MT-5F1FF80BE457	化工胶粘涂料|油漆涂料|调和漆	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000041	MT-3F18DA60CBA2	化工胶粘涂料|胶粘密封|聚氨酯堵漏剂	specification,组分	high
human_confirmation_required	sku	CHEM-000041	MT-3F18DA60CBA2	化工胶粘涂料|胶粘密封|聚氨酯堵漏剂	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000042	MT-3F18DA60CBA2	化工胶粘涂料|胶粘密封|聚氨酯堵漏剂	specification,组分	high
