current_top_category	current_material_family	sku_count	target_top_category	target_second_layer_family	decision	confidence	manual_judgment	next_action	examples
电气电料	接线端子	24	电气电料	接线端子/线鼻子	合并	高	旧族“接线端子”样例是电线端接、压接用端子或线鼻子，物料功能与二级族“接线端子/线鼻子”一致，规格应落到适配线径、孔径和材质。	合并到“接线端子/线鼻子”，第三层保留“接线端子”，继续补齐适配线径、孔径、材质和绝缘方式。	ELEC-000031 铜鼻子 规格：100A；材质：铜；ELEC-000032 铜鼻子 规格：200A；材质：铜；ELEC-000091 铜鼻子 电流：300A；材质：铜；ELEC-000092 铜鼻子 电流：200A；材质：铜
电气电料	冷压线鼻端子	3	电气电料	接线端子/线鼻子	合并	高	旧族“冷压线鼻端子”样例是电线端接、压接用端子或线鼻子，物料功能与二级族“接线端子/线鼻子”一致，规格应落到适配线径、孔径和材质。	合并到“接线端子/线鼻子”，第三层保留“冷压线鼻端子”，继续补齐适配线径、孔径、材质和绝缘方式。	ELEC-000224 冷压线鼻端子 类型：OT；规格：2.5-4；ELEC-000225 冷压线鼻端子 类型：OT；规格：4-6；ELEC-000226 冷压线鼻端子 类型：OT；规格：6-8
电气电料	铜接头	6	电气电料	接线端子/线鼻子	拆分	中	旧族“铜接头”样例同时出现管路铜接头和电气铜接头；电气侧本质是铜鼻子/端接件，但管路接头不应留在电气族。	族内拆分：适配线径的铜接头进“接线端子/线鼻子”，DN口径管路铜接头移出到管材管件阀门/直接接头。	PIPE-000246 铜接头 规格：DN80；材质：铜；特征：加厚；PIPE-000247 铜接头 规格：DN50；材质：铜；特征：加厚；ELEC-000247 铜接头 材质：铜；适配线径：150平方；ELEC-000248 铜接头 材质：铜；适配线径：120平方
电气电料	电缆	17	电气电料	电线电缆	合并	高	旧族“电缆”样例是输配电、接地、焊接或数据传输线缆，核心属性是芯数、截面积、长度、屏蔽或用途，符合“电线电缆”。	合并到“电线电缆”，第三层保留“电缆”，后续补齐型号、芯数、截面积、电压等级和长度。	ELEC-000030 电缆 品牌：起帆；规格：3*6+1；ELEC-000071 电缆线 品牌：起帆；规格：3*4+2*2.5；ELEC-000072 电缆线 品牌：起帆；规格：3*1.5；ELEC-000073 电缆线 品牌：起帆；规格：3*2.5
电气电料	电线	8	电气电料	电线电缆	合并	高	旧族“电线”样例是输配电、接地、焊接或数据传输线缆，核心属性是芯数、截面积、长度、屏蔽或用途，符合“电线电缆”。	合并到“电线电缆”，第三层保留“电线”，后续补齐型号、芯数、截面积、电压等级和长度。	ELEC-000015 BV电线 品牌：起帆；型号：BV；截面积：2.5平方；ELEC-000016 BV电线 品牌：起帆；型号：BV；截面积：10平方；ELEC-000017 BV电线 品牌：起帆；型号：BV；截面积：25平方；ELEC-000034 BV电线 型号：BV；截面积：2.5平方
电气电料	电焊线	2	电气电料	电线电缆	合并	高	旧族“电焊线”样例是输配电、接地、焊接或数据传输线缆，核心属性是芯数、截面积、长度、屏蔽或用途，符合“电线电缆”。	合并到“电线电缆”，第三层保留“电焊线”，后续补齐型号、芯数、截面积、电压等级和长度。	ELEC-000050 电焊线 品牌：起帆；截面积：35平方；ELEC-000051 电焊线 品牌：起帆；截面积：50平方
电气电料	接地线	2	电气电料	电线电缆	合并	高	旧族“接地线”样例是输配电、接地、焊接或数据传输线缆，核心属性是芯数、截面积、长度、屏蔽或用途，符合“电线电缆”。	合并到“电线电缆”，第三层保留“接地线”，后续补齐型号、芯数、截面积、电压等级和长度。	ELEC-000113 接地线 品牌：起帆；截面积：16mm2；用途：接地；ELEC-000219 接地线 品牌：起帆；用途：接地；截面积：16平方；颜色：双色
电气电料	地线	1	电气电料	电线电缆	合并	高	旧族“地线”样例是输配电、接地、焊接或数据传输线缆，核心属性是芯数、截面积、长度、屏蔽或用途，符合“电线电缆”。	合并到“电线电缆”，第三层保留“地线”，后续补齐型号、芯数、截面积、电压等级和长度。	ELEC-000065 地线 品牌：起帆；截面积：6平方；用途：地线
电气电料	接地跨接线	1	电气电料	电线电缆	合并	高	旧族“接地跨接线”样例是输配电、接地、焊接或数据传输线缆，核心属性是芯数、截面积、长度、屏蔽或用途，符合“电线电缆”。	合并到“电线电缆”，第三层保留“接地跨接线”，后续补齐型号、芯数、截面积、电压等级和长度。	ELEC-000137 接地跨接线 用途：电柜接地跨接
电气电料	打印机电源线	1	电气电料	电线电缆	合并	高	旧族“打印机电源线”样例是输配电、接地、焊接或数据传输线缆，核心属性是芯数、截面积、长度、屏蔽或用途，符合“电线电缆”。	合并到“电线电缆”，第三层保留“打印机电源线”，后续补齐型号、芯数、截面积、电压等级和长度。	ADMIN-000015 打印机电源线 适用设备：打印机；类型：电源线
电气电料	打印机数据线	1	电气电料	电线电缆	合并	高	旧族“打印机数据线”样例是输配电、接地、焊接或数据传输线缆，核心属性是芯数、截面积、长度、屏蔽或用途，符合“电线电缆”。	合并到“电线电缆”，第三层保留“打印机数据线”，后续补齐型号、芯数、截面积、电压等级和长度。	ADMIN-000016 打印机数据线 适用设备：打印机；类型：数据线
电气电料	电源线	1	电气电料	电线电缆	合并	高	旧族“电源线”样例是输配电、接地、焊接或数据传输线缆，核心属性是芯数、截面积、长度、屏蔽或用途，符合“电线电缆”。	合并到“电线电缆”，第三层保留“电源线”，后续补齐型号、芯数、截面积、电压等级和长度。	ELEC-000085 电源线 长度：2米
