domain	candidate_term	decision	suggested_family	split_rule	family_attributes	include_examples	exclude_examples	priority	confidence	reason
劳保防护	手套	solidify	手套		材质；工艺；防护用途；尺码；厚度；长度；颜色	乳胶手套；帆布手套；浸塑手套；浸胶手套；焊工手套；电焊手套	扳手套筒；手套箱；手套机	P0	high	现有样例集中在劳保手部防护，帆布/乳胶/焊工等是族内类型或材质属性。
劳保防护	口罩	solidify	口罩		类型；材质；防护等级；佩戴方式；包装数量	一次性口罩；棉纱口罩；棉口罩	焊接面罩；防毒面具；面罩配件	P0	high	口罩样例均为呼吸防护用品，材质和一次性等信息不应拆成族。
劳保防护	防护眼镜	solidify	防护眼镜		镜片类型；用途；颜色；防护等级；执行标准；材质	防护眼镜；平光防护眼镜；透明防护眼镜；护目镜	近视眼镜；玻璃胶枪；防护罩	P0	high	数据中的防护眼镜、平光防护眼镜、护目镜都属于眼面防护，差异适合做属性。
劳保防护	护目镜	solidify	防护眼镜	作为防护眼镜的同义/类型规则，护目镜本体纳入防护眼镜；不要命中护罩或面罩	类型；防护等级；镜片材质；通风方式；执行标准	护目镜；多功能护目眼镜；护目眼镜	切割机防护罩；水泵防护罩；焊接面罩	P1	high	护目镜是眼面防护下的眼镜类实物，当前样例与防护眼镜边界一致。
劳保防护	眼镜	split	防护眼镜；焊工眼镜	按是否焊接遮光用途拆：普通防冲击/平光归防护眼镜，电焊/焊工遮光归焊工眼镜	用途；镜片类型；遮光号；颜色；防护等级；执行标准	防护眼镜；平光防护眼镜；电焊眼镜；焊工眼镜	普通近视眼镜；太阳镜；玻璃胶枪	P1	high	眼镜词面偏宽，现有数据虽集中在劳保，但焊接遮光眼镜与普通防护眼镜规则应分开。
劳保防护	安全帽	split	安全帽；安全帽配件	按本体/配件拆：安全帽本体归安全帽，帽带/内衬/一字带等归安全帽配件	材质；颜色；尺码；帽衬类型；适配型号；执行标准	安全帽；安全帽一字带；安全帽帽衬	安全带；安全绳；安全网；安全阀	P1	medium	当前数据只见安全帽一字带，不能把安全帽配件误合并为安全帽本体。
劳保防护	安全帽一字带	solidify	安全帽配件		适配型号；类型；材质；颜色；规格	安全帽一字带；安全帽下颚带；安全帽帽带	安全帽本体；安全带；一字螺丝刀	P1	high	浏览数据明确为头部防护配件，适配安全帽但不是安全帽本体。
劳保防护	反光背心	solidify	反光背心		颜色；尺码；款式；反光等级；材质；执行标准	反光背心；安全反光背心；荧光反光背心	反光警示带；警示反光胶带；反光踢脚板	P1	medium	反光背心是身体防护穿戴用品；反光只是功能属性，不能把警示材料合并进来。
劳保防护	反光	attribute_only	不单独建族	反光只作为可视/警示功能属性，必须按完整实物名归入反光背心、警示带、警示胶带等族	反光颜色；反光等级；用途；宽度；长度	反光背心；反光警示带；警示反光胶带	反光	P1	high	候选样例跨身体防护和警示标识，单独用反光建族会混淆实物。
清洁办公后勤	门锁	split	门锁；电箱锁	按适配对象拆：办公室门/大门/防盗门归门锁，电箱门锁归电箱锁或电气箱柜配件	适配对象；锁体型号；开孔尺寸；材质；钥匙类型；把手方向	门锁；防盗门锁；办公室门锁；电箱门锁	挂锁；锁扣；门插销	P0	high	门锁样例跨普通门窗五金和电箱门锁，按安装对象拆规则更稳定。
清洁办公后勤	挂锁	solidify	挂锁		材质；规格；锁梁尺寸；钥匙类型；防水特性；通开类型	挂锁；不锈钢挂锁；铜挂锁；通用挂锁	门锁；锁扣；电箱锁	P0	high	挂锁样例集中且边界清楚，材质和通开/防水是族内属性。
清洁办公后勤	锁扣	solidify	锁扣		材质；规格；孔距；配套锁具；表面处理	锁扣；不锈钢锁扣；门锁扣	门锁；挂锁；卡扣；管卡	P1	high	锁扣属于门窗锁具配件，不应因含锁字并入门锁或挂锁。
清洁办公后勤	合页	solidify	合页		材质；规格；厚度；承重；表面处理；安装位置	合页；不锈钢合页；铁合页；加厚铁合页	门锁；插销；焊接件	P0	high	合页是门窗五金清晰实物族，材质、加厚和尺寸均为属性。
清洁办公后勤	插销	solidify	插销		材质；规格；长度；功能；安装对象；表面处理	插销；门插销；门板插销；带锁插销	电气插销；定位销；销轴	P0	high	当前样例均为门窗五金插销，带锁和门板用途不改变族。
清洁办公后勤	锁	split	门锁；挂锁；锁扣；电箱锁	不要按单字锁合并；按完整名称和安装对象拆到对应锁具或配件族	适配对象；锁体型号；钥匙类型；材质；规格	门锁；挂锁；电箱门锁；锁扣	螺纹锁固胶；自锁接头；锁紧螺母	P0	high	锁是宽词，横跨锁具、锁具配件、胶粘剂和连接特征，必须按完整品名拆。
清洁办公后勤	垃圾袋	solidify	垃圾袋		尺寸；厚度；颜色；材质；每包数量；承重	垃圾袋；大号垃圾袋；加厚垃圾袋	编织袋；吨袋；包装袋	P0	high	垃圾袋样例集中在清洁耗材，规格尺寸和厚度用于区分SKU。
包装覆盖周转	油布	solidify	油布		材质；尺寸；克重；厚度；颜色；防水等级；单位	油布；加厚油布；防水油布	篷布；彩条布；地板胶；玻璃纸	P0	high	油布用于覆盖防护，现有样例集中；加厚和尺寸不应拆族。
包装覆盖周转	篷布	solidify	篷布		材质；尺寸；克重；厚度；颜色；防水等级；边扣方式	篷布；防水篷布；帆布篷布	油布；编织袋；安全网	P1	medium	篷布是覆盖材料实物族；应与油布、彩条布按名称和材质边界区分。
包装覆盖周转	彩条布	solidify	彩条布		尺寸；克重；颜色；材质；防水等级	彩条布；蓝白彩条布；加厚彩条布	油布；篷布；警示带	P2	high	浏览数据中的彩条布来自篷布油布旧类目，但实物名称独立，适合作为覆盖材料族或篷布子类型规则。
包装覆盖周转	编织袋	solidify	编织袋		尺寸；材质；承重；颜色；新旧程度；每包数量	编织袋；大号编织袋；小号编织袋	垃圾袋；吨袋；安全网	P0	high	编织袋样例集中在包装袋，大小和尺寸属于SKU属性。
包装覆盖周转	胶带	split	封箱胶带；透明胶带；双面胶带；绝缘胶带；医用胶带；警示反光胶带	按用途和材质拆：包装粘贴、绝缘、医用、警示分别归不同族；胶带切割器归工具	宽度；长度；颜色；材质；胶型；用途；品牌	封箱胶带；透明胶带；双面胶带；绝缘胶带；医用胶带；警示反光胶带	胶带切割器；除胶剂；电工胶布	P1	high	胶带样例跨包装、电气、急救和安全标识，不能合成单一物料族。
化工胶粘涂料	自喷漆	solidify	自喷漆		品牌；颜色；色号；容量；类型；用途	自喷漆；自动喷漆；白色自喷漆；三和自喷漆	喷枪；油漆滚筒；防锈漆	P0	high	自喷漆样例覆盖集中，是明确涂料族；颜色和品牌是属性。
化工胶粘涂料	防锈漆	solidify	防锈漆		品牌；颜色；色号；包装规格；基料；用途	防锈漆；铁红防锈漆；立邦防锈漆	自喷漆；油漆笔；除锈剂	P0	high	防锈漆样例均为防腐涂料，颜色和包装不拆族。
化工胶粘涂料	油漆	split	油漆；油漆笔；油漆滚筒	按实物拆：桶装/罐装油漆归油漆，油漆笔归办公/标记笔，油漆滚筒归刷具或涂装工具	颜色；包装规格；品牌；类型；用途；容量	油漆；调和油漆；立邦油漆；油漆笔；油漆滚筒	自喷漆；防锈漆；油漆桶空桶	P1	high	油漆候选混入工具耗材和办公标记用品，必须按完整实物名拆。
