标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
PVC弯头	品牌：公元；材质：PVC；规格：315；角度：90度		管件/PVC管件	只	公元PVC315/90度弯头	C	压力等级/连接方式缺失，会影响PVC弯头SKU区分
PVC胶水	品牌：公元；包装：1KG；用途：PVC粘接		胶粘剂/PVC胶水	瓶	公元胶水1KG	B	型号缺失，按品牌/包装建候选
钻头	品牌：博世；规格：M14*260		工具/钻头	支	博世钻头m14*260	C	M14语义及柄型/材质缺失，会影响钻头SKU区分
冲孔冲头	直径：Φ14；长度：150		工具/冲头	支	冲孔冲Φ14*150	B	材质/适配冲孔机缺失，需后续确认
冲孔冲头	直径：Φ16；长度：150		工具/冲头	支	冲孔冲Φ16*150	B	材质/适配冲孔机缺失，需后续确认
灭火器	灭火剂重量：2KG		安全消防/灭火器	瓶	灭火器2KG；灭火器2kg	C	灭火剂类型/年检信息缺失，无法区分灭火器SKU
三通	公称通径：DN50		管件/金属管件	只	DN50三通	C	材质/连接方式/压力等级缺失，会影响三通SKU区分
三通	公称通径：DN65		管件/金属管件	只	DN65三通	C	材质/连接方式/压力等级缺失，会影响三通SKU区分
带灯按钮开关	品牌：施耐德；类型：带灯按钮开关		电气/按钮开关	只	施耐德灯带按钮开关	C	电压/颜色/触点形式/型号缺失，会影响按钮开关SKU区分
电流表	变比：600/5A		仪表/电气仪表	只	电流表600/5A	C	表径/精度/安装方式缺失，会影响电流表SKU区分
重型矿井卡箍	品牌：迈克；规格：DN150；类型：重型矿井卡箍		管夹/卡箍	只	迈克重型矿井卡箍DN150	C	材质/压力等级/密封圈规格缺失，会影响卡箍SKU区分
膨胀螺丝	规格：M12*100		紧固件/膨胀螺丝	支	膨胀螺丝M12*100	A	
液压对丝接头	螺纹：M20*1.5；类型：对丝		液压/高压管路	只	液压接头m20*1.5对丝	C	材质/压力等级缺失，会影响液压接头SKU区分
自喷漆	颜色：绿色		油漆涂料/自喷漆	瓶	绿色自喷漆	C	品牌/容量/色号缺失，会影响自喷漆SKU区分
三通	公称通径：DN40		管件/金属管件	只	DN40三通	C	材质/连接方式/压力等级缺失，会影响三通SKU区分
空调	品牌：美的；匹数：大1.5匹；功能：冷暖		行政后勤/空调设备	台	美的大1.5匹冷暖空调	B	型号/能效等级缺失，需后续确认
自喷漆	颜色：中黄		油漆涂料/自喷漆	瓶	中黄自喷漆	C	品牌/容量/色号缺失，会影响自喷漆SKU区分
