domain	candidate_term	decision	suggested_family	split_rule	family_attributes	include_examples	exclude_examples	priority	confidence	reason
工具耗材	钻头	solidify	钻头		品牌；材质；钻头类型；柄型；直径；长度；规格；适用材质；适配设备	冲击钻头；合金钻头；钨钢钻头；麻花钻头；二坑二槽钻头；五坑钻头	开孔器；宝塔钻头开孔器；铣刀钻头；电钻	P0	high	钻削耗材边界清楚，合金/钨钢/冲击/五坑等是族内属性，开孔器和铣刀钻头需另立规则。
工具耗材	开孔器	solidify	开孔器		品牌；类型；规格范围；直径范围；材质；柄型；适用材质；件数	宝塔钻头开孔器；宝塔开孔器；金属开孔器	麻花钻头；普通钻头；铣刀钻头	P1	high	开孔器用于开大孔或阶梯孔，当前样例已提示从普通钻头拆出。
工具耗材	铣刀钻头	solidify	铣刀钻头		品牌；直径；刃径；柄径；适用材质；刀具类型；适配设备	不锈钢铣刀钻头4mm；不锈钢铣刀钻头10mm	普通钻头；开孔器；铣刀	P1	medium	钻铣复合刀具与普通钻头用途和规格字段不同，样例建议暂独立成族。
工具耗材	冲击钻头	attribute_only	钻头	冲击用于钻头使用类型，不单独成族	品牌；规格；柄型；直径；长度；钻头类型	冲击钻头；方大同18*800冲击钻头	冲击钻整机；电钻	P1	high	当前命中均为钻头耗材，“冲击”是钻头类型或适配工况。
电动气动工具	冲击钻	split	冲击钻；钻头	按是否整机拆：整机名称为冲击钻归冲击钻；冲击钻头归钻头	品牌；型号；功率；电压；供电方式；钻头类型；适配设备	冲击钻；冲击钻头	电钻；电镐	P2	medium	该词既可能是电动工具整机，也可能只出现在冲击钻头中，规则必须看后缀和本体。
工具量具	扳手	split	扳手；气动扳手；液压扳手；套筒；扳手套装	按动力和主体拆：手动扳手归扳手；气动/液压整机另归对应族；电动扳手套筒归套筒；成套按套装主体处理	品牌；规格；扳手类型；开口尺寸；长度；材质；件数；驱动方式	活动扳手；内六角扳手；开口梅花扳手；链条扳手；液压扳手套装	电动扳手套筒；扳手套装中非扳手主体	P0	high	候选跨手动、气动、液压和套筒附件，不能只按“扳手”字符串合并。
工具量具	活动扳手	attribute_only	扳手	活动是扳手类型属性，不单独作为物料族	品牌；规格；长度；开口范围；材质	活动扳手；大开口活动扳手	固定扳手；套筒	P2	medium	应归入扳手族，用扳手类型区分活动、固定、开口等。
工具量具	内六角扳手	attribute_only	扳手	内六角是扳手类型或适配头型	品牌；规格；规格范围；件数；材质；是否套装	内六角扳手；内六角扳手套装	内六角螺丝；六角套筒	P2	medium	内六角仍是扳手，不宜为每种头型建独立大族。
工具量具	套筒	solidify	套筒		品牌；规格；驱动方孔；长度；结构；适用工具；材质	套筒；加长套筒；万向套筒；电动扳手套筒	T型套筒扳手套装；三叉套筒扳手；扳手	P0	high	独立套筒和电动扳手套筒是工具附件或手动工具，规格和适配工具作属性。
工具量具	电动扳手	split	电动扳手；套筒	按物料本体拆：电动扳手整机归电动扳手；电动扳手套筒归套筒	品牌；型号；电压；扭矩；供电方式；适用工具；套筒规格	电动扳手；电动扳手套筒	活动扳手；液压扳手	P2	medium	当前命中主要是“电动扳手套筒”，不可误归为电动扳手整机。
工具量具	卷尺	solidify	卷尺		品牌；长度；宽度；材质；精度；外壳类型	卷尺；钢卷尺	钢尺；水平尺；测距仪	P0	high	长度和钢带材质只影响SKU，不拆物料族。
工具耗材	刷	split	毛刷；滚筒刷；钢丝刷；碳刷；清洁刷；刷具伸缩杆	按用途和结构拆：涂装刷归毛刷/滚筒刷；打磨清理归钢丝刷；电机附件归碳刷；清洁生活用品另归清洁刷；刷杆归附件	规格；材质；用途；刷毛材质；柄材质；适配设备；部件	毛刷；羊毛刷；滚筒刷；钢丝刷；碳刷；地毯刷	牙刷；厕所刷；电钻；电镐	P0	high	“刷”横跨工具耗材、电动工具附件和后勤清洁，必须先拆本体。
工具耗材	毛刷	solidify	毛刷		规格；刷毛材质；柄材质；宽度；用途；品牌	毛刷；羊毛刷；羊毛漆刷	滚筒刷；钢丝刷；碳刷；厕所刷	P1	high	涂装用平面刷具边界清楚，羊毛等是刷毛材质属性。
工具耗材	羊毛刷	attribute_only	毛刷	羊毛是刷毛材质，作为毛刷属性	规格；刷毛材质；柄材质；用途	羊毛刷；4寸羊毛刷	滚筒刷；碳刷	P2	high	样例均为毛刷，羊毛不应单独成物料族。
工具耗材	滚筒刷	solidify	滚筒刷		规格；宽度；直径；刷毛材质；柄长；是否带柄；用途	滚筒刷；小滚筒刷；油漆滚筒	毛刷；钢丝刷；滚筒伸缩杆	P1	high	滚筒式涂装耗材与普通毛刷结构不同，应独立成族。
工具耗材	钢丝刷	solidify	钢丝刷		规格；形制；柄材质；钢丝材质；用途；品牌	钢丝刷；刀型钢丝刷；铁柄钢丝刷	钢丝球；毛刷；碳刷	P1	medium	用于除锈和清理打磨，和涂装毛刷、清洁钢丝球不同。
电动气动工具	碳刷	solidify	碳刷		适配设备；适配型号；规格；尺寸；材质；数量	碳刷；电镐碳刷；碳刷900#	毛刷；钢丝刷；滚筒刷	P1	high	碳刷是电动工具或电机附件，不属于刷具耗材。
工具耗材	切割片	solidify	切割片		品牌；直径；厚度；孔径；材质；适用材质；用途；粒度	切割片；马路切割片；切割片Φ355	切割嘴；切割机防护罩；胶带切割器	P0	high	磨切耗材边界清楚，马路、金属等用途作为属性。
工具耗材	切割	split	切割片；切割嘴；切割机防护罩；胶带切割器	按本体拆：片状磨切耗材归切割片；焊割耗材归切割嘴；设备部件归防护罩；手动办公工具归胶带切割器	用途；适用设备；直径；材质；部件；规格	切割片；马路切割片；切割嘴；切割机防护罩	切割服务；切割作业	P2	high	“切割”只是动作或用途词，当前样例本体完全不同。
工具耗材	砂轮片	solidify	砂轮片		品牌；直径；厚度；孔径；粒度；材质；型式；适用设备	砂轮片；百叶砂轮片；4寸百叶砂轮片	切割片；角磨机；砂纸	P1	high	打磨片状耗材可固化，百叶等是型式属性。
工具耗材	百叶砂轮片	attribute_only	砂轮片	百叶是砂轮片型式属性	直径；粒度；材质；孔径；型式	百叶砂轮片；百叶轮	切割片；角磨机	P2	medium	样例归砂轮片或磨具，建议收敛到砂轮片族。
工具耗材	锯片	solidify	锯片		品牌；直径；孔径；齿数；材质；适用材质；适配设备	锯片；合金锯片；木工锯片	切割片；砂轮片；锯弓	P2	medium	当前样例不足，但锯片作为片状切削耗材边界清楚，规则可预留。
电动气动工具	批头	solidify	批头		品牌；头型；规格；柄径；长度；材质；是否套装；件数	十字批头；十字批头套装；电批批头	十字螺丝刀；螺丝；批灰刀	P1	medium	批头是螺丝刀或电批可换附件，套装只是配置。
电动气动工具	十字	attribute_only	批头；螺丝刀；螺丝	十字是头型或槽型属性，需按本体归族	头型；规格；长度；是否绝缘；材质	十字批头套装；十字螺丝刀；十字螺丝	十字扣件；十字测钉	P2	high	同一词可描述批头、螺丝刀、螺丝和扣件，不能作为族名。
电动气动工具	电钻	solidify	电钻		品牌；型号；供电方式；电压；电池容量；功率；夹头规格；配置	电钻；充电电钻；锂电池电钻；锂电钻；锂电电钻套装	电钻夹头钥匙；自紧钻夹头；钻头	P0	high	整机边界清楚，锂电、充电、套装配置作为属性，夹头钥匙另为附件。
电动气动工具	角磨机	solidify	角磨机		品牌；型号；供电方式；电压；功率；砂轮规格；配置	角磨机；锂电角磨机；锂电池角磨机；锂电角磨机套装	砂轮片；切割片；角磨片	P0	high	角磨机是电动工具整机，电池和套装不改变本体。
电动气动工具	电镐	solidify	电镐		品牌；型号；功率；电压；规格；冲击能量；配置	电镐；15寸专业长款电镐	电镐碳刷；冲凿套装；钻头	P1	high	电镐为整机，碳刷和冲凿耗材或附件不应并入。
电动气动工具	锂电	attribute_only	电钻；角磨机；电镐；电动扳手	锂电/锂电池仅作供电方式属性	供电方式；电压；电池容量；电池数量；充电器配置	锂电钻；锂电角磨机；锂电手电钻套装	5号电池；蓄电池；独立电池	P1	high	在本领域锂电是供电属性，不是物料族。
工具量具	套装	split	工具套装；电钻；角磨机；扳手；批头；冲凿工具	按套装主体拆：有明确主体归主体族并记录配置；混合工具包或无单一主体才归工具套装	主体工具；配置；件数；规格范围；品牌；附件清单	内六角扳手套装；锂电角磨机套装；十字批头套装；冲凿套装	水龙头花洒套装；雨衣套装；螺杆泵电机套装	P0	high	套装是成套配置，跨多领域，不能直接粗暴成族。
电动气动工具	夹头	split	钻夹头；电钻夹头钥匙；钢丝绳夹头	按适配对象和部件拆：自紧钻夹头归工具附件；夹头钥匙归电钻附件；钢丝绳夹头归吊装索具	适配设备；夹持范围；接口；规格；品牌；部件	自紧钻夹头；电钻夹头钥匙；钢丝绳夹头	套筒；钻头	P2	medium	夹头跨电动工具附件和吊装索具，需按适配对象判断。
工具耗材	伸缩杆	split	刷具伸缩杆；围挡伸缩杆；伸缩梯	按用途和适配对象拆：滚筒/边角刷配套归刷具伸缩杆；安全围挡另归安全消防；梯具另归登高工具	长度；适配工具；接口；材质；结构；颜色	滚筒伸缩杆；边角刷伸缩杆	安全伸缩杆；伸缩铝梯；伸缩梯	P2	medium	同词在刷具配件、安全设施和登高工具中含义不同。
工具量具	六角	attribute_only	扳手；套筒；螺丝；直接	六角是头型、截面或连接形制属性，按本体归族	头型；规格；驱动规格；连接方式	内六角扳手；加长六角套筒；六角螺丝	六角作为独立物料名	P2	high	六角横跨工具、紧固件和管件，不是物料族。
