"item_code"	"current_item_name"	"current_required_specs"	"current_uom"	"target_top_category"	"target_second_layer_family"	"target_third_layer_name"	"decision"	"confidence"	"assumed_specs"	"manual_judgment"	"next_action"
"PIPE-000125"	"法兰盘"	"规格：325；类型：法兰盘"	"个"	"管材管件阀门"	"法兰"	"法兰"	"三级名称修正"	"high"	"形态/别名：法兰盘"	"法兰盘属于法兰本体，盘为常用别名或形态描述，三级统一收敛为法兰；规格和类型信息保留在SKU规格。"	"按法兰本体使用；采购前补齐材质、压力等级/公称压力、执行标准、密封面形式、孔距/螺栓孔等关键规格。"
"SPARE-000078"	"法兰胶垫"	"规格：325；材质：胶"	"个"	"设备备件"	"密封垫片"	"法兰垫片"	"移出"	"medium"	"材质：胶；用途/适配：法兰连接密封"	"法兰胶垫是法兰连接用密封垫片，不是法兰本体；移出法兰族，归入密封垫片族，三级名称用法兰垫片承接。"	"采购前确认材质等级、厚度、内外径/孔距、压力等级和适配法兰标准；目标密封垫片族如需正式新增需同步二级族口径。"
"PIPE-000130"	"国标法兰"	"规格：DN325；压力等级：16kg；执行标准：国标"	"个"	"管材管件阀门"	"法兰"	"法兰"	"三级名称脱水"	"high"	"执行标准：国标"	"国标是执行标准，不进入三级名称；三级名称只保留法兰本体，规格、压力等级和标准保留在SKU规格。"	"按法兰本体使用；采购前补齐材质、密封面形式、孔距/螺栓孔等关键规格。"
"PIPE-000131"	"法兰垫片"	"规格：DN325；材质：胶"	"个"	"设备备件"	"密封垫片"	"法兰垫片"	"移出"	"medium"	"材质：胶；用途/适配：法兰连接密封"	"法兰垫片是密封垫片，不是法兰本体；移出法兰族，归入密封垫片族，三级名称保留稳定商品名法兰垫片。"	"采购前确认材质等级、厚度、内外径/孔距、压力等级和适配法兰标准；目标密封垫片族如需正式新增需同步二级族口径。"
"PIPE-000151"	"法兰"	"规格：325"	"个"	"管材管件阀门"	"法兰"	"法兰"	"脱水保留"	"high"	""	"原名称已是法兰本体三级名称，规格下压到SKU规格，三级名称保持法兰。"	"按法兰本体使用；采购前补齐材质、压力等级/公称压力、执行标准、密封面形式、孔距/螺栓孔等关键规格。"
"PIPE-000166"	"法兰"	"规格：DN273"	"个"	"管材管件阀门"	"法兰"	"法兰"	"脱水保留"	"high"	""	"原名称已是法兰本体三级名称，规格下压到SKU规格，三级名称保持法兰。"	"按法兰本体使用；采购前补齐材质、压力等级/公称压力、执行标准、密封面形式、孔距/螺栓孔等关键规格。"
"PIPE-000185"	"法兰"	"规格：DN89；压力等级：16kg"	"个"	"管材管件阀门"	"法兰"	"法兰"	"脱水保留"	"high"	""	"原名称已是法兰本体三级名称，规格和压力等级下压到SKU规格，三级名称保持法兰。"	"按法兰本体使用；采购前补齐材质、执行标准、密封面形式、孔距/螺栓孔等关键规格。"
"PIPE-000270"	"法兰软连接"	"规格：65*40；连接：法兰"	"个"	"管材管件阀门"	"软连接"	"软连接"	"移出"	"high"	"连接方式：法兰；形态：软连接"	"法兰软连接的核心商品是软连接，法兰只是连接方式；按三级治理口径移出法兰族，归入软连接族。"	"采购前确认材质、长度、压力等级、两端口径、法兰标准和适用介质；建议目标二级族为软连接。"
"PIPE-000271"	"法兰软连接"	"规格：65*50；连接：法兰"	"个"	"管材管件阀门"	"软连接"	"软连接"	"移出"	"high"	"连接方式：法兰；形态：软连接"	"法兰软连接的核心商品是软连接，法兰只是连接方式；按三级治理口径移出法兰族，归入软连接族。"	"采购前确认材质、长度、压力等级、两端口径、法兰标准和适用介质；建议目标二级族为软连接。"
"PIPE-000291"	"法兰"	"公称直径：DN50；压力等级：16kg"	"个"	"管材管件阀门"	"法兰"	"法兰"	"脱水保留"	"high"	""	"原名称已是法兰本体三级名称，公称直径和压力等级下压到SKU规格，三级名称保持法兰。"	"按法兰本体使用；采购前补齐材质、执行标准、密封面形式、孔距/螺栓孔等关键规格。"
"PIPE-000292"	"法兰"	"公称直径：DN65；压力等级：16kg"	"个"	"管材管件阀门"	"法兰"	"法兰"	"脱水保留"	"high"	""	"原名称已是法兰本体三级名称，公称直径和压力等级下压到SKU规格，三级名称保持法兰。"	"按法兰本体使用；采购前补齐材质、执行标准、密封面形式、孔距/螺栓孔等关键规格。"
