"sequence","excel_row","raw_name","standard_name","item_group","specs","unit","status","question"
"1","2","DN75胶弯头","PVC/塑料弯头","工程材料/管件","规格: DN75；类型: 弯头；材质: 待确认","个","待确认","“胶”具体是 PVC、PE、PPR 还是橡胶？"
"8","9","25保温棉","保温棉","工程材料/保温材料","规格: 25；含义待确认","米","待确认","25 是厚度 25mm，还是适配 DN25 管？"
"9","10","电钻锂电池充电器","电钻锂电池充电器","工具器具/工具配件","适用设备: 电钻；类型: 充电器；电压/型号缺失","个","待确认","适配电钻型号、电池电压是多少？"
"11","12","双块水泥","双快水泥","建筑材料/水泥砂石","类型: 双快水泥","包","待确认","原文“双块”是否为“双快”？包装重量是多少？"
"16","17","3P施耐德空气开关","空气开关","电气材料/低压电器","品牌: 施耐德；极数: 3P","个","待确认","额定电流缺失"
"22","23","PVC线管","PVC线管","电气材料/电气管材","材质: PVC；规格缺失","米","待确认","管径是多少？"
"23","24","20管卡代沟","管卡带钩","电气材料/电气辅材","规格: 20；类型: 管卡；疑似带钩","个","待确认","“代沟”是否为“带钩”？"
"28","29","2.5MM水泥钉","水泥钉","五金备件/紧固件","规格: 2.5MM","合","待确认","单位“合”是否为“盒”？长度/包装数量缺失"
"29","30","电线杆踩脚","电线杆脚扣","工具器具/登高工具","用途: 电线杆攀爬；原名: 踩脚","付","待确认","是否为脚扣？规格/适用杆径缺失"
"31","32","厚黑模板","黑模板","建筑材料/模板木方","特征: 厚；颜色/类型: 黑模板","张","待确认","厚度和尺寸缺失"
"34","35","5CM自攻螺丝","自攻螺丝","五金备件/紧固件","长度: 5CM","合","待确认","单位“合”是否为“盒”？包装数量缺失"
"35","36","3CM自攻螺丝","自攻螺丝","五金备件/紧固件","长度: 3CM","合","待确认","单位“合”是否为“盒”？包装数量缺失"
"36","37","4*6厚方钢","方钢","金属材料/型材","规格: 4*6；特征: 厚","米","待确认","规格单位、壁厚缺失"
"44","45","12厘膨胀螺丝代沟","膨胀螺丝带钩","五金备件/紧固件","规格: 12厘；疑似带钩","个","待确认","“代沟”是否为“带钩”？长度缺失"
"48","49","02-0.5MM沙子","沙子","建筑材料/水泥砂石","粒径: 0.2-0.5MM 或 02-0.5MM","斤","待确认","原文“02”是否为 0.2？"
"50","51","2.5CM钢钉","钢钉","五金备件/紧固件","长度: 2.5CM","合","待确认","单位“合”是否为“盒”？"
"52","53","10A公牛三插","三孔插头/插座","电气材料/插头插座","品牌: 公牛；电流: 10A；类型: 三插","个","待确认","是插头还是插座？"
"58","59","3CM大盒钢钉","钢钉","五金备件/紧固件","长度: 3CM；包装: 大盒","合","待确认","单位“合”是否为“盒”？"
"59","60","250A空气开关","空气开关","电气材料/低压电器","额定电流: 250A","个","待确认","极数/品牌缺失"
"62","63","定做导链式窗帘","导链式窗帘","装修材料/窗帘","定制: 是；类型: 导链式","平方","待确认","是库存物料还是定制服务？材质缺失"
"73","74","100金属软管","金属软管","工程材料/水暖五金","规格: 100；材质: 金属","个","待确认","100 是长度还是口径？"
"74","75","不锈钢接头","不锈钢接头","工程材料/管件","材质: 不锈钢；规格缺失","个","待确认","口径/螺纹规格缺失"
