merged_item_code,standard_name,canonical_group_path,specs,unit,source_count,source_candidate_count,alias_names,source_rows,governance_grade,governance_status,issue_type,missing_specs,governance_reason,next_action,matched_rule_key,matched_rule_label,rule_source,override_source,has_blocking_conflict,has_alias_conflict,has_unit_conflict,has_low_precision,needs_human_review,note_has_open_question,related_conflict_types,resolution_issue_types,original_composition_bucket,merge_confidence,merge_reason
REVIEW-MAT-00003,热缩管,电气与自动化/绝缘材料/热缩绝缘,规格: 3CM,米,1,1,3CM热缩管,Sheet1:5,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,electrical,电气与自动化,rules_yaml,,false,false,false,false,false,false,specs_conflict,,可导入-按规格拆分,1.00,single_candidate
REVIEW-MAT-00004,热缩管,电气与自动化/绝缘材料/热缩绝缘,规格: 2CM,米,1,1,2CM热缩管,Sheet1:6,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,electrical,电气与自动化,rules_yaml,,false,false,false,false,false,false,specs_conflict,,可导入-按规格拆分,1.00,single_candidate
REVIEW-MAT-00005,热缩管,电气与自动化/绝缘材料/热缩绝缘,规格: 1.5CM,米,1,1,1.5CM热缩管,Sheet1:7,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,electrical,电气与自动化,rules_yaml,,false,false,false,false,false,false,specs_conflict,,可导入-按规格拆分,1.00,single_candidate
REVIEW-MAT-00006,透明电工胶布,电气与自动化/绝缘材料/热缩绝缘,品牌: 3M；颜色: 透明,个,1,1,3M透明电胶布,Sheet1:8,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,electrical,电气与自动化,rules_yaml,,false,false,false,false,false,false,,,可导入-直接可用,1.00,single_candidate
REVIEW-MAT-00042,PPR三通,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；类型: 三通,个,1,1,公元PPR25三通,Sheet1:67,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,pipe_and_fitting,管材管件,rules_yaml,,false,false,false,false,false,false,specs_conflict,,可导入-按规格拆分,1.00,single_candidate
REVIEW-MAT-00044,PPR内牙直通,工程建材/水暖建材/水暖五金,品牌: 公元；规格: PPR25*4分；连接: 内牙；类型: 直通,个,1,1,公元PPR25*4内牙直通,Sheet1:69,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,pipe_and_fitting,管材管件,rules_yaml,,false,false,false,false,false,false,,,可导入-直接可用,1.00,single_candidate
REVIEW-MAT-00045,PPR内牙弯头,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；连接: 内牙；类型: 弯头,个,1,1,公元PPR25内牙弯头,Sheet1:70,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,pipe_and_fitting,管材管件,rules_yaml,,false,false,false,false,false,false,specs_conflict,,可导入-按规格拆分,1.00,single_candidate
REVIEW-MAT-00058,不锈钢抽锁,五金备件/门锁锁具/门锁锁具,材质: 不锈钢；规格: 5寸,个,1,1,5寸不锈钢抽锁,Sheet1:89,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,default,默认规则,default,,false,false,false,false,false,false,,,可导入-直接可用,1.00,single_candidate
REVIEW-MAT-00072,插排,电气与自动化/插头插座/插头插座,品牌: 公牛；线长: 3米；孔位: 8孔,个,2,1,公牛插座3米*8孔,Sheet1:112；Sheet1:234,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,electrical,电气与自动化,rules_yaml,,false,false,false,false,false,false,,,可导入-直接可用,1.00,single_candidate;source_status_contains_merge
REVIEW-MAT-00089,PPR过桥弯,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；类型: 过桥弯,个,1,1,公元25PPR过桥弯,Sheet1:142,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,pipe_and_fitting,管材管件,rules_yaml,,false,false,false,false,false,false,,,可导入-直接可用,1.00,single_candidate
