domain	candidate_term	decision	suggested_family	split_rule	family_attributes	include_examples	exclude_examples	priority	confidence	reason
劳保防护	口罩	solidify	口罩		类型；材质；防护等级；佩戴方式；包装数量	一次性口罩；棉纱口罩；棉口罩	焊接面罩；防毒面具；面罩配件	P0	high	口罩样例均为呼吸防护用品，材质和一次性等信息不应拆成族。
劳保防护	手套	solidify	手套		材质；工艺；防护用途；尺码；厚度；长度；颜色	乳胶手套；帆布手套；浸塑手套；浸胶手套；焊工手套；电焊手套	扳手套筒；手套箱；手套机	P0	high	现有样例集中在劳保手部防护，帆布/乳胶/焊工等是族内类型或材质属性。
劳保防护	防护眼镜	solidify	防护眼镜		镜片类型；用途；颜色；防护等级；执行标准；材质	防护眼镜；平光防护眼镜；透明防护眼镜；护目镜	近视眼镜；玻璃胶枪；防护罩	P0	high	数据中的防护眼镜、平光防护眼镜、护目镜都属于眼面防护，差异适合做属性。
包装覆盖周转	油布	solidify	油布		材质；尺寸；克重；厚度；颜色；防水等级；单位	油布；加厚油布；防水油布	篷布；彩条布；地板胶；玻璃纸	P0	high	油布用于覆盖防护，现有样例集中；加厚和尺寸不应拆族。
包装覆盖周转	编织袋	solidify	编织袋		尺寸；材质；承重；颜色；新旧程度；每包数量	编织袋；大号编织袋；小号编织袋	垃圾袋；吨袋；安全网	P0	high	编织袋样例集中在包装袋，大小和尺寸属于SKU属性。
化工胶粘涂料	密封胶	solidify	密封胶		材质；型号；容量；颜色；用途；包装形式；固化方式	密封胶；588密封胶；液态密封胶；管片密封胶；聚氨酯密封胶	玻璃胶枪；生料带；法兰胶垫	P0	high	密封胶样例均为密封材料，型号、材质和用途作为族内属性。
化工胶粘涂料	胶	split	胶水；密封胶；玻璃胶；发泡胶；螺纹锁固胶；除胶剂；地板胶	按完整品名和用途拆：粘接/密封/清洗/装饰材料分别归不同族；单字胶不直接建族	材质；用途；型号；容量；颜色；包装形式	胶水；密封胶；玻璃胶；发泡胶；螺纹锁固胶；除胶剂；地板胶	胶管；胶水带；橡胶手套；橡胶垫片	P0	high	胶是极宽词，既可表示胶粘剂也可表示橡胶材质或除胶清洗剂，必须拆分。
化工胶粘涂料	胶水	split	胶水；PVC胶水；水带	名称明确为502/101/PVC等胶水归胶粘剂；橡胶水带、高压胶水带按水带/管材处理，不能按子串胶水命中	型号；用途；容量；品牌；适用材质；包装形式	502胶水；101胶水；PVC胶水；胶水	橡胶水带；高压胶水带；消防水带	P0	high	候选中胶水被水带误命中，规则必须先排除胶水带类词。
化工胶粘涂料	自喷漆	solidify	自喷漆		品牌；颜色；色号；容量；类型；用途	自喷漆；自动喷漆；白色自喷漆；三和自喷漆	喷枪；油漆滚筒；防锈漆	P0	high	自喷漆样例覆盖集中，是明确涂料族；颜色和品牌是属性。
化工胶粘涂料	防锈漆	solidify	防锈漆		品牌；颜色；色号；包装规格；基料；用途	防锈漆；铁红防锈漆；立邦防锈漆	自喷漆；油漆笔；除锈剂	P0	high	防锈漆样例均为防腐涂料，颜色和包装不拆族。
吊装索具	卸扣	solidify	卸扣	U型、弓形、美式等作为型式属性，不单独成族	额定载荷；规格；型式；材质；销轴形式；标准；表面处理	U型卸扣；弓形卸扣；卸扣；美式弓形卸扣	蝴蝶扣；卡环；吊钩保险扣	P0	high	卸扣候选覆盖集中，是吊装连接件的清晰物料族。
吊装索具	吊带	solidify	吊带	吊带、吊装带、扁平吊装带统一归吊带族；扁平、环形等作为型式属性	额定载荷；长度；宽度；材质；型式；颜色；安全系数；执行标准	吊带；吊装带；扁平吊装带；彩色吊带	吊装袋；安全带；捆绑带	P0	high	吊带/吊装带样例集中在吊装索具，规格属性清晰。
吊装索具	花篮螺丝	solidify	花篮螺丝	花篮螺丝、花兰螺丝、花篮螺栓、花兰扣统一为索具拉紧器；规则优先于普通螺丝/螺栓	规格；材质；表面处理；开体/闭体形式；端部形式；额定载荷；长度	花篮螺丝；花兰螺丝；镀锌花兰螺丝；花篮螺栓；镀锌花兰扣	六角螺丝；内六角螺栓；膨胀螺丝	P0	high	花篮/花兰类用于索具拉紧调节，不应被普通螺丝规则吞掉。
吊装索具	葫芦	solidify	葫芦	手拉、手扳作为驱动/型式属性；不按品牌或链长拆族	额定载荷；链长；型式；品牌；起升高度；链条规格	手拉葫芦；手扳葫芦	电动葫芦配件；葫芦吊钩；链条扳手	P0	high	现有葫芦样例集中在手拉/手扳起重器具，边界清晰。
吊装索具	钢丝绳	split	钢丝绳；钢丝绳夹；钢丝绳铝扣；润滑剂	钢丝绳本体归钢丝绳；卡扣/夹/夹头归钢丝绳夹；铝扣归钢丝绳铝扣；润滑脂/专用剂归润滑剂	直径；结构；材质；长度；表面处理；强度等级；用途；配件类型	钢丝绳；镀锌钢丝绳；不锈钢钢丝绳；环形钢丝绳	钢丝绳卡扣；钢丝绳夹；钢丝绳夹头；钢丝绳铝扣；钢丝绳润滑脂；钢丝绳专用剂	P0	high	钢丝绳候选混入配件和化工润滑品，必须先拆本体、配件和润滑剂。
吊装索具	钢丝绳卡扣	solidify	钢丝绳夹	钢丝绳卡扣、卡扣、绳卡按钢丝绳夹归并；不是钢丝绳本体	适配直径；规格；材质；型式；标准；表面处理	钢丝绳卡扣；钢丝绳夹；钢丝绳夹头；绳卡	钢丝绳；钢丝绳铝扣；不锈钢卡扣接头	P0	high	钢丝绳卡扣用于固定绳端，采购属性与钢丝绳本体不同。
安全消防	水带	split	消防水带；非消防水带	按用途和管理属性拆分：明确消防用途归消防水带；高压/橡胶水带按管材或软管管理	公称通径；材质；压力等级；长度；接口；衬里；特性	消防水带；防爆耐磨水带；橡胶防爆水带	高压水带；高压胶水带；耐磨水管	P0	high	水带跨安全消防和管材，必须通过消防用途区分。
安全消防	消防	split	消防水带；消防接头；消防枪头；消防阀门；消防卡箍；消防箱；消防铲	消防是用途/系统词，按具体器材或管件拆分	用途；公称通径；压力等级；材质；接口；规格；品牌	消防水带；消防接头；消防枪头；消防阀门；消防箱；消防铲	消防；普通阀门；普通卡箍	P0	high	消防候选覆盖多种器材和管件，不能作为物料族。
安全消防	消防接头	solidify	消防接头	收消防水带/消防管配套接头和快接；枪头可单独族或作为关联配件	规格；接口标准；材质；压力等级；连接方式；适配水带口径	消防接头；消防管快速接头；消防枪头管接头套件	电缆防水接头；网线接头；液压接头；PPR接头	P0	high	消防接头属于消防管件，需和电气、弱电、管路接头严格隔离。
安全消防	消防水带	solidify	消防水带	明确消防用途或安全消防分类的水带归入；普通高压水带排除	公称通径；材质；压力等级；长度；接口规格；衬里；耐磨/防爆特性	消防水带；防爆耐磨水带；橡胶防爆水带	高压水带；高压胶水带；耐磨水管	P0	high	消防水带是独立消防器材，规格和特性做属性。
安全消防	消防阀门	solidify	消防阀门	名称明确带消防或消防系统专用的阀门归安全消防/消防管件；通用阀门仍归管材管件阀门	阀门类型；公称直径；连接方式；压力等级；材质；驱动方式；用途	消防阀门；消防蝶阀；沟槽消防阀	蝶阀；球阀；PPR阀门；铜止回阀	P0	high	消防阀门按消防系统器材治理，不并入普通阀门族；但通用阀门仍归阀门。
安全消防	灭火器	split	灭火器；灭火器箱；灭火标志	按实物拆分：灭火器本体、存放箱、标志牌分开	灭火剂类型；灭火剂重量；容量；压力等级；有效期；箱体尺寸；标志形式	灭火器；灭火器箱；立式灭火标志	消防水带；消防箱	P0	high	候选灭火器命中箱体和标志，不能把容器、箱、标识混成一族。
安全消防	阀门	split	阀门；消防阀门	按系统用途拆分：普通给排水/水暖阀门归阀门；明确消防系统专用归消防阀门	阀门类型；材质；公称直径；连接方式；压力等级；驱动方式；用途	球阀；蝶阀；止回阀；三角阀	消防阀门；消防蝶阀	P0	high	候选阀门几乎都属管材管件阀门，但消防阀门应单独归消防管件。
定制加工件	定制管路接头	solidify	定制管路接头	不拆；只收加工/定制/非标管路连接件，标准PPR/PVC/UPVC管件不进入	定制标记；加工工艺；材质；规格；长度；连接结构；压力等级；图纸编号	卡箍丝牙接头；双头抱箍接头；高压加厚接头；泥浆管接头加工件；卡槽钢圈接头；单头外丝无缝管加工件	PPR弯头；PVC三通；标准气管接头；标准液压快速接头	P0	high	该候选60个SKU集中在非标管路接头，适合固化但须排除标准件。
工具耗材	切割片	solidify	切割片		品牌；直径；厚度；孔径；材质；适用材质；用途；粒度	切割片；马路切割片；切割片Φ355	切割嘴；切割机防护罩；胶带切割器	P0	high	磨切耗材边界清楚，马路、金属等用途作为属性。
工具耗材	刷	split	毛刷；滚筒刷；钢丝刷；碳刷；清洁刷；刷具伸缩杆	按用途和结构拆：涂装刷归毛刷/滚筒刷；打磨清理归钢丝刷；电机附件归碳刷；清洁生活用品另归清洁刷；刷杆归附件	规格；材质；用途；刷毛材质；柄材质；适配设备；部件	毛刷；羊毛刷；滚筒刷；钢丝刷；碳刷；地毯刷	牙刷；厕所刷；电钻；电镐	P0	high	“刷”横跨工具耗材、电动工具附件和后勤清洁，必须先拆本体。
工具耗材	钻头	solidify	钻头		品牌；材质；钻头类型；柄型；直径；长度；规格；适用材质；适配设备	冲击钻头；合金钻头；钨钢钻头；麻花钻头；二坑二槽钻头；五坑钻头	开孔器；宝塔钻头开孔器；铣刀钻头；电钻	P0	high	钻削耗材边界清楚，合金/钨钢/冲击/五坑等是族内属性，开孔器和铣刀钻头需另立规则。
工具量具	卷尺	solidify	卷尺		品牌；长度；宽度；材质；精度；外壳类型	卷尺；钢卷尺	钢尺；水平尺；测距仪	P0	high	长度和钢带材质只影响SKU，不拆物料族。
工具量具	套筒	solidify	套筒		品牌；规格；驱动方孔；长度；结构；适用工具；材质	套筒；加长套筒；万向套筒；电动扳手套筒	T型套筒扳手套装；三叉套筒扳手；扳手	P0	high	独立套筒和电动扳手套筒是工具附件或手动工具，规格和适配工具作属性。
