"item_code"	"current_item_name"	"current_required_specs"	"current_uom"	"target_top_category"	"target_second_layer_family"	"target_third_layer_name"	"decision"	"confidence"	"assumed_specs"	"manual_judgment"	"next_action"
"PIPE-000001"	"PPR管"	"品牌：公元；规格：25"	""	"管材管件阀门"	"管材"	"直管"	"三级名称脱水"	"high"	"材质：PPR；形态：直管"	"PPR为材质属性，下压到SKU规格；三级名称只保留核心形态“管”。 复核调整：为避免三级名称与二级族管材重复，将管收敛为更明确的直管。"	"按“管”使用；采购前确认管系列/压力等级、壁厚、执行标准和适用介质。"
"PIPE-000025"	"金属软管"	"材质：金属；长度：80公分"	""	"管材管件阀门"	"管材"	"软管"	"三级名称脱水"	"high"	"材质：金属；形态：软管"	"金属为材质属性，下压到SKU规格；核心商品形态为软管。"	"按“软管”使用；采购前确认接口形式、内外径、长度单位、压力等级和材质牌号。"
"PIPE-000026"	"金属软管"	"材质：金属；长度：40公分"	""	"管材管件阀门"	"管材"	"软管"	"三级名称脱水"	"high"	"材质：金属；形态：软管"	"金属为材质属性，下压到SKU规格；核心商品形态为软管。"	"按“软管”使用；采购前确认接口形式、内外径、长度单位、压力等级和材质牌号。"
"PIPE-000029"	"PPR给水管"	"规格：32；用途：给水"	""	"管材管件阀门"	"管材"	"直管"	"三级名称脱水"	"high"	"材质：PPR；用途：给水；形态：直管"	"PPR为材质、给水为用途，均下压到SKU规格；三级名称收敛为“管”。 复核调整：为避免三级名称与二级族管材重复，将管收敛为更明确的直管。"	"按“管”使用；采购前确认管系列/压力等级、壁厚、执行标准和适用介质。"
"PIPE-000038"	"金属软管"	"规格：4分；长度：60"	""	"管材管件阀门"	"管材"	"软管"	"三级名称脱水"	"high"	"材质：金属；形态：软管"	"金属为材质属性，下压到SKU规格；核心商品形态为软管。"	"按“软管”使用；采购前确认接口形式、内外径、长度单位、压力等级和材质牌号。"
"PIPE-000068"	"UPVC给水管"	"品牌：公元；规格：32；材质：UPVC；用途：给水"	""	"管材管件阀门"	"管材"	"直管"	"三级名称脱水"	"high"	"材质：UPVC；用途：给水；形态：直管"	"UPVC为材质、给水为用途，均下压到SKU规格；三级名称只保留核心形态“管”。 复核调整：为避免三级名称与二级族管材重复，将管收敛为更明确的直管。"	"按“管”使用；采购前确认管系列/压力等级、壁厚、执行标准和适用介质。"
"PIPE-000081"	"PPR管"	"品牌：公元；规格：25；材质：PPR"	""	"管材管件阀门"	"管材"	"直管"	"三级名称脱水"	"high"	"材质：PPR；形态：直管"	"PPR为材质属性，下压到SKU规格；三级名称只保留核心形态“管”。 复核调整：为避免三级名称与二级族管材重复，将管收敛为更明确的直管。"	"按“管”使用；采购前确认管系列/压力等级、壁厚、执行标准和适用介质。"
"PIPE-000085"	"注浆管"	"规格：DN25"	""	"管材管件阀门"	"管材"	"注浆管"	"脱水保留"	"high"	""	"注浆管是施工管材稳定商品名，当前名称未夹带材质、品牌或规格污染，三级名称可保留。"	"按“注浆管”使用；采购前确认材质、壁厚/压力等级、连接方式、长度和执行标准。"
"PIPE-000086"	"钢丝增强管"	"规格：1寸；结构：钢丝增强"	""	"管材管件阀门"	"管材"	"软管"	"三级名称修正"	"medium"	"结构：钢丝增强；形态：软管"	"钢丝增强为结构属性，不进入三级名称；按常见采购语义近似为钢丝增强软管。"	"采购前确认是否确为软管，以及材质、内外径、压力等级、壁厚/层数和执行标准。"
"PIPE-000087"	"PPR热熔管"	"规格：4分；材质：PPR；连接：热熔"	""	"管材管件阀门"	"管材"	"直管"	"三级名称脱水"	"high"	"材质：PPR；连接方式：热熔；形态：直管"	"PPR为材质、热熔为连接方式，均下压到SKU规格；三级名称收敛为“管”。 复核调整：为避免三级名称与二级族管材重复，将管收敛为更明确的直管。"	"按“管”使用；采购前确认管系列/压力等级、壁厚、执行标准和适用介质。"
