item_code	item_name	sku_name	required_specs	optional_specs	item_group	top_group	sub_group	material_family	stock_uom	purchase_uom	conversion_factor	estimated_rate	currency	price_basis	aliases	search_keywords	brand	model	status	quality_level	agent_use_policy	source_item_codes	merged_count	governance_note	updated_at	v05_original_item_name	v05_type_id	v05_standard_name	v05_decision	v05_review	v05_validation	v05_attribute_template	v05_issues
ADMIN-000001	热水壶	热水壶 不锈钢 2L	材质：不锈钢；容量：2L		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	个	1	37.50	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	热水壶	ADMIN-000001 热水壶 热水壶 不锈钢 2L 材质：不锈钢；容量：2L 热水壶 生活后勤			active	needs_review	auto_select_allowed	ADMIN-000001	1		2026-07-08	热水壶			merge：现有热水壶SKU仅有材质和容量，与水壶无稳定分类差异，不能以保温/非电热作为类型边界，故并入水壶。	名称覆盖完整，类型边界总体清晰；但水壶/热水壶合并后目标定义将SKU断言为非电热，属无依据推断，需修正。	review_required		"并入水壶方向可接受，但当前目标类型以""非电热""为边界而证据不足；需先修正水壶定义。；该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。"
ADMIN-000002	洁厕剂	洁厕剂 500ml	容量：500ml		清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	瓶	瓶	1	9.75	CNY	按500ml瓶装估价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	洁厕灵；洁厕剂	ADMIN-000002 洁厕剂 洁厕剂 500ml 容量：500ml 洁厕灵；洁厕剂 清洁用品			active	standard	auto_select_allowed	ADMIN-000002	1	v0.5标准类型：MT-852FF9EFC7D2；旧名称：洁厕剂	2026-07-08	洁厕剂	MT-852FF9EFC7D2	洁厕剂	keep：清洁剂功能独立，容量归SKU属性。	清洁用品类型定义清晰，容量/尺寸等属性覆盖完整。	frozen	容量(required)	
ADMIN-000003	水壶	水壶 6.5升不锈钢	材质：不锈钢；容量：6.5升		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	个	1	60.00	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	6.5升不锈钢水壶；水壶	ADMIN-000003 水壶 水壶 6.5升不锈钢 材质：不锈钢；容量：6.5升 6.5升不锈钢水壶；水壶 生活后勤			active	needs_review	auto_select_allowed	ADMIN-000003	1		2026-07-08	水壶			keep：水壶作为非电热盛水容器，与电热水壶边界明确。	名称覆盖完整，类型边界总体清晰；但水壶/热水壶合并后目标定义将SKU断言为非电热，属无依据推断，需修正。	review_required		"保留名称可接受，但类型定义中""非电热""无证据支持，需修正后再通过。；定义将""热水壶""SKU限定为""非电热""，但证据仅有材质和容量，未提供驱动或加热方式；属无依据推断，需改为中性描述或补充证据。；该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。"
ADMIN-000004	水桶	水桶 20L	容量：20L		包装覆盖周转/容器周转箱	包装覆盖周转	容器周转箱	容器周转箱	个	个	1	29.00	CNY	按个估价，20L水桶；按物料族“容器周转箱”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=1.4500；金额按四舍五入保留两位小数。	水桶	ADMIN-000004 水桶 水桶 20L 容量：20L 水桶 容器周转箱			active	standard	auto_select_allowed	ADMIN-000004	1	v0.5标准类型：MT-A4B31D70F1B0；旧名称：水桶	2026-07-08	水桶	MT-A4B31D70F1B0	水桶	keep：水桶为独立盛水容器类型。	周转箱、收纳箱及各桶类、纸箱结构类型清楚，尺寸、容量、带盖、材质等属性足以区分SKU。	frozen	容量(optional)；材质(optional)；配置(optional)	
ADMIN-000005	垃圾袋	垃圾袋 120*140cm	尺寸：120*140cm		清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	个	个	1	0.78	CNY	按个计价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	大垃圾袋；垃圾袋；大垃圾袋子；120垃圾袋；垃圾袋1.2m*1.4m	ADMIN-000005 垃圾袋 垃圾袋 120*140cm 尺寸：120*140cm 大垃圾袋；垃圾袋；大垃圾袋子；120垃圾袋；垃圾袋1.2m*1.4m 清洁用品			active	standard	auto_select_allowed	ADMIN-000005	1	v0.5标准类型：MT-05F875FF3F83；旧名称：垃圾袋	2026-07-08	垃圾袋	MT-05F875FF3F83	垃圾袋	keep：类型稳定，尺寸/厚度/颜色归SKU属性。	清洁用品类型定义清晰，容量/尺寸等属性覆盖完整。	frozen	口径(required)；厚度(optional)；颜色(optional)	
ADMIN-000006	记号笔	记号笔 黑色	颜色：黑色；墨水类型：油性		清洁办公后勤/办公文具	清洁办公后勤	办公文具	办公文具	支	支	1	2.50	CNY	按支计价；按物料族“办公文具”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=1.0000；金额按四舍五入保留两位小数。	记号笔；黑色笔；黑色记号笔；得力黑色记号笔	ADMIN-000006 记号笔 记号笔 黑色 颜色：黑色；墨水类型：油性 记号笔；黑色笔；黑色记号笔；得力黑色记号笔 办公文具 得力	得力		active	standard	auto_select_allowed	ADMIN-000006	1	v0.5标准类型：MT-CA02AD4C115E；旧名称：记号笔	2026-07-08	记号笔	MT-CA02AD4C115E	记号笔	keep：记号笔类型稳定，颜色归SKU属性。	笔类类型定义清晰，属性覆盖笔尖规格、颜色等区分维度。	frozen	颜色(required)；墨水类型(optional)	
ADMIN-000007	油污清洗剂	油污清洗剂 重油污 25KG/桶 宝雅	包装：25KG/桶；用途：重油污		化工胶粘涂料/清洗脱漆剂	化工胶粘涂料	清洗脱漆剂	清洗脱漆剂	桶	桶	1	157.20	CNY	按1桶25KG估价；按物料族“清洗脱漆剂”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=1.3100；金额按四舍五入保留两位小数。	宝雅重油污清洗剂;重油污清洗剂；去重油污清洗剂;重油污清洗剂；重油污清洗剂	ADMIN-000007 油污清洗剂 油污清洗剂 重油污 25KG/桶 宝雅 包装：25KG/桶；用途：重油污 宝雅重油污清洗剂;重油污清洗剂；去重油污清洗剂;重油污清洗剂；重油污清洗剂 清洗脱漆剂 宝雅	宝雅		active	standard	auto_select_allowed	ADMIN-000007	1	v0.5标准类型：MT-9E65A5E71B56；旧名称：油污清洗剂	2026-07-08	油污清洗剂	MT-9E65A5E71B56	油污清洗剂	keep：油污清洗剂为独立去油污清洗剂类型。	各类清洗脱漆剂类型定义清楚，容量、包装、用途、适用对象等属性覆盖原SKU，旧名称全部覆盖。	frozen	包装(optional)；用途(optional)；品牌(optional)	
ADMIN-000008	垃圾袋	垃圾袋 120*140cm 厚	尺寸：120*140cm；厚度：厚		清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	个	个	1	1.17	CNY	按个计价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	120*140厚垃圾袋；垃圾袋	ADMIN-000008 垃圾袋 垃圾袋 120*140cm 厚 尺寸：120*140cm；厚度：厚 120*140厚垃圾袋；垃圾袋 清洁用品			active	standard	auto_select_allowed	ADMIN-000008	1	v0.5标准类型：MT-05F875FF3F83；旧名称：垃圾袋	2026-07-08	垃圾袋	MT-05F875FF3F83	垃圾袋	keep：类型稳定，尺寸/厚度/颜色归SKU属性。	清洁用品类型定义清晰，容量/尺寸等属性覆盖完整。	frozen	口径(required)；厚度(optional)；颜色(optional)	
ADMIN-000009	方凳	方凳 50cm	材质：塑料；规格/尺寸：50cm		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	个	1	15.00	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	加厚50CM塑料方凳；塑料方凳	ADMIN-000009 方凳 方凳 50cm 材质：塑料；规格/尺寸：50cm 加厚50CM塑料方凳；塑料方凳 生活后勤			active	needs_review	auto_select_allowed	ADMIN-000009	1		2026-07-08	方凳			merge：方凳是凳子形状描述，现有SKU均为塑料凳，无独立类型价值，并入凳子。	名称覆盖完整，类型边界总体清晰；但水壶/热水壶合并后目标定义将SKU断言为非电热，属无依据推断，需修正。	review_required		该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。
ADMIN-000011	记号笔	记号笔 白色	颜色：白色；墨水类型：油性		清洁办公后勤/办公文具	清洁办公后勤	办公文具	办公文具	支	支	1	2.00	CNY	按支计价；按物料族“办公文具”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=1.0000；金额按四舍五入保留两位小数。	白色记号笔；记号笔	ADMIN-000011 记号笔 记号笔 白色 颜色：白色；墨水类型：油性 白色记号笔；记号笔 办公文具			active	standard	auto_select_allowed	ADMIN-000011	1	v0.5标准类型：MT-CA02AD4C115E；旧名称：记号笔	2026-07-08	记号笔	MT-CA02AD4C115E	记号笔	keep：记号笔类型稳定，颜色归SKU属性。	笔类类型定义清晰，属性覆盖笔尖规格、颜色等区分维度。	frozen	颜色(required)；墨水类型(optional)	
