reviewed_group_path,canonical_group_path,canonical_level1,canonical_level2,canonical_level3,confidence,rule_reason,needs_human_review
PPR管件/三通,管道管件/塑料管件/PPR管件,管道管件,塑料管件,PPR管件,0.94,一级同义合并：PPR管件 -> 管道管件；关键词规则：PPR,false
PPR管件/弯头,管道管件/塑料管件/PPR管件,管道管件,塑料管件,PPR管件,0.94,一级同义合并：PPR管件 -> 管道管件；关键词规则：PPR,false
PPR管件/直通,管道管件/塑料管件/PPR管件,管道管件,塑料管件,PPR管件,0.94,一级同义合并：PPR管件 -> 管道管件；关键词规则：PPR,false
PPR管件/阀门,管道管件/塑料管件/PPR管件,管道管件,塑料管件,PPR管件,0.94,一级同义合并：PPR管件 -> 管道管件；关键词规则：PPR,false
PPR管材/管,管道管件/塑料管件/PPR管件,管道管件,塑料管件,PPR管件,0.94,一级同义合并：PPR管材 -> 管道管件；关键词规则：PPR,false
五金/锁具,五金备件/门锁锁具/门锁锁具,五金备件,门锁锁具,门锁锁具,0.94,"一级同义合并：五金 -> 五金备件；关键词规则：锁,门锁",false
五金/锁具配件,五金备件/门锁锁具/门锁锁具,五金备件,门锁锁具,门锁锁具,0.94,"一级同义合并：五金 -> 五金备件；关键词规则：锁,门锁",false
五金/门窗五金,五金备件/其他/门窗五金,五金备件,其他,门窗五金,0.62,一级同义合并：五金 -> 五金备件；仅完成一级合并，保留原二级作为三级待复核,true
五金备件/管道紧固,五金备件/其他/管道紧固,五金备件,其他,管道紧固,0.62,一级分类已规范：五金备件；仅完成一级合并，保留原二级作为三级待复核,true
五金备件/紧固件,五金备件/其他/紧固件,五金备件,其他,紧固件,0.62,一级分类已规范：五金备件；仅完成一级合并，保留原二级作为三级待复核,true
五金备件/脚轮,五金备件/其他/脚轮,五金备件,其他,脚轮,0.62,一级分类已规范：五金备件；仅完成一级合并，保留原二级作为三级待复核,true
五金备件/金属丝材,五金备件/其他/金属丝材,五金备件,其他,金属丝材,0.62,一级分类已规范：五金备件；仅完成一级合并，保留原二级作为三级待复核,true
五金备件/金属网,五金备件/其他/金属网,五金备件,其他,金属网,0.62,一级分类已规范：五金备件；仅完成一级合并，保留原二级作为三级待复核,true
五金备件/锁具,五金备件/门锁锁具/门锁锁具,五金备件,门锁锁具,门锁锁具,0.95,"一级分类已规范：五金备件；关键词规则：锁,门锁",false
五金备件/门窗五金,五金备件/其他/门窗五金,五金备件,其他,门窗五金,0.62,一级分类已规范：五金备件；仅完成一级合并，保留原二级作为三级待复核,true
五金备件/门锁锁具,五金备件/门锁锁具/门锁锁具,五金备件,门锁锁具,门锁锁具,0.95,"一级分类已规范：五金备件；关键词规则：锁,门锁",false
五金建材/导轨滑槽,工程建材/其他/导轨滑槽,工程建材,其他,导轨滑槽,0.62,一级同义合并：五金建材 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
五金建材/连接件,工程建材/其他/连接件,工程建材,其他,连接件,0.62,一级同义合并：五金建材 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
五金建材/锁具,工程建材/其他/锁具,工程建材,其他,锁具,0.62,一级同义合并：五金建材 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
五金建材/门窗五金,工程建材/其他/门窗五金,工程建材,其他,门窗五金,0.62,一级同义合并：五金建材 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
五金耗材/挂钩,五金备件/其他/挂钩,五金备件,其他,挂钩,0.62,一级同义合并：五金耗材 -> 五金备件；仅完成一级合并，保留原二级作为三级待复核,true
五金耗材/金属丝,五金备件/其他/金属丝,五金备件,其他,金属丝,0.62,一级同义合并：五金耗材 -> 五金备件；仅完成一级合并，保留原二级作为三级待复核,true
仓储设备/货架,仓储物流/仓储设备/货架容器,仓储物流,仓储设备,货架容器,0.94,"一级同义合并：仓储设备 -> 仓储物流；关键词规则：货架,仓储,托盘",false
仪表/压力仪表,仪器仪表/其他/压力仪表,仪器仪表,其他,压力仪表,0.62,一级同义合并：仪表 -> 仪器仪表；仅完成一级合并，保留原二级作为三级待复核,true
仪表/压力控制,仪器仪表/其他/压力控制,仪器仪表,其他,压力控制,0.62,一级同义合并：仪表 -> 仪器仪表；仅完成一级合并，保留原二级作为三级待复核,true
仪表/气体压力表,仪器仪表/压力温度仪表/压力温度,仪器仪表,压力温度仪表,压力温度,0.94,"一级同义合并：仪表 -> 仪器仪表；关键词规则：压力表,温度,温控",false
仪表/气体检测仪表,仪器仪表/其他/气体检测仪表,仪器仪表,其他,气体检测仪表,0.62,一级同义合并：仪表 -> 仪器仪表；仅完成一级合并，保留原二级作为三级待复核,true
仪表/流量仪表,仪器仪表/流量液位仪表/流量液位,仪器仪表,流量液位仪表,流量液位,0.94,"一级同义合并：仪表 -> 仪器仪表；关键词规则：流量,液位",false
仪表/液位控制,仪器仪表/流量液位仪表/流量液位,仪器仪表,流量液位仪表,流量液位,0.94,"一级同义合并：仪表 -> 仪器仪表；关键词规则：流量,液位",false
仪表/电气仪表,仪器仪表/其他/电气仪表,仪器仪表,其他,电气仪表,0.62,一级同义合并：仪表 -> 仪器仪表；仅完成一级合并，保留原二级作为三级待复核,true
保温材料/保温棉,工程建材/保温防水/保温材料,工程建材,保温防水,保温材料,0.94,"一级同义合并：保温材料 -> 工程建材；关键词规则：保温,挤塑板",false
保温材料/挤塑板,工程建材/保温防水/保温材料,工程建材,保温防水,保温材料,0.94,"一级同义合并：保温材料 -> 工程建材；关键词规则：保温,挤塑板",false
办公/标识耗材,行政办公与清洁/其他/标识耗材,行政办公与清洁,其他,标识耗材,0.62,一级同义合并：办公 -> 行政办公与清洁；仅完成一级合并，保留原二级作为三级待复核,true
办公低耗/文具,行政办公与清洁/办公用品/文具书写,行政办公与清洁,办公用品,文具书写,0.94,"一级同义合并：办公低耗 -> 行政办公与清洁；关键词规则：文具,书写,记录本,办公用品",false
办公生活用品/家具,行政办公与清洁/生活后勤/生活用品,行政办公与清洁,生活后勤,生活用品,0.94,"一级同义合并：办公生活用品 -> 行政办公与清洁；关键词规则：生活,家具,小电器,容器",false
办公生活用品/容器,行政办公与清洁/生活后勤/生活用品,行政办公与清洁,生活后勤,生活用品,0.94,"一级同义合并：办公生活用品 -> 行政办公与清洁；关键词规则：生活,家具,小电器,容器",false
办公生活用品/小电器,行政办公与清洁/生活后勤/生活用品,行政办公与清洁,生活后勤,生活用品,0.94,"一级同义合并：办公生活用品 -> 行政办公与清洁；关键词规则：生活,家具,小电器,容器",false
办公用品/书写工具,行政办公与清洁/办公用品/文具书写,行政办公与清洁,办公用品,文具书写,0.94,"一级同义合并：办公用品 -> 行政办公与清洁；关键词规则：文具,书写,记录本,办公用品",false
办公用品/记录本,行政办公与清洁/办公用品/文具书写,行政办公与清洁,办公用品,文具书写,0.94,"一级同义合并：办公用品 -> 行政办公与清洁；关键词规则：文具,书写,记录本,办公用品",false
办公耗材/书写用品,行政办公与清洁/办公用品/文具书写,行政办公与清洁,办公用品,文具书写,0.94,"一级同义合并：办公耗材 -> 行政办公与清洁；关键词规则：文具,书写,记录本,办公用品",false
加工件/金属加工件,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：加工件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
