priority	domain	current_sku_count	needs_review_count	business_importance	governance_difficulty	suggested_action	reason
1	管材管件阀门	277	198	高	高	优先治理阀门、直接、弯头、管材、三通，建立材质、口径、连接方式、压力等级模板	数量最大且工程关键，阀门63/46、直接56/35、弯头39/30集中需要复核，错选会造成接口不匹配、返工和泄漏风险
2	紧固件与连接件	204	159	高	中高	先治理螺丝族，再扩展膨胀锚栓、螺母、管卡，固化长词排除和规格模板	螺丝84/83是当前最集中的P0问题，采购频次高且影响安装可靠性，治理收益快
3	液压气动	153	124	高	高	优先治理液压接头和高压管路，建立系统判定词、螺纹连接、压力等级和适配管径模板	液压接头73/59、高压管路52/49复核率高，和标准管件、定制接头边界重叠，错误选型安全风险高
4	电气电料	261	177	高	中	并行建立电线电缆、低压电器、插头插座、接线端子模板，先处理安全和自动选型字段	规模第二且涉及用电安全，电气辅材48/30、低压电器46/29、电线电缆35/31集中，但外部标准和属性模板相对清晰
5	定制加工件	129	126	中高	高	暂不直接合并，先在管件和液压边界确定后输出定制判定规则、图纸号和加工要求字段	几乎全量needs_review，管路接头60/60、金属加工件36/36需要人工判断，过早治理容易把标准件误留为非标
6	吊装索具	101	50	高	中	治理吊带、卸扣、钢丝绳，补额定载荷、长度、结构型式、安全系数和标准字段	安全责任高，虽然needs_review数量低于前几类，但载荷和证书字段缺失会直接影响现场吊装风险
7	安全消防	51	45	高	中	治理消防器材、消防管件和警示标识，补规格、压力等级、认证、有效期或适用场景	数量不大但复核率高，消防器材14/13、消防管件14/11涉及合规和现场安全
8	焊接切割	66	49	中高	中	治理焊条、焊割工具、气瓶附件，补牌号、直径、气体、接口、包装和安全字段	焊接耗材和气瓶附件对工艺和安全敏感，气瓶附件19/19、焊接耗材16/14需要复核
9	化工胶粘涂料	140	109	中高	中	治理涂料、密封材料、润滑剂，补颜色、包装、用途、保质期、品牌和危险品属性	数量和needs_review都高，涂料55/45、密封材料25/21集中，但多数可通过属性模板逐步清洗
10	建筑材料	76	58	高	中	治理水泥砂石、模板木方、防水和装饰材料，补强度、规格、厚度、材质和执行标准	工程实体材料金额和质量影响大，数量中等但水泥砂石16/13、装饰材料16/13复核率高
11	金属材料	76	49	高	中	治理型钢、钢管、金属丝材，补牌号、规格、长度、厚度、材质标准和重量单位	金属材料通常金额较高且规格标准化，型钢36/24、钢管17/10适合用模板快速提升可用性
12	设备备件	66	52	中高	高	按采购触发治理通用机械备件，补品牌、型号、适配设备、图号和关键尺寸	通用机械备件49/41集中，但强依赖设备型号和现场语义，不宜脱离采购场景批量猜测
13	工具耗材	117	56	中	低中	治理钻头、刷具、磨具，补直径、材质、柄型、粒度、尺寸和适配工具	钻头57/23已有较清晰候选族，模板明确，治理难度低，可作为规则化清洗样板
14	工具量具	203	105	中	低中	先治理手动工具、测量工具和检测仪器，补规格、量程、精度、品牌型号	数量大但工程选型风险低于管路、电气和液压，手动工具117/55适合后续批量规范
15	劳保防护	86	61	中高	低中	治理手套、眼面防护、高处防护，补材质、尺码、防护等级、用途和包装	涉及人员安全，手套23/13、眼面防护16/10较集中，商品名和规格模板相对容易固化
16	施工机具设备	43	31	中高	中高	按高金额或故障触发治理泵类设备和搬运设备，补功率、流量、型号和适配场景	泵类设备22/21复核率高但数量较少，通常依赖品牌型号和施工场景，适合项目触发治理
17	电动气动工具	26	20	中	中	治理电动工具、气动工具和附件，补功率、电压、规格、品牌型号和适配耗材	数量少但品牌型号关键，先保证检索和确认，不作为第一波重点
18	包装覆盖周转	60	46	中	低	治理覆盖材料、包装袋、周转容器，补尺寸、材质、厚度、承重和包装单位	频次可能高但工程选型风险较低，覆盖材料20/16、包装袋15/13可保留触发式治理
19	清洁办公后勤	175	111	低中	低	先保留可检索，按采购触发治理门窗五金、生活用品和清洁耗材	数量大但多为低风险后勤物资，门窗五金42/25、生活用品40/28无需挤占第一波工程关键治理资源
20	弱电安防	18	14	中	中	暂列长尾，采购触发时补网络、监控、通讯设备的型号、接口和规格	数量最少，网络材料9/8和监控设备4/4虽需复核，但对当前主数据治理收益有限
