batch,issue_id,source_name,identify,spec_normalization,standard_name_normalization,group_normalization,release_grade,judgement,next_action
001,ISSUE-00001,内六角螺丝,内六角螺丝/螺栓,10*40->M10*40；16*50->M16*50,内六角螺丝,紧固件/螺纹紧固件/螺丝螺栓,B,不同规格应拆成不同SKU；材质和强度等级未明确,按规格拆SKU，后续补材质/强度等级
001,ISSUE-00002,平垫片,平垫圈,14->M14；M30保留；M27保留,平垫圈,紧固件/垫圈/平垫圈,B,裸数字在垫圈场景可按M规格理解，但首次需确认,按M规格拆SKU，确认14是否M14
001,ISSUE-00003,平垫片,平垫圈,14->M14；M30保留；M27保留,平垫圈,紧固件/垫圈/平垫圈,B,低精度来自裸数字；可通过规则解释为适配螺栓规格,确认14是否M14，确认后可升级
001,ISSUE-00004,弹簧垫片,弹簧垫圈,14->M14；M30保留；M27保留,弹簧垫圈,紧固件/垫圈/弹簧垫圈,B,不同规格应拆SKU；裸数字需确认为M规格,按M规格拆SKU，确认14是否M14
001,ISSUE-00005,膨胀螺丝,膨胀锚栓,M12*80保留；M20*140保留；M22*140保留；14*120->M14*120；10*70->M10*70；8*60->M8*60；6厘->M6但缺长度,膨胀螺栓,紧固件/锚固件/膨胀锚栓,C,多数规格可拆SKU；6厘缺长度；爆炸螺丝是别名,完整规格可B；6厘项需补长度
001,ISSUE-00006,膨胀螺丝,膨胀锚栓,M规格和直径*长度归一；6厘只表示M6,膨胀螺栓,紧固件/锚固件/膨胀锚栓,C,低精度主要是材质/表面处理/长度缺失,补长度、材质、表面处理；支/个按1:1统一为个
001,ISSUE-00007,螺丝,泛称螺丝/螺栓,16*50->M16*50等，但缺类型/头型,螺丝/螺栓待定,紧固件/螺纹紧固件/螺丝螺栓,D,螺丝是泛称，只有规格没有类型，不能唯一建档,追问类型：外六角、内六角、自攻、沉头等
001,ISSUE-00008,螺母,六角螺母/螺母,M4/M5/M30/M27保留；14->M14；16->M16；22->M22,螺母,紧固件/螺纹紧固件/螺母,B,不同规格拆SKU；裸数字可按M规格理解但需确认,确认裸数字规格，补材质/强度等级
001,ISSUE-00009,螺母,六角螺母/螺母,M4/M5/M30/M27保留；14/16/22->M14/M16/M22,螺母,紧固件/螺纹紧固件/螺母,B,低精度来自裸数字和材质等级缺失,确认裸数字，补材质/强度等级
001,ISSUE-00010,铁钉,铁钉,2寸保留；3寸保留,铁钉,五金备件/钉类/铁钉,B,长度不同拆SKU；斤和KG是计量换算问题,统一库存单位为kg，建立斤=0.5kg换算
001,ISSUE-00011,铁钉,铁钉,2寸保留；3寸保留,铁钉,五金备件/钉类/铁钉,B,低精度可接受为长度规格；材质默认为铁,统一单位为kg，必要时补包装规格
001,ISSUE-00012,鱼尾螺丝,鱼尾螺栓,M10*60、M14*70、M16*90保留,鱼尾螺栓,紧固件/螺纹紧固件/专用螺栓,B,不同规格拆SKU；用途/适配设备需补,按规格拆SKU，补适用部位或图号
001,ISSUE-00013,铁丝,铁丝,12#、14#归一；材质铁保留,铁丝,五金备件/金属丝材/铁丝,B,线规不同拆SKU；kg/公斤/KG统一,统一单位kg，12#和14#拆SKU
001,ISSUE-00014,铁丝,铁丝,材质铁；单位kg/公斤同义,铁丝,五金备件/金属丝材/铁丝,A,只是单位同义，不构成物料冲突,统一库存单位kg
001,ISSUE-00015,铁丝,铁丝,12号=12#；14号=14#,铁丝,五金备件/金属丝材/铁丝,B,线规不同拆SKU；号和#是写法差异,建立12号=12#、14号=14#别名规则
001,ISSUE-00016,铁丝,铁丝,14号=14#；KG/公斤同义,铁丝,五金备件/金属丝材/铁丝,A,只是单位同义和规格写法差异,统一为kg和14#
001,ISSUE-00017,铁丝,铁丝,12号=12#；14号=14#,铁丝,五金备件/金属丝材/铁丝,B,低精度可由线规规则解决,确认线规后可升级
001,ISSUE-00018,黑扎丝,黑色扎丝,1mm、2mm保留；颜色黑色保留,黑色扎丝,五金备件/金属丝材/扎丝,B,直径不同拆SKU；米为长度单位,按直径拆SKU，确认是否按卷/米管理
