current_top_category	current_material_family	sku_count	target_top_category	target_second_layer_family	decision	confidence	manual_judgment	next_action	examples
液压气动	液压接头	73	液压气动	液压接头	保留	高	当前族虽然名称里常出现接头、弯头、卡扣等通用词，但所在系统是高压油路/液压连接，不应并入水暖直接接头或定制管路件。	进入第三层治理，拆成卡套接头、加长接头、弯头接头、对丝等，并补齐螺纹、压力等级、密封形式。	METAL-000017 不锈钢卡扣接头 规格：DN6*6；材质：不锈钢；METAL-000018 不锈钢卡扣接头 规格：DN6*10；材质：不锈钢；METAL-000019 不锈钢加长接头 规格：8*6；材质：不锈钢；特征：加长；PIPE-000045 不锈钢加长弯头 规格：8*6；材质：不锈钢；特征：加长；类型：弯头
液压气动	胶管总成	34	液压气动	胶管总成	保留	高	当前族明确为带规格、层数、长度的胶管总成，通常带扣压端或接头组合件，和未带接头的高压油管/胶管应分开治理。	进入第三层治理，按胶管规格、长度、两端接头、压力等级建立模板。	PIPE-000318 胶管总成 螺纹/规格：36*2；层数：2层；长度：12米；PIPE-000319 胶管总成 螺纹/规格：36*2；层数：2层；长度：17.7米；PIPE-000320 胶管总成 螺纹/规格：36*2；层数：2层；长度：5.2米；PIPE-000321 胶管总成 螺纹/规格：36*2；层数：2层；长度：7.9米
液压气动	气动接头	20	液压气动	气动接头	保留	高	当前族是气管直通、弯头、三通等压缩空气管路快插/接头，不是水暖管件，也不是液压油路接头。	进入第三层治理，按直通、弯头、三通、变径、螺纹形式拆分。	PIPE-000198 气管直通接头 规格：8厘；类型：直通；PIPE-000199 气管直通接头 规格：10厘；类型：直通；PIPE-000200 气管直通接头 规格：16厘；类型：直通；PIPE-000201 气管弯头接头 规格：8厘；类型：弯头
液压气动	高压油管	7	液压气动	高压油管/胶管	合并	高	高压油管是液压油路软管本体，未体现总成端头，适合并入高压油管/胶管二级族，而不是胶管总成。	合并到高压油管/胶管，第三层名称保留高压油管，并补充内径、层级、压力等级、长度。	PIPE-000035 高压油管 规格：DN25*4；类型：高压油管；PIPE-000040 高压油管 规格：DN51；等级：4SH；PIPE-000041 高压油管 规格：DN32；等级：4SH；PIPE-000135 高压油管 公称直径：50
液压气动	油管护套	6	液压气动	油管护套/液压防护件（候选）	复核	中	油管护套是液压油管外部防护件，不是油管本体、接头或阀件；目标表目前没有液压防护附件族。	建议补充油管护套/液压防护件二级候选；若不新增，可暂挂高压油管/胶管并在第三层标明护套。	PIPE-000398 油管护套 螺纹/规格：M20*1.5；PIPE-000399 油管护套 螺纹/规格：M48*2；PIPE-000400 油管护套 螺纹/规格：M36*2；PIPE-000401 油管护套 螺纹/规格：M42*4
液压气动	电磁阀	2	液压气动	液压气动阀	合并	中	样例来自气动阀件口径，电磁阀在液压气动系统中属于控制阀；但单看电磁阀名称会跨水暖、电气和气动，需要按用途复核。	合并到液压气动阀，第三层名称保留电磁阀；后续按介质、接口、电压确认是否确为气动/液压阀。	PIPE-000181 电磁阀 型号：4M210L-8；PIPE-000358 电磁阀 进口：是；型号：2622200
液压气动	高压胶管	2	液压气动	高压油管/胶管	合并	高	高压胶管是高压油路软管本体，未体现两端接头或扣压总成，应并入高压油管/胶管。	合并到高压油管/胶管，第三层名称保留高压胶管。	PIPE-000299 高压胶管 规格：100；形态：胶管；PIPE-000313 高压胶管 规格：50；结构等级：4SH
液压气动	气管	2	液压气动	气管	保留	高	当前族为气动系统用软管，按外径规格管理，和气动接头、普通水管、电线管边界清楚。	进入第三层治理，补齐外径、内径、材质、颜色、耐压。	PIPE-000232 气管 外径：10mm；PIPE-000233 气管 外径：16mm
液压气动	常闭气动阀	1	液压气动	液压气动阀	合并	高	常闭气动阀是气动控制阀的具体阀型，不应作为二级族独立存在。	合并到液压气动阀，第三层名称为常闭气动阀，并补接口、公称直径、驱动方式。	PIPE-000264 常闭气动阀 公称直径：DN50；状态：常闭；驱动：气动
液压气动	高压钢丝管	1	液压气动	高压油管/胶管	合并	中	高压钢丝管描述的是钢丝增强结构的高压软管，属于高压油管/胶管口径；需确认是否用于液压油路而非普通输送水管。	合并到高压油管/胶管，第三层名称保留高压钢丝管，复核介质和压力等级。	PIPE-000217 高压钢丝管 公称直径：50；结构：钢丝增强
