候选词	建议物料族	处理建议	置信度	覆盖SKU数	覆盖标准名称数	当前物料族数	是否跨一级类目	主要分类	当前物料族	样例标准名称	样例SKU	说明
阀门	阀门	可优先固化为物料族	high	64	38	2	是	管材管件阀门/阀门:63；安全消防/消防管件:1	消防阀门；阀门	PPR截止阀；PPR球阀；PPR阀门；PVC止回阀；Y型法兰过滤器；三角阀；不锈钢两片式球阀；不锈钢内丝球阀；不锈钢内外丝球阀；不锈钢刀阀；不锈钢单向阀；不锈钢宝塔球阀	PIPE-000006 三角阀 规格：4分；PIPE-000027 PPR阀门 品牌：公元；规格：25；类型：阀门；PIPE-000030 铜止回阀 品牌：埃美柯；材质：铜；规格：32；类型：止回阀；METAL-000005 不锈钢角阀 材质：不锈钢；规格：4分；PIPE-000036 铜止回阀 品牌：埃美柯；材质：铜；规格：25；类型：止回阀；PIPE-000039 高压铜球阀 规格：DN20；压力：350kg；材质：铜；类型：球阀；PIPE-000043 蝶阀 品牌：埃美柯；规格：DN65；特征：加厚；METAL-000012 不锈钢球阀 品牌：埃美柯；规格：DN65；材质：不锈钢；特征：加厚	覆盖集中，且属于典型实物族名。
钻头	钻头	可优先固化为物料族	high	57	9	3	否	工具耗材/钻头:57	开孔器；钻头；铣刀钻头	二坑二槽钻头；五坑钻头；冲击钻头；合金钻头；宝塔钻头开孔器；钨钢钻头；钻头；铣刀钻头；麻花钻头	TOOL-000012 冲击钻头 规格：6厘；TOOL-000013 冲击钻头 规格：20厘；TOOL-000048 钨钢钻头 材质：钨钢；直径：8mm；TOOL-000049 钨钢钻头 材质：钨钢；直径：10mm；TOOL-000050 钨钢钻头 材质：钨钢；直径：12mm；TOOL-000051 钨钢钻头 材质：钨钢；直径：16mm；TOOL-000052 合金钻头 材质：合金；直径：6mm；TOOL-000053 合金钻头 材质：合金；直径：8mm	覆盖集中，且属于典型实物族名。
球阀	球阀	可优先固化为物料族	high	33	14	1	否	管材管件阀门/阀门:33	阀门	PPR球阀；不锈钢两片式球阀；不锈钢内丝球阀；不锈钢内外丝球阀；不锈钢宝塔球阀；不锈钢球阀；不锈钢补水球阀；不锈钢高压球阀；浮球阀；球阀；电浮球阀；铜球阀	PIPE-000039 高压铜球阀 规格：DN20；压力：350kg；材质：铜；类型：球阀；METAL-000012 不锈钢球阀 品牌：埃美柯；规格：DN65；材质：不锈钢；特征：加厚；METAL-000013 不锈钢球阀 品牌：埃美柯；规格：40；材质：不锈钢；特征：加厚；PIPE-000090 不锈钢球阀 规格：25；材质：不锈钢；类型：球阀；METAL-000045 不锈钢球阀 品牌：埃美柯；规格：80；材质：不锈钢；特征：加厚；PIPE-000111 铜球阀 品牌：埃美柯；规格：4分；材质：铜；METAL-000051 不锈钢球阀 品牌：埃美柯；规格：50；材质：不锈钢；特征：加厚；METAL-000054 不锈钢球阀 品牌：埃美柯；规格：80；材质：不锈钢；特征：厚	覆盖集中，且属于典型实物族名。
管材	管材	可优先固化为物料族	high	30	20	1	否	管材管件阀门/管材:30	管材	PPR热熔管；PPR管；PPR给水管；PVC管；PVC给水管；PVC钢丝软管；UPVC给水管；UPVC饮水管；橡胶水带；波纹管；注浆管；注浆管套装	PIPE-000001 PPR管 品牌：公元；规格：25；PIPE-000029 PPR给水管 规格：32；用途：给水；PIPE-000068 UPVC给水管 品牌：公元；规格：32；材质：UPVC；用途：给水；PIPE-000081 PPR管 品牌：公元；规格：25；材质：PPR；PIPE-000085 注浆管 规格：DN25；PIPE-000086 钢丝增强管 规格：1寸；结构：钢丝增强；PIPE-000087 PPR热熔管 规格：4分；材质：PPR；连接：热熔；PIPE-000091 PVC给水管 品牌：公元；规格：40；材质：PVC；用途：给水	覆盖集中，且属于典型实物族名。
膨胀锚栓	膨胀锚栓	可优先固化为物料族	high	27	3	1	否	紧固件与连接件/膨胀锚栓:27	膨胀锚栓	膨胀螺丝；膨胀钩；镀锌膨胀钩	FAST-000001 膨胀螺丝 规格：14*120；FAST-000002 膨胀螺丝 规格：10*70；类型：膨胀螺丝；FAST-000004 膨胀螺丝 规格：M12*80；FAST-000008 膨胀螺丝 规格：M20*140；FAST-000009 膨胀螺丝 规格：M22*140；SPARE-000073 膨胀钩 规格：10厘；FAST-000011 膨胀螺丝 规格：8*60；FAST-000012 膨胀螺丝 规格：6厘	覆盖集中，且属于典型实物族名。
卸扣	卸扣	可优先固化为物料族	high	24	3	3	否	吊装索具/卸扣:24	U型卸扣；卸扣；弓形卸扣	U型卸扣；卸扣；弓形卸扣	MAT-000017 卸扣 载荷：2T；MAT-000018 卸扣 载荷：4T；MAT-000019 弓形卸扣 载荷：6.5吨；标准：国标；形状：弓形；MAT-000047 卸扣 载荷：8.5T；MAT-000048 卸扣 载荷：3T；MAT-000075 弓形卸扣 额定载荷：6.5T；型式：弓形；MAT-000076 弓形卸扣 额定载荷：4.75T；型式：弓形；MAT-000078 弓形卸扣 额定载荷：9.5T；型式：弓形	覆盖集中，且属于典型实物族名。
手套	手套	可优先固化为物料族	high	23	12	1	否	劳保防护/手套:23	手套	乳胶手套；全胶手套；布手套；帆布手套；挂胶手套；橡胶手套；浸塑手套；浸胶手套；焊工手套；牛筋手套；电焊手套；胶手套	SAFE-000001 帆布手套 类型：双重/双层帆布；SAFE-000005 帆布手套 材质：帆布；特征：加厚、双层；SAFE-000006 乳胶手套 材质：乳胶；特征：加厚；SAFE-000007 牛筋手套 材质/类型：牛筋；特征：加厚；SAFE-000016 挂胶手套 特征：厚；类型：挂胶；SAFE-000020 布手套 特征：加厚、双层；SAFE-000022 焊工手套 用途：电焊防护；SAFE-000054 焊工手套 用途：焊工；特征：加长	覆盖集中，且属于典型实物族名。
电缆	电缆	可优先固化为物料族	high	22	6	6	否	电气电料/电线电缆:17；电气电料/电气辅材:5	屏蔽信号电缆；电缆；电缆三角支架；电缆线；电缆防水接头；金属电缆防水接头	屏蔽信号电缆；电缆；电缆三角支架；电缆线；电缆防水接头；金属电缆防水接头	ELEC-000030 电缆 品牌：起帆；规格：3*6+1；ELEC-000052 电缆防水接头 规格：M50；ELEC-000053 电缆防水接头 规格：M40；ELEC-000054 电缆防水接头 规格：M32；ELEC-000071 电缆线 品牌：起帆；规格：3*4+2*2.5；ELEC-000072 电缆线 品牌：起帆；规格：3*1.5；ELEC-000073 电缆线 品牌：起帆；规格：3*2.5；ELEC-000104 屏蔽信号电缆 规格：3*1.5；类型：信号屏蔽	覆盖集中，且属于典型实物族名。
自喷漆	自喷漆	可优先固化为物料族	high	19	1	1	否	化工胶粘涂料/涂料:19	自喷漆	自喷漆	CHEM-000017 自喷漆 品牌：三和；颜色：灰色；类型：自喷漆；CHEM-000018 自喷漆 品牌：三和；颜色：黑色；类型：自喷漆；CHEM-000034 自喷漆 品牌：三和；颜色：翠绿色；类型：自喷漆；CHEM-000035 自喷漆 颜色：中黄；类型：自喷漆；CHEM-000049 自喷漆 品牌：三和；颜色：灰色；类型：自喷漆；CHEM-000053 自喷漆 颜色：白色；类型：喷漆；CHEM-000064 自喷漆 颜色：白色；类型：自喷漆；CHEM-000068 自喷漆 颜色：红色；类型：自喷漆	覆盖集中，且属于典型实物族名。
螺母	螺母	可优先固化为物料族	high	19	6	2	是	紧固件与连接件/螺母:18；液压气动/气动接头:1	气动接头；螺母	不锈钢螺母；不锈钢防松螺母；自锁气管接头螺母；螺母；防松螺母；高强度螺母	SPARE-000040 螺母 规格：M4；SPARE-000041 螺母 规格：M5；SPARE-000049 螺母 规格：14；SPARE-000056 螺母 规格：16；SPARE-000066 螺母 规格：M30；SPARE-000069 螺母 规格：M27；SPARE-000080 螺母 规格：22；FAST-000019 螺母 规格：M20	覆盖集中，且属于典型实物族名。
