"draft_sku_id"	"draft_item_code"	"放行等级"	"标准名称"	"必填规格"	"辅助规格"	"标准分组"	"标准单位"	"别名/土名"	"missing_specs"	"整理依据"
"SKU-DRAFT-000001"	"HW-LOCK-000001"	"C"	"门锁"	"用途：办公室门"	""	"五金备件/门锁锁具"	"个"	"办公室门锁"	"型号；规格；锁体型号"	"锁体型号/开孔规格缺失，无法区分不同门锁SKU"
"SKU-DRAFT-000008"	"ELEC-000006"	"C"	"灯管"	"功率：36W"	""	"电气材料/照明"	"套"	"36W灯管"	"长度"	"灯管类型（LED/荧光）及长度缺失，36W不足以唯一确定SKU"
"SKU-DRAFT-000009"	"ELEC-000007"	"B"	"USB插座"	"品牌：公牛；USB电流：2.1A"	""	"电气材料/插座开关"	"个"	"2.1AUSB公牛插座；2.1ASUB公牛插座"	"型号"	"输入别名疑似将USB写作SUB，按名称和规格归一为USB"
"SKU-DRAFT-000010"	"ELEC-000008"	"C"	"线盒"	"安装方式：明装"	""	"电气材料/电气辅材"	"个"	"明装线盒"	"规格；尺寸"	"规格尺寸缺失，明装线盒无法按尺寸区分SKU"
"SKU-DRAFT-000011"	"ELEC-000009"	"B"	"电箱"	"型号/规格：P230"	""	"电气材料/配电箱"	"个"	"P230电箱"	"品牌；型号"	"P230语义未明，按原型号/规格保留"
"SKU-DRAFT-000012"	"ELEC-000010"	"C"	"五孔插座"	"品牌：公牛；类型：五孔"	""	"电气材料/插座开关"	"个"	"公牛五孔插座"	"型号；电压；电流；安装方式"	"明装/暗装未说明，可能影响插座SKU区分"
"SKU-DRAFT-000013"	"ELEC-000011"	"C"	"四位开关"	"品牌：公牛；位数：4位"	""	"电气材料/插座开关"	"个"	"公牛4位开关"	"型号；电压；电流；安装方式"	"明装/暗装未说明，可能影响开关SKU区分"
"SKU-DRAFT-000014"	"ELEC-000012"	"C"	"一位开关"	"品牌：公牛；位数：1位"	""	"电气材料/插座开关"	"个"	"公牛1位开关"	"型号；电压；电流；安装方式"	"明装/暗装未说明，可能影响开关SKU区分"
"SKU-DRAFT-000015"	"ELEC-000013"	"C"	"二位开关"	"品牌：公牛；位数：2位"	""	"电气材料/插座开关"	"个"	"公牛2位开关"	"型号；电压；电流；安装方式"	"明装/暗装未说明，可能影响开关SKU区分"
"SKU-DRAFT-000016"	"ELEC-000014"	"C"	"LED灯泡"	"品牌：公牛；功率：40W"	""	"电气材料/照明"	"个"	"40WLED公牛灯泡"	"规格"	"色温/灯头规格缺失，可能影响LED灯泡SKU区分"
