batch_id	top_group	material_family	item_code	item_name	required_specs	optional_specs	stock_uom	aliases	quality_level	governance_note
batch_009	设备备件	润滑配件	CHEM-000014	不锈钢黄油嘴接头	材质：不锈钢；类型：接头		个	不锈钢黄油嘴接头	needs_review	缺失规格：规格；整理依据：螺纹规格缺失，无法区分黄油嘴接头SKU；导入口径：do_not_import_missing_specs；重分类：润滑系统/黄油嘴配件 -> 设备备件/通用机械备件；分类置信度：medium；黄油嘴接头是设备润滑系统小备件，标准无润滑二级，用通用机械备件承接。；二级物料族人工预览：合并 -> 设备备件/润滑配件；置信度：高；判断：黄油嘴接头属于润滑系统附件，不应因接头二字并入液压接头或水暖接头。；下一步：合并到润滑配件，第三层名称为黄油嘴接头，补螺纹和材质。
batch_009	设备备件	润滑配件	CHEM-000015	不锈钢黄油嘴弯头	材质：不锈钢；类型：弯头		个	不锈钢黄油嘴弯头	needs_review	缺失规格：规格；整理依据：螺纹规格/角度缺失，无法区分黄油嘴弯头SKU；导入口径：do_not_import_missing_specs；重分类：润滑系统/黄油嘴配件 -> 设备备件/通用机械备件；分类置信度：medium；黄油嘴弯头是设备润滑系统小备件，标准无润滑二级，用通用机械备件承接。；二级物料族人工预览：合并 -> 设备备件/润滑配件；置信度：高；判断：黄油嘴弯头是润滑附件的形状类型，不是管路弯头或液压接头。；下一步：合并到润滑配件，第三层名称为黄油嘴弯头，补角度、螺纹、材质。
batch_009	设备备件	润滑配件	CHEM-000072	黄油嘴	螺纹：M10*1.5		个	10*1.5黄油嘴	needs_review	缺失规格：型式；整理依据：直/弯型式缺失，可能影响黄油嘴SKU区分；导入口径：do_not_import_missing_specs；重分类：润滑配件/黄油嘴 -> 设备备件/通用机械备件；分类置信度：high；黄油嘴是设备润滑系统小备件，不是化工油品。；二级物料族人工预览：合并 -> 设备备件/润滑配件；置信度：高；判断：黄油嘴是润滑点注油附件，属于润滑配件下的第三层名称，不应和液压接头或气动接头混淆。；下一步：合并到润滑配件，第三层名称保留黄油嘴，补螺纹规格、角度、材质。
batch_009	设备备件	润滑配件	CHEM-000073	黄油嘴	螺纹：M12*1.5		个	12*1.5黄油嘴	needs_review	缺失规格：型式；整理依据：直/弯型式缺失，可能影响黄油嘴SKU区分；导入口径：do_not_import_missing_specs；重分类：润滑配件/黄油嘴 -> 设备备件/通用机械备件；分类置信度：high；黄油嘴是设备润滑系统小备件，不是化工油品。；二级物料族人工预览：合并 -> 设备备件/润滑配件；置信度：高；判断：黄油嘴是润滑点注油附件，属于润滑配件下的第三层名称，不应和液压接头或气动接头混淆。；下一步：合并到润滑配件，第三层名称保留黄油嘴，补螺纹规格、角度、材质。
batch_009	设备备件	润滑配件	CHEM-000074	黄油嘴	螺纹：M14*1.5		个	14*1.5黄油嘴	needs_review	缺失规格：型式；整理依据：直/弯型式缺失，可能影响黄油嘴SKU区分；导入口径：do_not_import_missing_specs；重分类：润滑配件/黄油嘴 -> 设备备件/通用机械备件；分类置信度：high；黄油嘴是设备润滑系统小备件，不是化工油品。；二级物料族人工预览：合并 -> 设备备件/润滑配件；置信度：高；判断：黄油嘴是润滑点注油附件，属于润滑配件下的第三层名称，不应和液压接头或气动接头混淆。；下一步：合并到润滑配件，第三层名称保留黄油嘴，补螺纹规格、角度、材质。
batch_009	设备备件	润滑配件	CHEM-000075	黄油嘴	螺纹：M16*1.5		个	16*1.5黄油嘴	needs_review	缺失规格：型式；整理依据：直/弯型式缺失，可能影响黄油嘴SKU区分；导入口径：do_not_import_missing_specs；重分类：润滑配件/黄油嘴 -> 设备备件/通用机械备件；分类置信度：high；黄油嘴是设备润滑系统小备件，不是化工油品。；二级物料族人工预览：合并 -> 设备备件/润滑配件；置信度：高；判断：黄油嘴是润滑点注油附件，属于润滑配件下的第三层名称，不应和液压接头或气动接头混淆。；下一步：合并到润滑配件，第三层名称保留黄油嘴，补螺纹规格、角度、材质。
batch_009	设备备件	润滑配件	CHEM-000076	黄油嘴	螺纹：M18*1.5		个	18*1.5黄油嘴	needs_review	缺失规格：型式；整理依据：直/弯型式缺失，可能影响黄油嘴SKU区分；导入口径：do_not_import_missing_specs；重分类：润滑配件/黄油嘴 -> 设备备件/通用机械备件；分类置信度：high；黄油嘴是设备润滑系统小备件，不是化工油品。；二级物料族人工预览：合并 -> 设备备件/润滑配件；置信度：高；判断：黄油嘴是润滑点注油附件，属于润滑配件下的第三层名称，不应和液压接头或气动接头混淆。；下一步：合并到润滑配件，第三层名称保留黄油嘴，补螺纹规格、角度、材质。
batch_009	设备备件	润滑配件	CHEM-000077	黄油嘴	螺纹：M20*1.5		个	20*1.5黄油嘴	needs_review	缺失规格：型式；整理依据：直/弯型式缺失，可能影响黄油嘴SKU区分；导入口径：do_not_import_missing_specs；重分类：润滑配件/黄油嘴 -> 设备备件/通用机械备件；分类置信度：high；黄油嘴是设备润滑系统小备件，不是化工油品。；二级物料族人工预览：合并 -> 设备备件/润滑配件；置信度：高；判断：黄油嘴是润滑点注油附件，属于润滑配件下的第三层名称，不应和液压接头或气动接头混淆。；下一步：合并到润滑配件，第三层名称保留黄油嘴，补螺纹规格、角度、材质。
batch_009	设备备件	润滑配件	CHEM-000138	黄油嘴	材质：纯铜；规格：M10		只	纯铜黄油咀M10	needs_review	缺失规格：品牌；型号；类型；容量；颜色；整理依据：角度/螺纹牙距缺失，会影响黄油嘴SKU区分；导入口径：do_not_import_missing_specs；重分类：设备润滑/黄油嘴 -> 设备备件/通用机械备件；分类置信度：high；黄油嘴是设备润滑系统小备件，不是化工油品。；二级物料族人工预览：合并 -> 设备备件/润滑配件；置信度：高；判断：黄油嘴是润滑点注油附件，属于润滑配件下的第三层名称，不应和液压接头或气动接头混淆。；下一步：合并到润滑配件，第三层名称保留黄油嘴，补螺纹规格、角度、材质。
batch_009	设备备件	润滑配件	CHEM-000159	黄油嘴	螺纹：M6		只	黄油嘴M6	needs_review	缺失规格：品牌；型号；类型；容量；颜色；整理依据：角度/螺距缺失，会影响黄油嘴SKU区分；导入口径：do_not_import_missing_specs；重分类：润滑系统/黄油嘴 -> 设备备件/通用机械备件；分类置信度：high；黄油嘴是设备润滑系统小备件，不是化工油品。；二级物料族人工预览：合并 -> 设备备件/润滑配件；置信度：高；判断：黄油嘴是润滑点注油附件，属于润滑配件下的第三层名称，不应和液压接头或气动接头混淆。；下一步：合并到润滑配件，第三层名称保留黄油嘴，补螺纹规格、角度、材质。
batch_009	设备备件	润滑配件	CHEM-000160	黄油嘴	螺纹：M8		只	黄油嘴M8	needs_review	缺失规格：品牌；型号；类型；容量；颜色；整理依据：角度/螺距缺失，会影响黄油嘴SKU区分；导入口径：do_not_import_missing_specs；重分类：润滑系统/黄油嘴 -> 设备备件/通用机械备件；分类置信度：high；黄油嘴是设备润滑系统小备件，不是化工油品。；二级物料族人工预览：合并 -> 设备备件/润滑配件；置信度：高；判断：黄油嘴是润滑点注油附件，属于润滑配件下的第三层名称，不应和液压接头或气动接头混淆。；下一步：合并到润滑配件，第三层名称保留黄油嘴，补螺纹规格、角度、材质。
