group_id	item_name	old_groups	sku_count	suggested_category	suggested_subcategory	needs_split	split_basis	confidence	reason
IMG-0250	加厚卡箍	定制件/管路接头	2	定制加工件	管路接头	no		high	按规格加工的加厚管路卡箍，属非标管路接头。
IMG-0251	加厚周转箱	容器/周转箱	2	包装覆盖周转	周转容器	no		high	周转箱按尺寸区分，归周转容器。
IMG-0252	加厚垫片	紧固件/垫圈	2	紧固件与连接件	垫圈	no		high	M规格垫片属垫圈类紧固件。
IMG-0253	加厚油布	覆盖材料/油布	2	包装覆盖周转	覆盖材料	no		high	油布用于覆盖防护，旧覆盖材料可标准归并。
IMG-0254	加厚货架	仓储设备/货架	1	清洁办公后勤	仓储用品	no		medium	货架是现场仓储用品；推荐无对应二级，按仓储用品新建。
IMG-0255	加厚铁合页	五金备件/门窗五金	2	清洁办公后勤	门窗五金	no		high	合页属门窗五金，材质和尺寸只影响规格。
IMG-0256	加厚铜接头	液压/高压管路	3	液压气动	液压接头	no		high	铜头用于高压管路连接，归液压接头。
IMG-0257	加厚铝合金扣	液压/高压管路	1	液压气动	液压接头	no		medium	旧分组为高压管路，铝合金扣按液压管路连接件处理。
IMG-0258	加厚风筒	定制件/通风风筒	2	定制加工件	通风风筒	no		medium	按直径长度加工的通风风筒；推荐无对应二级，按通风风筒新建。
IMG-0259	加气块	建材/砌块	1	建筑材料	砖砌材料	no		high	加气块是砌体材料，旧建材口径过宽。
IMG-0260	加气混凝土砌块	建材/砌块	1	建筑材料	砖砌材料	no		high	加气混凝土砌块是砌体材料。
IMG-0261	加长六角套筒	工具/套筒	7	工具量具	手动工具	no		high	套筒是手动工具，规格差异不拆分。
IMG-0262	加长六角螺丝	定制件/紧固件	1	紧固件与连接件	螺丝	no		high	本质是六角螺丝，加长加工不改变紧固件属性。
IMG-0263	加长套筒	工具器具/手动工具	1	工具量具	手动工具	no		high	套筒属手动工具。
IMG-0264	加长弯头	定制件/管路接头	3	定制加工件	管路接头	no		high	定做加长弯头为非标管路接头。
IMG-0265	劳动车	物流搬运/手推车	1	施工机具设备	搬运设备	no		high	劳动车用于现场搬运，归搬运设备。
IMG-0266	劳动车轮胎套件	搬运工具/手推车配件	1	设备备件	通用机械备件	no		high	车轮和实心胎是劳动车维修替换件。
IMG-0267	医用绷带	劳保耗材/急救用品	1	劳保防护	急救用品	no		medium	绷带用于现场急救；推荐无对应二级，按急救用品新建。
IMG-0268	医用胶带	劳保耗材/急救用品	1	劳保防护	急救用品	no		medium	医用胶带用于急救包扎，不按工业胶粘材料归类。
IMG-0269	十字扣件	建筑施工耗材/脚手架扣件	1	紧固件与连接件	卡扣	no		high	脚手架扣件本质是连接固定件，旧建筑施工耗材过宽。
IMG-0270	十字批头套装	工具/手动工具	1	电动气动工具	工具附件	no		medium	批头是螺丝刀/电批可换附件，套装不改变物料族。
IMG-0271	十字测钉	工程材料/测量标识	1	工具量具	测量工具	no		medium	测钉用于测量放样标识，归测量工具辅件。
IMG-0272	十字螺丝	紧固件/螺丝	1	紧固件与连接件	螺丝	no		high	十字头螺丝属标准紧固件。
IMG-0273	十字螺丝刀	工具/手动工具	3	工具量具	手动工具	no		high	螺丝刀为手动工具。
IMG-0274	单向阀	工程材料/阀门	1	管材管件阀门	阀门	no		high	单向阀属阀门，旧工程材料过宽。
IMG-0275	单头外丝无缝管加工件	定制件/钢管加工件	1	定制加工件	管路接头	no		high	无缝管单头外丝加工后用于管路连接。
IMG-0276	卡槽导轨	管道紧固/导轨	1	紧固件与连接件	管卡	no		medium	注浆管卡槽导轨用于管道固定，归管卡类连接件。
IMG-0277	卡槽弯头	定制件/管路接头	2	定制加工件	管路接头	no		high	带卡槽定制弯头属非标管路接头。
IMG-0278	卡槽钢圈接头	定制件/管路接头	1	定制加工件	管路接头	no		high	定做卡槽钢圈接头属非标管路接头。
IMG-0279	卡环	吊装索具/连接件	1	吊装索具	卡环	no		high	卡环用于吊装连接；推荐无对应二级，按卡环新建。
IMG-0280	卡箍	管夹/卡箍	1	紧固件与连接件	管卡	no		high	卡箍用于管道夹持固定，归管卡。
IMG-0281	卡箍丝牙接头	定制件/管路接头	1	定制加工件	管路接头	no		high	一头卡箍一头丝牙为定制管路接头。
IMG-0282	卡箍接头	定制件/管路接头	3	定制加工件	管路接头	no		high	加工卡箍接头属非标管路接头，规格差异不拆分。
IMG-0283	卡簧	五金备件/紧固件	1	紧固件与连接件	卡扣	no		high	卡簧是限位固定件，旧五金备件过宽。
IMG-0284	卷尺	工具/测量工具；工具器具/测量工具；量具/卷尺	9	工具量具	测量工具	no		high	卷尺是测量工具，长度差异不拆分。
IMG-0285	卷扬机	吊装索具/起重设备	1	吊装索具	起重设备	no		high	卷扬机用于起重牵引；推荐无对应二级，按起重设备新建。
IMG-0286	卸扣	吊装索具/卸扣	16	吊装索具	卸扣	no		high	卸扣按额定载荷区分规格，物料族一致。
IMG-0287	压力开关	仪表/压力控制	1	电气电料	低压电器	no		medium	压力开关是电气控制元件，旧仪表口径需标准化。
IMG-0288	压力表	仪表/压力仪表	1	工具量具	检测仪器	no		high	压力表用于压力检测，归检测仪器。
IMG-0289	厕所刷	劳保耗材/清洁工具	1	清洁办公后勤	清洁工具	no		high	厕所刷是清洁工具，旧劳保耗材错误。
IMG-0290	厚双面胶	化工耗材/胶粘带	1	化工胶粘涂料	胶粘剂	no		high	双面胶属胶粘材料，厚度为规格特征。
IMG-0291	双卡管道连接器	管道紧固/管道连接器	1	管材管件阀门	直接	no		medium	管道连接器用于管路直连，旧管道紧固口径偏窄。
IMG-0292	双外丝无缝管加工件	定制件/钢管加工件	1	定制加工件	管路接头	no		high	两头外丝无缝管加工后作为管路接头使用。
IMG-0293	双头抱箍接头	定制件/管路接头	1	定制加工件	管路接头	no		high	两头抱箍加工件属定制管路接头。
IMG-0294	双层床	行政后勤/生活用品	1	清洁办公后勤	生活用品	no		high	双层床为宿舍生活用品。
IMG-0295	双开门电箱	定制件/电气箱柜	1	电气电料	电气箱柜	no		medium	本质为电气箱柜；推荐无对应二级，按电气箱柜新建。
IMG-0296	双快水泥	建材/水泥砂浆；建筑材料/水泥砂石	3	建筑材料	水泥砂石	no		high	双快水泥属水泥类建筑材料。
IMG-0297	双电源转换器	电气/低压电器	2	电气电料	低压电器	no		high	双电源转换器属低压电器。
IMG-0298	双联重型管卡	管道紧固/管卡	2	紧固件与连接件	管卡	no		high	管卡用于管道固定，型式差异不拆分。
IMG-0299	双门控制箱	定制件/电控箱	1	电气电料	电气箱柜	no		medium	控制箱本质为电气箱柜；推荐无对应二级，按电气箱柜新建。
IMG-0300	双面胶	化工耗材/胶粘带	1	化工胶粘涂料	胶粘剂	no		high	双面胶属胶粘材料。
IMG-0301	双面胶带	胶带/工业胶带	1	化工胶粘涂料	胶粘剂	no		high	3M双面胶带按胶粘材料归类。
IMG-0302	反光警示带	安全防护/警示用品	1	安全消防	警示标识	no		high	反光警示带用于现场警示。
IMG-0303	反射片	安全设施/反光材料	2	安全消防	警示标识	no		high	反射片用于安全反光警示，规格差异不拆分。
IMG-0304	发泡剂	化工耗材/填缝材料	1	化工胶粘涂料	密封材料	no		high	发泡剂用于填缝密封。
IMG-0305	发泡剂枪	工具/施胶工具	1	工具量具	手动工具	no		high	发泡剂枪是施胶手动工具。
IMG-0306	发泡胶	化工耗材/填缝剂；胶粘剂/发泡胶	2	化工胶粘涂料	密封材料	no		high	发泡胶用于填缝密封，品牌规格不拆分。
IMG-0307	变压USB插座	电气材料/插头插座	1	电气电料	插头插座	no		high	带变压USB功能的插座仍属插头插座。
IMG-0308	变压器	电气材料/电源电器	1	电气电料	低压电器	no		high	24V变压器属低压电源电器。
IMG-0309	变径对丝接头	液压/高压管路	2	液压气动	液压接头	no		high	变径对丝用于高压液压管路连接。
IMG-0310	变径接头	定制件/管路接头；液压/高压管路	3	液压气动	液压接头	yes	按用途/是否定制拆分	medium	高压螺纹接头与不锈钢定制变径件混在一起。
IMG-0311	变焦摄像头	弱电安防/监控设备	1	弱电安防	监控设备	no		high	摄像头属监控设备。
IMG-0312	变频器操作面板	自动化/变频器配件	1	电气电料	低压电器	no		medium	变频器面板是电气控制配件，旧自动化分类不在标准表。
IMG-0313	变频空调	设备/通用电器	1	清洁办公后勤	生活用品	no		medium	空调用于现场后勤生活，旧通用设备过宽。
IMG-0314	变频自吸泵	设备备件/泵	1	施工机具设备	泵类设备	no		high	自吸泵是泵类设备，旧设备备件错误。
IMG-0315	台式砂轮机	工具器具/电动工具	1	电动气动工具	电动工具	no		high	台式砂轮机为电动工具整机。
IMG-0316	台钳	工具/夹持工具	1	工具量具	手动工具	no		high	台钳为夹持类手动工具。
IMG-0317	叶轮	设备备件/搅拌机配件	3	设备备件	搅拌机备件	no		high	叶轮为搅拌机适配备件。
IMG-0318	合成纤维垫块	密封材料/非金属垫块	1	设备备件	通用机械备件	no		medium	合成纤维垫块更像设备用非金属垫块，不属胶粘涂料。
IMG-0319	合金两半扣	液压/管路扣件	2	液压气动	液压接头	no		high	两半扣用于液压管路连接固定。
IMG-0320	合金钻头	工具器具/工具配件	6	工具耗材	钻头	no		high	合金钻头是工具消耗件，直径差异不拆分。
IMG-0321	合页	五金备件/门窗五金；五金建材/门窗五金	2	清洁办公后勤	门窗五金	no		high	合页属门窗五金，旧五金口径需归并。
IMG-0322	吊包	吊装索具/吊包	1	吊装索具	吊包	no		high	吊包用于吊装承载；推荐无对应二级，按吊包新建。
IMG-0323	吊带	吊装索具/吊带	7	吊装索具	吊带	no		high	吊带按载荷长度区分规格，物料族一致。
IMG-0324	吊灯头	电气材料/照明附件	1	电气电料	照明灯具	no		high	吊灯头是照明配件，归照明灯具类。
IMG-0325	吊装带	吊装索具/吊带	9	吊装索具	吊带	no		high	吊装带即吊带，按载荷长度区分规格。
IMG-0326	吊装袋	吊装索具/吊包	1	吊装索具	吊包	no		high	吊装袋为吊包装具，推荐无对应二级按吊包归口。
IMG-0327	吊车垫块	吊装索具/支垫件	1	吊装索具	支垫件	no		medium	吊车支腿垫块服务吊装作业；推荐无对应二级，按支垫件新建。
IMG-0328	吊钩保险卡	吊装索具/吊钩配件	1	吊装索具	吊钩	no		high	吊钩保险卡是吊钩安全配件。
IMG-0329	吊钩保险扣	吊装索具/吊钩配件	2	吊装索具	吊钩	no		high	吊钩保险扣是吊钩配件，载荷差异不拆分。
IMG-0330	后备套夹子	定制件/金属加工件	1	定制加工件	金属加工件	no		high	按部件加工的非标金属夹子。
IMG-0331	吨袋	包装材料/吨袋	2	包装覆盖周转	包装袋	no		high	吨袋属大宗包装袋，承重大小为规格。
IMG-0332	启动按钮指示灯	电气材料/按钮指示	1	电气电料	开关按钮	no		high	启动按钮和指示灯属按钮指示元件。
IMG-0333	启辉器	电气材料/照明配件	1	电气电料	照明灯具	no		high	启辉器是照明灯具配件。
IMG-0334	吸油棉	清洁耗材/吸附材料；环保耗材/吸附材料	4	清洁办公后勤	清洁耗材	no		high	吸油棉用于清洁吸附，旧环保耗材按实物归类。
